11cd63179a49520273fa92284bc3990a953963c64e7191a4fec93c99034888a9,2914f6a7b89ba0f9ba39f7321c859f26939f4769581a14e626ce501fc55ba020,302648be5e8b2bfc48080444a7f73bee8da31b778d811a2d08aae4a2b8e86e6f,3920b188a3836013be266c079045b1a9af832eedc13cb122a01f5be0e1afead0,faf7dd24b6c0436fceec8438ceeabb1fbbf0699bac5ea674b6e6868ea673be14,aea0f923f0d570e3f4432d4654080c58a913e44ab51b76760c111f1afb47ad8e,10d47f3c646c3877170da270a56b9fc477d15fa6b15b0f1b8c1536a95e3b1c67,375afff618574fc3993735733cc61d919cc30b239eff86512f3dfac97fa86008,20ec0905fc8f289e993d69d227bea37ca27fc4f145025059a128fdc9e292abb6,1829a9d12e615366b53a42f49215905c59f32866b5bbc5de2f96e30287e802cb,129ac0b266e1de40d35d8f6bcaf34b58c34b17a3daa2238459b3b46c789c401e,29ce7d74c49008e8347b9873605b7d0a649f38adc21ce3b2dfb35e0cb6f30494,edfcefa27c310648d849e6ef9862055e21502992e3f9950d4609b4590a3d9193,ce2db825027be7d228a92d8b899ded28b7804522b181e109077de38c8cc1b35e,be4e678d1ae68470772950ebe962498063f4e0cb0d0a0434184353880837aba6,9f932bcdd9382c931051831aab01af8ef3e7bc1e3d3b69a824122d42636dd158,257e38831d1a047753f0880d4b3b44e32dca95aeb0e6d1cc838aa47c2e478158,60c7054de819385d78c40323c71492248429b097387413fe12f59e686c2b38f5,a6a8bd47e257ba7fbb47974a769d7a0bb1998811ebf5574a634e6ee2e19a646b,897e7f3ce48cfe5d6a8f03b8ab53c0452c9f96969b92b5eb01d34759d9751c6d,545d1388568754a73a8dcf29ade533dec1b7f19121b92bca69ba9a4ef7001ddc,32f3b2fd499a20c473838e796bd6a34831fac97b7d5679eb785fcc9b82cf51f3,0063e7324f256685fbe4158a39fc73a3b008fb5a44ef181dc4b97f7300846cc3,ceb8bb5e8f28e48c5a14c6c7898ba8276e44758d1fd142de393015d50333c10d,80abf6315653a63933f64fc88bb6c06e7089931df3eb983b946214eb00c431bd,10cd4573fd08bf3c3544c0c0c1f78fc8327869a3b6f69848b1503a6f4b393d01,37f9ca568923e0f1cb9a6ffc4466bd81778688a43f93e541dedf9e47738f80db,660065e23c733cacc4433c83ff684e3b4e2626db811dcf24402b3536c2e9bebc,6bfed4b5158ac1ec73dee32fead36d88d59d7ab1558a1d8945d79df9384f8bd8,c5aa5099990c3a1222c6766f61a1162860afe8fe18a5e2975b1579f78a052d95,5876c7410ab176f774f63804f37f87f2a0da804c34ceb1925f57444303d14d34,81e656256f39e47018accc144b1464790c6d6686eb838c36fb9ff2b7908f375c,b8bb265875041c2805da78942a7008e50ef7d38a47e61f5923f0d05d63f990c9,722a4e6201dbae90fe39ebe2a4de9d94052bb59438346064e2bb85946a85ddaf,b3793f28ed9e7467488b103d6387a04844264b7ea116b50910fbaadd2b9bbeb8,0bea78a277b7080b0624c2808d689634aa600d4c01e51ab44004c4d13c9144c3,f383fedbcd07590771fa99b3ebcf9b8bc74a2a624335b870dcacfbb83b0d5b0b,8414444b15484dd11c0d7df16283b3a5bdbbe5f46d8a7a3913c9ccddc199a2dd,415dbcad0e2379132063eb44c1d20ff7fd2c4d61c99fffa65760931ef3e3f52e,f4b6463d81eabcb6f654bb26dff998d906efbda9f773781580a8e7979f77f85d,dec337f13e925cb18a6d3be1a813431b38771332702ca6b70b7ad55828c7b48d
"1001","1","0","36","0","1","0","0","0","1001","61001007","1","0","1","600110011","620090001","0","0","620130001","600000001","1","0","0","0","0","0","0","30","0","258","0","18","620060001","0","0","61001004","0","0","61001005","0","0"
"2001","1","0","36","0","1","0","0","0","2001","61001007","1","0","1","600110021","620090001","0","0","620130001","600000002","1","0","0","0","0","0","0","30","0","258","0","18","620060001","0","0","61001004","0","0","61001005","0","0"
"3001","1","0","36","0","1","0","0","0","3001","61001007","1","0","1","600110031","620090001","0","0","620130001","600000003","1","0","0","0","0","0","0","30","0","258","0","18","620060001","0","0","61001004","0","0","61001005","0","0"
"4001","1","0","36","0","1","0","0","0","4001","61001007","1","0","1","600110041","620090001","0","0","620130001","600000004","1","0","0","0","0","0","0","30","0","258","0","18","620060001","0","0","61001004","0","0","61001005","0","0"
"5001","1","0","36","0","1","0","0","0","5001","61001007","1","0","1","600110051","620090002","0","0","620130002","600000005","1","0","0","0","0","0","0","30","0","268","0","18","620060002","0","0","61001004","0","0","61001005","0","0"
"6001","1","0","36","0","1","0","0","0","6001","61001007","1","0","1","600110061","620090003","0","0","620130003","600000006","1","0","0","0","0","0","0","30","0","273","0","18","620060003","0","0","61001004","0","0","61001005","0","0"
"7001","1","0","36","0","1","0","0","0","7001","61001007","1","0","1","600110071","620090004","0","0","620130004","600000007","1","0","0","0","0","0","0","30","0","281","0","18","620060004","0","0","61001004","0","0","61001005","0","0"
"8001","1","0","36","0","1","0","0","0","8001","61001007","1","0","1","600110081","620090005","0","0","620130005","600000008","1","0","0","0","0","0","0","30","0","288","0","18","620060005","0","0","61001004","0","0","61001005","0","0"
"9001","1","0","36","0","1","0","0","0","9001","61001007","1","0","1","600110091","620090006","0","0","620130006","600000009","1","0","0","0","0","0","0","30","0","298","0","18","620060006","0","0","61001004","0","0","61001005","0","0"
"10001","1","0","36","0","1","0","0","0","10001","61001007","1","0","1","600110101","620090007","0","0","620130007","600000010","1","0","0","0","0","0","0","30","0","309","0","18","620060007","0","0","61001004","0","0","61001005","0","0"
"11001","1","0","36","0","1","0","0","0","11001","61001007","1","0","1","600110111","620090008","0","0","620130008","600000011","1","0","0","0","0","0","0","30","0","313","0","18","620060008","0","0","61001004","0","0","61001005","0","0"
"12001","1","0","36","0","1","0","0","0","12001","61001007","1","0","1","600110121","620090009","0","0","620130009","600000012","1","0","0","0","0","0","0","30","0","321","0","18","620060009","0","0","61001004","0","0","61001005","0","0"
"13001","1","0","36","0","1","0","0","0","13001","61001007","1","0","1","600110131","620090010","0","0","620130010","600000013","1","0","0","0","0","0","0","30","0","326","0","18","620060010","0","0","61001004","0","0","61001005","0","0"
"14001","1","0","36","0","1","0","0","0","14001","61001007","1","0","1","600110141","620090011","0","0","620130011","600000014","1","0","0","0","0","0","0","30","0","336","0","18","620060011","0","0","61001004","0","0","61001005","0","0"
"15001","1","0","36","0","1","0","0","0","15001","61001007","1","0","1","600110151","620090012","0","0","620130012","600000015","1","0","0","0","0","0","0","30","0","341","0","18","620060012","0","0","61001004","0","0","61001005","0","0"
"16001","1","0","36","0","1","0","0","0","16001","61001007","1","0","1","600110161","620090013","0","0","620130013","600000016","1","0","0","0","0","0","0","30","0","351","0","18","620060013","0","0","61001004","0","0","61001005","0","0"
