ca662abfaed26c1efaca1126f88d9ac0379118d62400596848268421f7265cc9,05841440a786aee3b9508c53c80ba0ae59962a3b7f3ce8c870047c94a427580a,12496e581987be5b7ad418be298707297956afa3d7cfdb269fca3517bdaa9165,06de53a044683d97ab0d0a5a4f211f16d1041db1587f9d087fbc6603e1d95677,269a920e03c5e841532a2f0ce64f5f4671d224c411ee5601073a4d9f65174285,c3ce1ff898998e7bef51baa69d20e12c72db690cfdc200d0b1586d5ba9c7fd9c
"26202","2","1","50000","1","50000"
"90013","2","1","10","2","10"
"26203","2","1","1","3","0"
"26202","2","2","55000","4","55000"
"90013","2","2","10","5","10"
"26203","2","2","1","6","0"
"26202","2","3","60000","7","60000"
"90013","2","3","10","8","10"
"26203","2","3","1","9","0"
"26202","2","4","65000","10","65000"
"90013","2","4","10","11","10"
"26203","2","4","1","12","0"
"26202","2","5","70000","13","70000"
"90013","2","5","10","14","10"
"26203","2","5","1","15","0"
"26202","2","6","75000","16","75000"
"90013","2","6","10","17","10"
"26203","2","6","1","18","0"
"26202","2","7","80000","19","80000"
"90013","2","7","10","20","10"
"26203","2","7","1","21","0"
"26202","2","8","85000","22","85000"
"90013","2","8","10","23","10"
"26203","2","8","1","24","0"
"26202","2","9","90000","25","90000"
"90013","2","9","20","26","20"
"26203","2","9","1","27","0"
"26202","2","10","95000","28","95000"
"90013","2","10","20","29","20"
"26203","2","10","1","30","0"
"26202","2","11","100000","31","100000"
"90013","2","11","20","32","20"
"26203","2","11","1","33","0"
"26202","2","12","105000","34","105000"
"90013","2","12","20","35","20"
"26203","2","12","1","36","0"
