f7ec974dae8cefa2c486f021e9015cbd5cb7ddab0bde95b6e46522d4e2935206,f974a9970bfbbf9c0830ebe71f17fb0a89168e21dc3ff8bd55f683a60c9451d6,1634b9c9b02182065003e18c924fa48912c528d269579ffd4772497fc8c862cf
"1","1","2"
"2","2","1"
"3","3","3"
"4","4","2"
"5","5","2"
"6","6","2"
"7","7","2"
"8","8","2"
"9","9","2"
"10","10","2"
"11","11","2"
"12","12","2"
"13","13","1"
"14","14","1"
"15","15","1"
"16","16","1"
"17","17","1"
"18","18","1"
"19","19","2"
"20","20","4"
"21","21","2"
"22","22","2"
"23","23","5"
"24","24","5"
"25","25","5"
"26","26","6"
"27","27","6"
"28","28","6"
"29","29","7"
"30","30","8"
"31","31","8"
"32","32","9"
"33","33","9"
"34","34","10"
"35","35","10"
"36","36","11"
"37","37","11"
"38","38","12"
"39","39","12"
