9101367c02853e323c4ede8f60cdcbd9924dcdf654bf721ac1598cbcd6973d12,59d4f9cfa79ebdafae536618f358aea78bed1e959b533d9dbf5b032299ede324,d59352539e37cd76f855529f7f62d8b0678468663c4fd37c3cac179a1a2cdcf5,d48640bb1385b39bcf3b5a0bfc1e9a878ca21265623a6cf0031a6f19465d8dfa,11b22235a5ff0fc09d73ee80c479671189a9255e1338e7a7dd9a8e288e5ac860
"1","-4.5","990001","-7","30010001"
"1","-21.5","990001","12","30010003"
"1","-21.5","990001","-3","30010004"
"1","-21.6","1","-5.8","30010007"
"1","-21.6","1","-4.4","30010008"
"1","-8.6","1","-16.7","30010029"
"1","-13","1","-7","30010038"
"1","2.9","990002","-5.5","30010047"
"1","-17.6","1","-8.9","30010055"
"1","-19","1","-6.6","30010056"
"1","-18.4","1","-5","30010060"
"1","-20.4","3","0.6","30010061"
"1","-17.2","3","-3.9","30010062"
"1","-14.9","1","-4.1","30010063"
"1","-17","1","2.2","30010066"
"1","-18.5","1","2.2","30010068"
"1","-15.4","1","2.2","30010070"
"1","-21.7","3","-9.6","30010071"
"1","-21.6","1","-11.9","30010073"
"1","-20","3","-12","30010074"
"1","-21.7","3","-1.9","30010077"
"1","-13.8","3","-4.9","30010079"
"1","-3.6","2","-17","30010081"
"1","-4.7","2","-15","30010083"
"1","-16.8","3","-13.9","30010085"
"1","-11.5","3","-7.1","30010089"
"1","-8.7","2","-8.1","30010091"
"1","-8.7","2","-5.7","30010094"
"1","-4.7","2","-16.3","30010100"
"1","-0.2","2","-13.8","30010104"
"1","2.3","2","-13.9","30010106"
"1","1","2","-15.2","30010107"
"1","2.1","2","-16.6","30010109"
"1","-0.1","2","-16.5","30010110"
"1","-2","2","-20","30010112"
"1","-0.8","2","-20","30010113"
"1","2","2","-20","30010115"
"1","3.7","2","-20","30010116"
"1","0.6","3","-19.9","30010117"
"1","-2.9","3","-18.2","30010119"
"1","-3","3","-19.5","30010120"
"1","-2.5","991002","-15","30010125"
"1","-2.5","991001","-16.7","30010126"
"1","-21.4","991001","-8.5","30010130"
"1","4.8","3","-18.4","30010134"
"1","5.8","3","-17","30010136"
"1","6.9","2","-17.1","30010137"
"1","8","3","-17","30010138"
"1","9.5","2","-17","30010139"
"1","5.3","2","-13.5","30010145"
"1","5.3","2","-12.1","30010146"
"1","8.7","3","-15.5","30010147"
"1","8.8","2","-14.3","30010148"
"1","8.8","3","-13","30010149"
"1","10.2","2","-12.3","30010150"
"1","8.4","2","-10.8","30010152"
"1","10.2","2","-10.7","30010155"
"1","-16.1","1","-6.2","30010156"
"1","6.8","2","-7.3","30010160"
"1","7.9","3","-6.4","30010161"
"1","6.4","1","-6","30010162"
"1","2","3","-6","30010163"
"1","4.6","1","-6","30010164"
"1","3","1","-2.8","30010166"
"1","5.3","1","-2.2","30010168"
"1","5.3","3","-0.5","30010169"
"1","-12.2","1","-4.9","30010170"
"1","-10.9","3","-4.9","30010171"
"1","8","1","-3.8","30010173"
"1","8.7","2","-2.6","30010174"
"1","8","1","-1.5","30010175"
"1","8.7","2","-0.3","30010176"
"1","7.9","1","0.9","30010177"
"1","3.3","2","-1.9","30010178"
"1","-0.8","2","-1.6","30010181"
"1","0.4","1","1","30010182"
"1","0.4","2","2.4","30010183"
"1","0.4","1","3.6","30010184"
"1","1.3","1","6.4","30010186"
"1","1.3","3","8","30010187"
"1","1.3","1","9.5","30010188"
"1","4.9","2","5.4","30010189"
"1","5.8","1","6.4","30010190"
"1","4.9","2","7.5","30010191"
"1","5.8","2","8.6","30010192"
"1","5.7","1","3.8","30010193"
"1","0.4","3","11.1","30010194"
"1","0.2","2","14","30010195"
"1","1.4","3","15","30010196"
"1","2.4","2","14.1","30010197"
"1","3.5","1","15.1","30010198"
"1","4.3","2","14","30010199"
"1","6.3","1","12","30010200"
"1","6.3","2","10.3","30010201"
"1","-2.8","1","12.1","30010202"
"1","-1.7","3","9.1","30010203"
"1","-3","1","9","30010204"
"1","-4.7","3","9","30010205"
"1","-1.7","2","15.9","30010206"
"1","-3.2","2","16.8","30010207"
"1","-4.5","2","15.8","30010208"
"1","-2.8","3","13.1","30010209"
"1","-8.8","1","10.2","30010210"
"1","-7.5","2","10.1","30010211"
"1","-5.9","1","10","30010212"
"1","-8.7","3","15.1","30010213"
"1","-7.6","3","16.2","30010214"
"1","-6.3","3","15.3","30010215"
"1","-10.4","1","15.9","30010216"
"1","-11.6","3","16.9","30010217"
"1","-13","1","15.9","30010218"
"1","-11.6","2","11.1","30010219"
"1","-10.1","3","11.1","30010220"
"1","-14.3","3","13.9","30010221"
"1","-15.5","1","15","30010222"
"1","-17.3","3","14.3","30010223"
"1","-18.4","1","15","30010224"
"1","-17.8","1","11.1","30010225"
"1","-18.9","3","11.1","30010226"
"1","-21.6","1","11","30010227"
"1","-21.6","2","9.7","30010228"
"1","-21.6","1","8.5","30010229"
"1","-21.6","1","7","30010230"
"1","-21.7","3","5.5","30010231"
"1","-21.7","1","4","30010232"
"1","-20.4","3","2.2","30010233"
"1","-19.3","2","6","30010234"
"1","-18.2","2","5.3","30010235"
"1","-16.8","2","6","30010236"
"1","-11.8","1","2.2","30010237"
"1","-9.5","1","7","30010238"
"1","-9","3","5.9","30010239"
"1","-9.5","1","4.9","30010240"
"1","-10.3","3","2.1","30010241"
"1","-8.5","1","2.1","30010242"
"1","-18.7","1","0.6","30010243"
"1","-13.4","3","5.2","30010244"
"1","-12.6","3","4","30010245"
"1","6","991004","-16.6","30010246"
"1","5.5","991002","-15.1","30010247"
"1","-2.5","991002","12.3","30010251"
"1","-2.5","991001","11.7","30010252"
"1","-7.5","991002","12.2","30010253"
