14a070764277cbfd16f289fcf3df3b345d7b9d62b94cc239a5466b1ed0605e4d,33e9add905ea33ab80c40d2a5fe4dc60d75aafcfa7a85c8a8b3d272a0c73f48c,9ae714ded8200ef8cfb50f81b0df288fe09b4728f3188b38cb17ee7f9edd8c66,d94f3b19ca80d8f7d44a9ced54da31964afb6970171ee3afe38c7f7c9352cf44
"0","1001","100101","無法戰鬥的角色為0人以下時獲勝"
"1","1001","100102","無法戰鬥的角色為1人以下時獲勝"
"2","1001","100103","無法戰鬥的角色為2人以下時獲勝"
"74001","1002","100201","戰鬥剩餘時間為1:15以上時獲勝"
"69001","1002","100202","戰鬥剩餘時間為1:10以上時獲勝"
"59001","1002","100203","戰鬥剩餘時間為1:00以上時獲勝"
"49001","1002","100204","戰鬥剩餘時間為0:50以上時獲勝"
"44001","1002","100205","戰鬥剩餘時間為0:45以上時獲勝"
"39001","1002","100206","戰鬥剩餘時間為0:40以上時獲勝"
"29001","1002","100207","戰鬥剩餘時間為0:30以上時獲勝"
"1000","1003","100301","我方的Total HP為100%以上時獲勝"
"900","1003","100302","我方的Total HP為90%以上時獲勝"
"800","1003","100303","我方的Total HP為80%以上時獲勝"
"700","1003","100304","我方的Total HP為70%以上時獲勝"
"600","1003","100305","我方的Total HP為60%以上時獲勝"
"500","1003","100306","我方的Total HP為50%以上時獲勝"
"990","1003","100307","我方的Total HP為99%以上時獲勝"
