9b4adc0d610ad9b1b6345186557430da7ccbea8fcc8b9e68be56f95c42225850,a2c0ad5f0e90015d782674afaa959a014590715aca8dc88b081078480793a2fe,8ab068028f423c8e08b7bd490b76f627907ed0e61a9b4b5f22eb9f7d3d5f228b,e5bdcd13758a8a9cc15a58e27d3bee373d6afd82e248799d62e052e48c1ac64c,81f466f6c9beb7ade2bc7c3d990aeacdd8c296a2167360849f3ee5d3d18d943a,b052134a221e3d3d3a40cfdf82d0c550717363faefa5d09107d04989d9093b2d,e1b5ae2d03e30e4c0fd650edafe775e5f6b174a5eb65776cb8c1edd02fbbc42f,49cec19378a35e430b327a87c621329ca1337fa81524e98bcecaa3ab0733ff42,368f8b450b2472da8e72e017f9e051d99c56f7c1ca9ed8bb4c83f80bcac20177,ce995029bebfe59e9d5390196795d0f43603e54234b324baa6488f3072d7788a,f80679994a0eeccc7040e855bcf07cf821a60f5b3dbaaacf87f79cbd0bb746a7
"","11","1","25011","10000","30000","0","0","2","0",""
"","12","2","25012","10000","30000","0","0","2","0",""
"","13","3","25021","5000","30000","0","0","2","0",""
"","14","4","91002","50","30000","0","0","8","0",""
"","15","5","25013","10000","30000","0","0","2","0",""
"","16","6","91002","50","30000","0","0","8","0",""
"","17","7","25014","10000","30000","0","0","2","0",""
"","18","8","25021","5000","30000","0","0","2","0",""
"","19","9","91002","80","30000","0","0","8","0",""
"","20","10","24001","1","30000","0","0","2","0",""
"","21","11","91002","80","30000","0","0","8","0",""
"","22","12","25015","10000","30000","0","0","2","0",""
"","23","13","25021","5000","30000","0","0","2","0",""
"","24","14","91002","100","30000","0","0","8","0",""
"","25","15","24001","1","30000","0","0","2","0",""
"貪吃佩可","27","1","91002","150","40001","1","107501","8","0","今天是紀念日，要慶祝才行呢！\n燒肉、壽司、披薩、蛋糕～☆\n能和你一起開派對，\n我好幸福～♪"
"可可蘿","28","2","91002","150","40001","1","107601","8","0","能夠在今天迎來這個紀念日，\n全拜主人的器量所賜。\n真不愧是主人呢。\n真了不起真了不起♪"
"凱留","29","3","91002","150","40001","1","107801","8","0","你還挺能幹的嘛！\n我有點…還蠻…非、非常\n對你刮目相看了呢。\n我就誇誇你吧♪"
"鈴莓","30","4","91002","150","40001","1","107701","8","0","對您和我來說，\n今天是個特別的日子。\n因為有了您的支持，\n我才能夠如此努力！"
