941653b6a006acf5512fc11fc13fb132a03a70b08eaf0b31f43ef3c82c5f03b0,f23356461fa6370346fa4c8a7b45df2f2282d0d502273bf2e88aae76d5f0a768,60b0f07783501ad4581554720ced2f79f3a3652e979f321173bc6caa42aadb8a
"118401","2","180701"
"118301","3","180701"
"118401","4","180701"
"118401","5","180701"
"118301","6","180701"
"118401","7","180701"
"118301","8","180701"
"170101","9","105701"
"170101","10","105701"
"170101","11","105701"
"170101","12","105701"
"120401","2","180801"
"120501","3","180801"
"120601","4","180801"
"120501","5","180801"
"120601","6","180801"
"120501","7","180801"
"120401","8","180801"
"121701","2","180901"
"121801","3","180901"
"121701","4","180901"
"121801","5","180901"
"121701","6","180901"
"121801","7","180901"
"121801","8","180901"
"124401","2","181001"
"124301","3","181001"
"124401","4","181001"
"124401","5","181001"
"124301","6","181001"
"124401","7","181001"
"124301","8","181001"
"128201","2","181101"
"128101","3","181101"
"128201","4","181101"
"128201","5","181101"
"128101","6","181101"
"128201","7","181101"
"128101","8","181101"
