5c0906b3b35c6e261d7d718c6b6f5c79d5a502bb9d4e9dfafab6cc7346334ab9,f6126a6c32a6087e498a84313c7496d4a19ab2bbd344ae025e40880e3399819e,287d067cda3ce07ba88535cf806d80136e5b0358385c7b3f133e85a0739c200b,c4b1cb2ad5792626395127543bd4c9fd38e60b67cc89bc42b11023516af071bb,d6f8748cc19459c1ddbdd83691736125228d0abd2e9badb42046bf2392ac1a50,e9f4fd2ead5e03624a7a130c4a507502ba8746625082237b57fd8e30a78614fe,0996cbd71f57a6e95876eda31c781a96014e0890d4536513d06373091cca0d94
"31001","0.8","300900","0.8","0","-10","100721"
"31002","0.7","302300","0.7","0","-40","100722"
"31003","0.8","302400","0.8","0","-40","100261"
"31004","0.9","302500","0.9","0","-20","100283"
"31005","0.9","301700","0.9","0","-10","101611"
"31006","0.7","310100","0.7","0","-40","102174"
"31007","0.3","399800","0.3","-80","-60","102751"
"31008","0.9","314901","0.9","-20","20","103001"
"31009","0.7","318405","0.7","30","-110","103232"
"31010","1","320100","1","0","-10","103371"
