9e85e15497b510fad823ea8e4b65cf967499f40b931c46457801795104a53eeb,e8fc29a9f5202596fd8f1b1c0c1419e5b60ded31a07dfa85a60bbfa507ed1600,270b087b2b842e2e025ba51d8bd6b43f6f20b5e14add82ac7bdae069f38b74ab
"1","30009","1"
"2","30011","2"
"3","30016","3"
"4","30022","4"
"4","50023","5"
"5","50027","6"
"6","30031","7"
"7","30044","8"
"7","30045","9"
"8","30060","10"
"8","50061","11"
"9","50067","12"
"9","30072","13"
"10","30068","14"
"10","30076","15"
"11","50094","16"
"11","30093","17"
"11","40003","18"
"12","50108","19"
"12","30099","20"
"13","30103","21"
"14","30107","22"
"15","30114","23"
"15","40004","24"
"15","30117","25"
"15","30118","26"
"16","30117","27"
"16","30118","28"
"16","50119","29"
"16","30120","30"
"16","30122","31"
"16","30126","32"
"16","30123","33"
"16","50129","34"
"16","30125","35"
"17","30127","36"
"17","30130","37"
"18","30148","38"
"18","40005","39"
"18","30150","40"
"18","50151","41"
"19","50151","42"
"19","30152","43"
"19","30153","44"
"19","30154","45"
"19","40006","46"
"19","30156","47"
"19","30157","48"
"20","30161","49"
"20","30163","50"
"21","30163","51"
"21","30164","52"
"21","30166","53"
"21","30167","54"
"22","30171","55"
"22","30170","56"
"22","50172","57"
"22","30173","58"
"23","30173","59"
"23","30174","60"
"23","30175","61"
"23","30176","62"
"23","30177","63"
"24","30179","64"
"24","40007","65"
"24","30182","66"
"24","50183","67"
"25","50183","68"
"25","30184","69"
"25","30186","70"
"25","30187","71"
"25","30188","72"
"25","50195","73"
"26","50190","74"
"26","30194","75"
"26","30196","76"
"27","30213","77"
"27","40008","78"
"27","30215","79"
"27","30216","80"
"27","50217","81"
"28","30224","82"
"28","30225","83"
"28","30226","84"
"28","30227","85"
"29","30235","86"
"29","30236","87"
"29","50237","88"
"29","30238","89"
"30","30244","90"
"30","40009","91"
"30","30247","92"
"30","50248","93"
"31","30256","94"
"31","30257","95"
"31","30258","96"
"32","30274","97"
"32","40010","98"
"32","30276","99"
"32","30277","100"
"32","50278","101"
"33","30286","102"
"33","30287","103"
"33","30288","104"
"34","30295","105"
"34","30296","106"
"34","30297","107"
"34","50298","108"
"34","30299","109"
"35","30305","110"
"35","30306","111"
"35","40011","112"
"35","30308","113"
"35","50309","114"
"36","30319","115"
"36","30320","116"
"36","50321","117"
"37","30339","118"
"37","40012","119"
"37","50341","120"
"37","30342","121"
"37","30343","122"
"38","30363","123"
"38","30364","124"
"38","50365","125"
"38","30366","126"
"39","30370","127"
"39","40013","128"
"39","30374","129"
"40","30381","130"
"40","30382","131"
"40","50383","132"
"41","30401","133"
"41","40014","134"
"41","30404","135"
"41","50405","136"
"42","30422","137"
"42","30423","138"
"42","50424","139"
"42","30426","140"
