3f96951f1d847ffc83b07607736a2213a8fb0c76a241faced1a29aaa9b5ee693,2732c329c09928fa8a41af1d9cd4e89089eccefcd0511802a18ed7dfb2ab1d35,8511d0c67fc20231180c8891445b6697c4ca3e0566c17c95c8fc993e6bba3ea1,7310c6bc5769d8bdf99f9eb8552b6b2fdeb5e3b34a62e6e680c48cad9d41f372
"100101","301","107","201"
"100201","305","110","203"
"100301","301","101","202"
"100401","303","107","201"
"100501","302","108","202"
"100601","305","110","204"
"100701","302","108","201"
"100801","305","110","203"
"100901","304","109","204"
"101001","305","110","203"
"101101","301","106","201"
"101201","304","109","204"
"101301","304","109","204"
"101401","305","109","203"
"101501","305","110","203"
"101601","301","106","201"
"101701","301","107","201"
"101801","305","109","204"
"102001","301","102","201"
"102101","302","105","201"
"102201","304","109","204"
"102301","303","105","201"
"102501","305","110","203"
"102601","303","104","201"
"102701","301","105","201"
"102801","301","101","201"
"102901","302","108","202"
"103001","301","102","201"
"103101","303","102","201"
"103201","301","102","202"
"103301","303","104","202"
"103401","303","102","201"
"103601","304","109","204"
"103701","301","101","201"
"103801","301","106","201"
"104001","303","106","201"
"104201","305","110","203"
"104301","301","102","202"
"104401","304","109","204"
"104501","302","108","203"
"104601","301","103","201"
"104701","302","108","202"
"104801","301","104","202"
"104901","303","102","202"
"105001","304","109","204"
"105101","303","102","201"
"105201","302","108","202"
"105301","303","101","201"
"105401","303","107","201"
"105501","303","104","201"
"105601","302","108","201"
"105701","301","101","201"
"105801","302","102","202"
"105901","303","104","201"
"106001","304","109","204"
"106101","301","103","201"
"106301","301","106","201"
"106401","301","101","201"
"106501","301","107","201"
"106601","303","105","202"
"106701","305","109","204"
"106801","301","101","202"
"106901","301","101","201"
"107001","304","109","204"
"107101","301","101","202"
"107501","301","102","202"
"107601","303","104","201"
"107701","305","110","203"
"107801","304","109","204"
"107901","301","103","201"
"108001","301","104","202"
"108101","303","105","201"
"108201","303","107","201"
"108301","304","109","204"
"108401","305","110","203"
"108501","302","105","201"
"108601","303","105","201"
"108701","301","107","201"
"108801","305","110","203"
"108901","302","108","201"
"109001","301","105","201"
"109101","303","102","202"
"109201","304","110","204"
"109301","304","110","204"
"109401","304","110","204"
"109501","302","108","203"
"109601","301","103","201"
"109701","303","105","201"
"109801","305","110","203"
"109901","304","109","203"
"110001","301","106","201"
"110101","305","110","204"
"110201","304","109","204"
"110301","301","101","201"
"110401","301","102","202"
"110501","301","107","201"
"110601","305","110","203"
