f634c59145be03702016954937d1f0fd2527945f33baf89ac11e1a8135b09711,65a707ba1aee442dad1e48ad7d894968dfa80b13cb0c41c5c87477d11808b391,2d23f716fb60d80ea58b94c25638756255455833687a90fe24f3d61539cc553d,78ac84b3afb7aef168da26ffe7c0e955e2abdf9cc2db3b2a3478cd5ef0974b0a,e2329e55572052dc1df0dcb1ed9602b926e2de11c273e08c2fae75000dfe94a0,d62b45db2b5ccd0a21bffb80fbf82482dcb8f2e426a90d3631b349113f59234c,7860d0d1cffc678cbb6060c53f0806afa6b0899183e306079fc46eca4fe212e1
"180010113","1","180010111","59","18001001","1","180010112"
"180010213","60","180010211","99","18001001","2","180010212"
"180010313","100","180010311","119","18001001","3","180010312"
"180010413","120","180010411","139","18001001","4","180010412"
"180010513","140","180010511","149","18001001","5","180010512"
"180010613","150","180010611","159","18001001","6","180010612"
"180010713","160","180010711","169","18001001","7","180010712"
"180010813","170","180010811","-1","18001001","8","180010812"
"180010123","1","180010121","59","18001002","9","180010122"
"180010223","60","180010221","99","18001002","10","180010222"
"180010323","100","180010321","119","18001002","11","180010322"
"180010423","120","180010421","139","18001002","12","180010422"
"180010523","140","180010521","149","18001002","13","180010522"
"180010623","150","180010621","159","18001002","14","180010622"
"180010723","160","180010721","169","18001002","15","180010722"
"180010823","170","180010821","-1","18001002","16","180010822"
"180010133","1","180010131","59","18001003","17","180010132"
"180010233","60","180010231","99","18001003","18","180010232"
"180010333","100","180010331","119","18001003","19","180010332"
"180010433","120","180010431","139","18001003","20","180010432"
"180010533","140","180010531","149","18001003","21","180010532"
"180010633","150","180010631","159","18001003","22","180010632"
"180010733","160","180010731","169","18001003","23","180010732"
"180010833","170","180010831","-1","18001003","24","180010832"
"180010143","1","180010141","59","18001004","25","180010142"
"180010243","60","180010241","99","18001004","26","180010242"
"180010343","100","180010341","119","18001004","27","180010342"
"180010443","120","180010441","139","18001004","28","180010442"
"180010543","140","180010541","149","18001004","29","180010542"
"180010643","150","180010641","159","18001004","30","180010642"
"180010743","160","180010741","169","18001004","31","180010742"
"180010843","170","180010841","179","18001004","32","180010842"
"180010943","180","180010941","189","18001004","33","180010942"
"180011043","190","180011041","199","18001004","34","180011042"
"180011143","200","180011141","-1","18001004","35","180011142"
"180010153","1","180010151","59","18001005","36","180010152"
"180010253","60","180010251","99","18001005","37","180010252"
"180010353","100","180010351","119","18001005","38","180010352"
"180010453","120","180010451","139","18001005","39","180010452"
"180010553","140","180010551","149","18001005","40","180010552"
"180010653","150","180010651","159","18001005","41","180010652"
"180010753","160","180010751","169","18001005","42","180010752"
"180010853","170","180010851","179","18001005","43","180010852"
"180010953","180","180010951","189","18001005","44","180010952"
"180011053","190","180011051","199","18001005","45","180011052"
"180011153","200","180011151","209","18001005","46","180011152"
"180011253","210","180011251","219","18001005","47","180011252"
"180011353","220","180011351","229","18001005","48","180011352"
"180011453","230","180011451","239","18001005","49","180011452"
"180011553","240","180011551","-1","18001005","50","180011552"
"180010163","1","180010161","59","18001006","51","180010162"
"180010263","60","180010261","99","18001006","52","180010262"
"180010363","100","180010361","119","18001006","53","180010362"
"180010463","120","180010461","139","18001006","54","180010462"
"180010563","140","180010561","149","18001006","55","180010562"
"180010663","150","180010661","159","18001006","56","180010662"
"180010763","160","180010761","169","18001006","57","180010762"
"180010863","170","180010861","179","18001006","58","180010862"
"180010963","180","180010961","189","18001006","59","180010962"
"180011063","190","180011061","199","18001006","60","180011062"
"180011163","200","180011161","209","18001006","61","180011162"
"180011263","210","180011261","219","18001006","62","180011262"
"180011363","220","180011361","229","18001006","63","180011362"
"180011463","230","180011461","239","18001006","64","180011462"
"180011563","240","180011561","249","18001006","65","180011562"
"180011663","250","180011661","259","18001006","66","180011662"
"180011763","260","180011761","-1","18001006","67","180011762"
"180010173","1","180010171","59","18001007","68","180010172"
"180010273","60","180010271","99","18001007","69","180010272"
"180010373","100","180010371","119","18001007","70","180010372"
"180010473","120","180010471","139","18001007","71","180010472"
"180010573","140","180010571","149","18001007","72","180010572"
"180010673","150","180010671","159","18001007","73","180010672"
"180010773","160","180010771","169","18001007","74","180010772"
"180010873","170","180010871","179","18001007","75","180010872"
"180010973","180","180010971","189","18001007","76","180010972"
"180011073","190","180011071","199","18001007","77","180011072"
