0d711057c9c3868bf278a42185a50ff23b978068924172682f2ea626f0a3e4dd,bed21c3d6fdd9bc2e327d11c89677da49efa7bcaf430efbdd9d579e95eaa8230,367d24bddc2f390cc97559bb3865f5901c24cffe4e79d81ff8449739513b5d84,3841ffa463404b82df7687a8e77402f790ba2a5555c4844b8af797b2037bfebb,2a787d507a1e562c2bca5e259d054cd884a1e15fc4bb9d159a793964665184f9,df47169af690065c757ec56aaaa002e941525edc7712340ec53fb122bf9fa96b,22a78ae58951f95e7772e21d7090856a3bd22840227b946a170ff515fac4a8e2,2add04b464f0f7dad90047755c490667edeb96ad2900977da927e0ab39d9cc7d,733caf96d84b806e7a43f5d41e510b3773b9426f4fb4df6f662c8dc03302a219,8fdef3896b305fb1be1c93610e3784f943299644a636beaab2ceba9034dc88a5,80257b355b37ee01aa2ee5d9810339402f6c02ead2ac7e7190fc20af6430f56b
"10101","empty","0","5","1","0","0","1101010001","1","53","1"
"10101","empty","0","5","101000","0","0","1101010002","1","56","2"
"10101","empty","0","5","101000","0","0","1101010003","1","70","3"
"10101","","","31","101000","0","1","1101010004","0","0","0"
"10101","","","31","101001","0","1","1101010005","0","0","1"
"10101","","","31","101002","0","1","1101010006","0","0","2"
"10101","","","31","101003","0","1","1101010007","0","0","3"
"10101","","","31","101004","0","1","1101010008","0","0","4"
"10101","","","31","1","0","1","1101010009","0","0","10"
"10101","","","31","3","0","1","1101010010","0","0","30"
"10101","","","91","0","","","1101010011","","","0"
"10101","","","32","0","","","1101010012","","","1"
"10101","","","32","10","","","1101010013","","","1"
"10101","","","3","2","","","1101010014","0","0","getDish_1_in"
"10101","","","93","0.2","","","1101010015","","","0"
"10101","","","3","1","","","1101010016","0","0","getDish"
"10101","","","3","2","","","1101010017","0","0","getDish_1_B"
"10101","","","3","3","","","1101010018","0","0","getDish_1_F"
"10101","","","32","1","","","1101010019","","","1"
"10101","","","32","3","","","1101010020","","","1"
"10101","","","93","7.2","","","1101010021","","","0"
"10101","","","101","1101010023","","","1101010022","","","1"
"10101","","","35","2","","","1101010023","","","1"
"10101","","","32","2","","","1101010024","","","1"
"10101","","","35","4","","","1101010025","","","1"
"10101","","","32","4","","","1101010026","","","1"
"10101","","","32","3","","","1101010027","","","0"
"10101","","","93","2.3","","","1101010028","","","0"
"10101","","","35","30","","","1101010029","","","1"
"10101","","","32","30","","","1101010030","","","1"
"10101","","","93","0.2","","","1101010031","","","0"
"10101","","0","6","1","1","0","1101010032","0","1","1"
"10101","","0","6","2","1","0","1101010033","0","1","1"
"10101","","0","6","3","1","0","1101010034","0","1","1"
"10101","","","32","0","","","1101010035","","","0"
"10101","","","32","1","","","1101010036","","","0"
"10101","","","32","2","","","1101010037","","","0"
"10101","","","32","3","","","1101010038","","","0"
"10101","","","32","4","","","1101010039","","","0"
"10101","","","32","10","","","1101010040","","","0"
"10101","","","93","0.3","","","1101010041","","","0"
"10101","","0","111","1","1","0","1101010042","0.1","1","1"
"10201","empty","0","5","2","-205","-325","1102010001","0.9","50","1"
"10201","empty","0","5","102000","-205","-325","1102010002","0.9","58","2"
"10201","idle_single","0","5","100","1500","-263","1102010003","0.6","54","100"
"10201","","","31","102000","0","1","1102010004","0","0","0"
"10201","","","31","102001","-263","1","1102010005","0","1500","1"
"10201","","","31","102002","0","1","1102010006","0","0","2"
"10201","","","31","102003","-136","1","1102010007","0","-132","3"
"10201","","","31","102004","0","1","1102010008","0","0","4"
"10201","","","31","1","0","1","1102010009","0","0","10"
"10201","","","31","2","0","1","1102010010","0","0","20"
"10201","","","31","3","0","1","1102010011","0","0","30"
"10201","","","91","0","","","1102010012","","","0"
"10201","","","32","0","","","1102010013","","","1"
"10201","","","32","10","","","1102010014","","","1"
"10201","","","23","se_caravan","","","1102010015","","0","se_caravan_dice_get_intro"
"10201","","","3","1","","","1102010016","0","1","getDice_idle"
"10201","","0","3","100","eat_loop","1","1102010017","0","0","run_getDice"
"10201","","","32","1","","","1102010018","","","1"
"10201","","","2","100","2","11","1102010019","","-263","344"
"10201","","","33","1","2","11","1102010020","","-263","344"
"10201","","","32","2","","","1102010021","","","1"
"10201","","","93","1.7","","","1102010022","","","0"
"10201","","0","3","1","","","1102010023","0.2","1","getDice_curious"
"10201","","","21","vo_caravan","0","","1102010024","","0","vo_caravan_event_002_000"
"10201","","","93","1.5","","","1102010025","","","0"
"10201","","","23","se_caravan","","","1102010026","","0","se_caravan_dice_get_outro_1"
"10201","","","21","vo_caravan","0.1","","1102010027","","0","vo_caravan_event_002_001"
"10201","","","3","100","","","1102010028","0.1","0","spit_in"
"10201","","","3","2","","","1102010029","0","0","getDice_1"
"10201","","","3","1","","","1102010030","0.1","0","getDice_panic_1"
"10201","","","93","0.5","","","1102010031","","","0"
