5a091d3544b4947d3b749daeaa1e0e389d23a38f022a23b6305356029ab41a14,2e2ae0a80bbdf4290453853ff82f8971d4b032f0a58bc21cea5cee8ca625101e,6308da6bb62e97df9da7c4ad2099185950246d5aea1f4242e6b0d59d8d378daf,0a58fc58fdc7b882b6911958129ec46fc5db6170f58cabf09736582571021569,34c7362f11006861443594c8a382166f30577398c68f60b058a2c917c805e995,a68d498d3c4fc6b7741ef6b65752a52d5c5422f785d50d346964ada19ae8a030,d2b1eb121ba6d9f39741c325fa53865fcff8a904b54cac37fad2465aea591965,c09f0f3591cff54f7db296c04b52738c98ede9a2a17a4581a2a040e0e45b80d6,73e02c4fd030f43c404f4dd2b0989fcef6321e86567a8fbf9a9ee5b1db4b6af6,8a24014b8c1527fd017b98531b9d7bf169b5bd56135e83d4159aedee35a14b86,8aad07a89b19a719b8291dd433dcb2d7ab44adea0613761b6e3f87c671d18505
"1010001","1.8","112511","omp_talk_worry","1","-140","-190","0","1500","1","1"
"1010002","1.8","112411","omp_idle_normal","1","140","-190","1","1500","1","1"
"1010003","1","1","","31","0","1","","0","1","1"
"1010004","","","","93","","","","","1","1"
"1010005","","vo_omp_7001_000","","21","0","","","0","vo_omp_7001","1"
"1010006","","卯月，還好嗎？\n連日在外露營會不會累？","","11","1","1","","10","112511","1"
"1010007","","","","91","","","","","0","1"
"1010008","0","omp_idle_worry","","3","","","","1","112511","1"
"1010009","0","omp_talk_joy1","","3","","","","1","112411","1"
"1010010","","vo_omp_7001_001","","21","0","","","0","vo_omp_7001","1"
"1010011","","嗯，我沒事！\n而且我也非常開心\n能夠和大家一起旅行。","","11","1","1","","10","112411","1"
"1010012","","","","91","","","","","0","1"
"1010013","0","omp_psn_20","","3","","","","1","112411","1"
"1010014","0","omp_talk_normal","","3","","","","1","112511","1"
"1010015","","vo_omp_7001_002","","21","0","","","0","vo_omp_7001","1"
"1010016","","這樣啊，\n卯月妳好像無論何時都很開心呢。","","11","1","1","","10","112511","1"
"1010017","","","","91","","","","","0","1"
"1010018","0","omp_idle_normal","","3","","","","1","112511","1"
"1010019","0","omp_talk_sad","","3","","","","1","112411","1"
"1010020","","vo_omp_7001_003","","21","0","","","0","vo_omp_7001","1"
"1010021","","難道說……\n小凜妳不開心嗎？","","11","1","1","","10","112411","1"
"1010022","","","","91","","","","","0","1"
"1010023","0","omp_idle_sad","","3","","","","1","112411","1"
"1010024","0","omp_surprise","","3","omp_idle_surprise1","1","0.1","0","112511","1"
"1010025","","vo_omp_7001_004","","21","0","","","0","vo_omp_7001","1"
"1010026","","咦？為什麼這麼說？\n沒那回事喔。\n我也……非常開心。","","11","1","1","","10","112511","1"
"1010027","","1","","93","","","","","2.5","1"
"1010028","0.2","omp_talk_normal","","3","","","","1","112511","1"
"1010029","","","","91","","","","","1010026","1"
"1010030","0","omp_idle_normal","","3","","","","1","112511","1"
"1010031","0","omp_talk_joy2","","3","","","","1","112411","1"
"1010032","","vo_omp_7001_005","","21","0","","","0","vo_omp_7001","1"
"1010033","","欸嘿嘿♪\n那麼妳就放心吧！\n小凜很開心的話，\n我也會很開心的！","","11","1","1","","10","112411","1"
"1010034","","","","91","","","","","0","1"
"1010035","","0","","4","","","","1","112511","1"
"1010036","0","omp_psn_20","","3","","","","1","112411","1"
"1010037","0","omp_idle_normal","","3","","","","1","112511","1"
"1010038","","vo_omp_7001_006","","21","0","","","0","vo_omp_7001","1"
"1010039","","明明是我在擔心妳……\n卻是我被妳所鼓勵，\n卯月妳果然很厲害呢……","","11","1","1","","10","112511","1"
"1010040","","","","91","","","","","0","1"
"1010041","","","","93","","","","","0.4","1"
"1020001","1.8","112511","omp_idle_normal","1","-180","-195","0","1600","1","2"
"1020002","1.8","112411","omp_talk_normal","1","20","-190","1","1500","1","2"
"1020003","1.8","112611","omp_idle_normal","1","220","-205","1","1600","1","2"
"1020004","1","1","","31","0","1","","0","1","2"
"1020005","","","","93","","","","","1","2"
"1020006","","vo_omp_7002_000","","21","0","","","0","vo_omp_7002","2"
"1020007","","貪吃佩可的魔物料理，\n真的很美味呢♪","","11","1","1","","10","112411","2"
"1020008","","","","91","","","","","0","2"
"1020009","","0","","4","","","","","112411","2"
"1020010","0","omp_idle_normal","","3","","","","1","112411","2"
"1020011","0","omp_talk_joy1","","3","","","","1","112611","2"
"1020012","","vo_omp_7002_001","","21","0","","","0","vo_omp_7002","2"
"1020013","","嗯！不但很美味，\n還有種冒險的醍醐味……\n讓人覺得是很棒的經驗呢！","","11","1","1","","10","112611","2"
"1020014","","","","91","","","","","0","2"
"1020015","0","omp_idle_joy1","","3","","","","1","112611","2"
"1020016","0","omp_talk_surprise1","","3","","","","1","112411","2"
"1020017","","vo_omp_7002_002","","21","0","","","0","vo_omp_7002","2"
"1020018","","可是很不可思議呢！\n外表長成那樣子的魔物，\n竟然能夠變身成一道道美食！","","11","1","1","","10","112411","2"
"1020019","","","","91","","","","","0","2"
"1020020","","1","","4","","","","","112411","2"
"1020021","0","omp_idle_surprise1","","3","","","","1","112411","2"
"1020022","0","omp_talk_normal","","3","","","","1","112511","2"
"1020023","","vo_omp_7002_003","","21","0","","","0","vo_omp_7002","2"
"1020024","","味道超乎想像呢，\n我是指好的方面。","","11","1","1","","10","112511","2"
"1020025","","","","91","","","","","0","2"
"1020026","0","omp_talk_sad","","3","","","","1","112511","2"
"1020027","","vo_omp_7002_004","","21","0","","","0","vo_omp_7002","2"
"1020028","","可是在料理魔物的時候，\n嗯，該怎麼說……","","11","1","1","","10","112511","2"
"1020029","","","","91","","","","","0","2"
"1020030","0","omp_idle_sad","","3","","","","1","112511","2"
"1020031","0","omp_talk_bitter","","3","","","","1","112411","2"
"1020032","","vo_omp_7002_005","","21","0","","","0","vo_omp_7002","2"
"1020033","","……很、很不得了呢！","","11","1","1","","10","112411","2"
"1020034","","","","91","","","","","0","2"
"1020035","0","omp_idle_bitter","","3","","","","1","112411","2"
"1020036","0","omp_talk_joy1","","3","","","","1","112611","2"
"1020037","","vo_omp_7002_006","","21","0","","","0","vo_omp_7002","2"
"1020038","","魔物料理就全權\n交給佩可小姐處理或許\n比較好呢。啊哈哈～","","11","1","1","","10","112611","2"
"1020039","","","","91","","","","","0","2"
"1020040","0","omp_idle_joy1","","3","","","","1","112611","2"
"1020041","0","omp_talk_bitter","","3","","","","1","112511","2"
"1020042","","vo_omp_7002_007","","21","0","","","0","vo_omp_7002","2"
"1020043","","冒險真是深奧呢……","","11","1","1","","10","112511","2"
"1020044","","","","91","","","","","0","2"
"1020045","","","","93","","","","","0.4","2"
"1030001","1.8","112411","omp_talk_joy1","1","-140","-190","0","1500","1","3"
"1030002","1.8","112611","omp_idle_normal","1","140","-190","1","1500","1","3"
"1030003","1","1","","31","0","1","","0","1","3"
"1030004","","","","93","","","","","1","3"
"1030005","","vo_omp_7003_000","","21","0","","","0","vo_omp_7003","3"
"1030006","","未央！\n這附近有各式各樣的魔物，\n好有趣呢！","","11","1","1","","10","112411","3"
"1030007","","","","91","","","","","0","3"
"1030008","0","omp_psn_20","","3","","","","1","112411","3"
"1030009","0","omp_psn_19","","3","","","","1","112611","3"
"1030010","","vo_omp_7003_001","","21","0","","","0","vo_omp_7003","3"
"1030011","","有、有趣嗎～？","","11","1","1","","10","112611","3"
"1030012","","","","91","","","","","0","3"
"1030013","0","omp_psn_18","","3","","","","1","112611","3"
"1030014","0","omp_talk_joy1","","3","","","","1","112411","3"
"1030015","","vo_omp_7003_002","","21","0","","","0","vo_omp_7003","3"
"1030016","","雖然有很多可怕的魔物，\n但是仔細去找，我想也會有像\n皮喵太或小小格里芬先生\n這樣可愛的魔物哦！","","11","1","1","","10","112411","3"
"1030017","","","","91","","","","","0","3"
"1030018","0","omp_psn_20","","3","","","","1","112411","3"
"1030019","0","omp_talk_joy1","","3","","","","1","112611","3"
"1030020","","vo_omp_7003_003","","21","0","","","0","vo_omp_7003","3"
"1030021","","原來是那樣啊。\n不對，慢著島村村，\n小小格里芬或許還稱得上可愛，\n可是皮喵……算可愛嗎～？","","11","1","1","","10","112611","3"
"1030022","","1","","93","","","","","1.5","3"
"1030023","0.2","omp_psn_19","","3","","","","1","112611","3"
"1030024","","","","91","","","","","1030021","3"
"1030025","0","omp_psn_18","","3","","","","1","112611","3"
"1030026","0","omp_talk_joy1","","3","","","","1","112411","3"
"1030027","","vo_omp_7003_004","","21","0","","","0","vo_omp_7003","3"
"1030028","","很可愛啊～\n不知道能不能用我們的歌聲\n吸引很多的\n皮喵太過來呢？","","11","1","1","","10","112411","3"
"1030029","","","","91","","","","","0","3"
"1030030","0","omp_psn_20","","3","","","","1","112411","3"
"1030031","0","omp_psn_19","","3","","","","1","112611","3"
"1030032","","vo_omp_7003_005","","21","0","","","0","vo_omp_7003","3"
"1030033","","哎呀～不好說呢，\n皮喵感覺是\n世上唯一一個……\n不如說是希望只有牠一個……","","11","1","1","","10","112611","3"
"1030034","","","","91","","","","","0","3"
"1030035","0","omp_psn_18","","3","","","","1","112611","3"
"1030036","0","omp_talk_joy2","","3","","","","1","112411","3"
"1030037","","vo_omp_7003_006","","21","0","","","0","vo_omp_7003","3"
"1030038","","啊，確實是呢！\n首先得讓陪著我們的皮喵太\n認可我們才行呢♪","","11","1","1","","10","112411","3"
"1030039","","","","91","","","","","0","3"
"1030040","0","omp_psn_20","","3","","","","1","112411","3"
"1030041","0","omp_talk_sad","","3","","","","1","112611","3"
"1030042","","vo_omp_7003_007","","21","0","","","0","vo_omp_7003","3"
"1030043","","我不是那個意思……\n不過妳放棄吸引牠們的話，\n那就這樣吧！\n照這股氣勢加油吧，島村村！","","11","1","1","","10","112611","3"
"1030044","","1","","93","","","","","6","3"
"1030045","0.2","omp_talk_joy2","","3","","","","1","112611","3"
"1030046","","","","91","","","","","1030043","3"
"1030047","0","omp_idle_joy2","","3","","","","1","112611","3"
"1030048","0","omp_talk_joy2","","3","","","","1","112411","3"
"1030049","","vo_omp_7003_008","","21","0","","","0","vo_omp_7003","3"
"1030050","","好的！\n一起加油吧！","","11","1","1","","10","112411","3"
"1030051","","","","91","","","","","0","3"
"1030052","","","","93","","","","","0.4","3"
"1040001","1.8","105831","omp_talk_normal","1","-180","-195","0","1600","1","4"
"1040002","1.8","105931","omp_idle_normal","1","20","-190","1","1500","1","4"
"1040003","1.8","106031","omp_idle_normal","1","220","-205","1","1600","1","4"
"1040004","1","1","","31","0","1","","0","1","4"
"1040005","","","","93","","","","","1","4"
"1040006","","vo_omp_7004_000","","21","0","","","0","vo_omp_7004","4"
"1040007","","機會難得，\n我們要不要也來\n當當看偶像啊？","","11","1","1","","10","105831","4"
"1040008","","","","91","","","","","0","4"
"1040009","0","omp_idle_normal","","3","","","","1","105831","4"
"1040010","0","omp_talk_normal","","3","","","","1","105931","4"
"1040011","","vo_omp_7004_001","","21","0","","","0","vo_omp_7004","4"
"1040012","","偶像團體\n【美食殿堂】嗎？\n感覺很有趣呢。","","11","1","1","","10","105931","4"
"1040013","","","","91","","","","","0","4"
"1040014","","0","","4","","","","","105931","4"
"1040015","0","omp_idle_normal","","3","","","","1","105931","4"
"1040016","0","omp_surprise","","3","omp_idle_surprise1","1","","0","106031","4"
"1040017","","vo_omp_7004_002","","21","0","","","0","vo_omp_7004","4"
"1040018","","咦！？真的嗎…！？\n不、不對，\n妳們是笨蛋嗎！？","","11","1","1","","10","106031","4"
"1040019","","1","","93","","","","","2","4"
"1040020","0.1","omp_talk_tsun","","3","","","","1","106031","4"
"1040021","","","","91","","","","","1040018","4"
"1040022","0","omp_talk_tsun","","3","","","","1","106031","4"
"1040023","","vo_omp_7004_003","","21","0","","","0","vo_omp_7004","4"
"1040024","","看著她們三個人，\n妳們還不懂偶像\n有多辛苦嗎？","","11","1","1","","10","106031","4"
"1040025","","","","91","","","","","0","4"
"1040026","0","omp_idle_tsun","","3","","","","1","106031","4"
"1040027","0","omp_talk_worry","","3","","","","1","105931","4"
"1040028","","vo_omp_7004_004","","21","0","","","0","vo_omp_7004","4"
"1040029","","話是那麼說沒錯……\n不過實在是太叫人好奇了呢。","","11","1","1","","10","105931","4"
"1040030","","","","91","","","","","0","4"
"1040031","","1","","4","","","","","105931","4"
"1040032","0","omp_idle_worry","","3","","","","1","105931","4"
"1040033","0","omp_talk_joy1","","3","","","","1","105831","4"
"1040034","","vo_omp_7004_005","","21","0","","","0","vo_omp_7004","4"
