d831a0d868c402cbdf5306fa27a2f183615ca9751bbc435a4d76f26a16edb01f,bdb6329e9cbe311be3d84237def530468e069be55c032d3e95b70c0a69560b21,9aed3f3c0d599114ff7678250fb63b9ac035f8d19221dc83e90ddc7356ad6a99,f7d0810332e24ea71ffc3a20201eb69e82e1d7b4db5197afa8d519b8fb537e9f,79aa7f69d8cbd42e8b1dcf50737aa725b3d344f86e0f6295289c0985f54fa96d,e7b36fccfcdfce337ffd0aa0321c2c04259930d1ae9118aac1b2c75ddedf0e88,6815679f82da39039e57ebb322532d11d44d3b42dc8e0d54485d2f2b00a02946,7dbdc3fc178b805b093fe08d649f838ffa918025c42bb53af7909df65de45a33,ee2c20fd493aba136f17d0e28ce866ac6e7f7f996deeee8cbca6b79b17f8ac2a,833852a05dceb3fcfea7972ef0d4c836df4f1df1ebfa5710248c313611e34f2f,037d381a45de4ed26022d224c9f6baf98b06bfad2242ff757fc0d55a6fcd4b3d,3d7391fbcf1f3691db850cea5e1d34cb1d520ae0e763deab42eae8d02b74318a,8b31fe08aa9815d4aa0541e965736b5e6049485da6dee52c94c2bc7d9aad9d56,a7bac1b4f3ff14fd7940790d21ced1246d041751069e3d48112d54837b53997a,db65fc5241ee85dc1dd50faca0ec3052a2218c3350e8c106724bf414fdbed46e,9c5415a4c168438764e0124f429ad4c855703ae3274c1640e33868e9f97baf46,51ab019352402b121441df151e94ce2c83e35d81baea207b7002243c59d644f2,2002120d6726067178fa8cb4484d59809cbfd192a2f10594f47a40a37d7ff078
"1","1","10","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"2","11","100","8","91002","10","0","0","0","0","0","0","0","0","0","0","0","0"
"3","101","200","8","91002","5","0","0","0","0","0","0","0","0","0","0","0","0"
"4","201","500","8","91002","3","0","0","0","0","0","0","0","0","0","0","0","0"
"5","501","1000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1001","2000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2001","3999","8","91002","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8","4000","4000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"9","4100","4100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"10","4200","4200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"11","4300","4300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"12","4400","4400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"13","4500","4500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"14","4600","4600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"15","4700","4700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"16","4800","4800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"17","4900","4900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"18","5000","5000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"19","5100","5100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"20","5200","5200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"21","5300","5300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"22","5400","5400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"23","5500","5500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"24","5600","5600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"25","5700","5700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"26","5800","5800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"27","5900","5900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"28","6000","6000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"29","6100","6100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"30","6200","6200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"31","6300","6300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"32","6400","6400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"33","6500","6500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"34","6600","6600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"35","6700","6700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"36","6800","6800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"37","6900","6900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"38","7000","7000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"39","7100","7100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"40","7200","7200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"41","7300","7300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"42","7400","7400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"43","7500","7500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"44","7600","7600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"45","7700","7700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"46","7800","7800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"47","7900","7900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"48","8000","8000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"49","8100","8100","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"50","8200","8200","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"51","8300","8300","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"52","8400","8400","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"53","8500","8500","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
