e115dccd54550e11e0f618acfe53dc7b933b58ce8b4a5a59f58906d99a585d1e,674523e8bb221afe2d571d2e42dbf0e6dc57d417656b4aaad26b840ece63dfdb,b416453369e77bc15f75f22ff45a5240f1f08f9ac595cf49e3f60cfb4ca9e37d,acb490e7b94fa4f2d216d0fea2a47bf6748e5b9f75bb2cf788794ffb81e45b2c
"HP","10000","1","1"
"物理攻擊力","10000","1","2"
"物理防禦力","10000","1","3"
"魔法攻擊力","10000","1","4"
"魔法防禦力","10000","1","5"
"物理暴擊率","10000","1","6"
"魔法暴擊率","10000","1","7"
"迴避率","1","0","8"
"HP吸收","1","0","9"
"HP自動恢復","1","0","10"
"TP自動恢復","1","0","11"
"物理貫通傷害","1","0","12"
"魔法貫通傷害","1","0","13"
"TP上升","1","0","14"
"回復量上升","1","0","15"
"TP消耗減輕","1","0","16"
"命中","1","0","17"
"物理暴擊傷害","100","1","100"
"魔法暴擊傷害","100","1","101"
"物理造成的傷害","100","1","102"
"魔法造成的傷害","100","1","103"
"屬性獎勵","10000","1","104"
