02b1182b812199aeeca7d7c327686427486a09ca62d45c811c1894e8790b612d,6b17da1aa651cf0716826ba5766c14db523eeca5b3bc9709c46a051de877816b,a8e515e7eb5fe07f56341a4a8d75a75b317f3aee3358495f7741aefcd7b4c9b3,9fe573a36bbd3c947fde4fbb85457f672837d0eb5a6e0eceec015ef331df8ae4,2377d6a091099d3f1a5d7c1231288b330df8a619e0e1eb9eba9d26bcb282cd4e
"10001001","53001","10001","22","1"
"10001002","53004","10001","22","1"
"10001003","53007","10001","22","1"
"10001004","53010","10001","22","1"
"10001005","53013","10001","22","1"
"10001006","53016","10001","22","1"
"10001007","53019","10001","22","1"
"10001008","53022","10001","22","1"
"10001009","53002","10001","22","1"
"10001010","53005","10001","22","1"
"10001011","53008","10001","22","1"
"10001012","53011","10001","22","1"
"10001013","53014","10001","22","1"
"10001014","53017","10001","22","1"
"10001015","53020","10001","22","1"
"10001016","53023","10001","22","1"
"10002001","53001","10002","22","1"
"10002002","53002","10002","22","1"
"10002003","53005","10002","22","1"
"10002004","53008","10002","22","1"
"10002005","53011","10002","22","1"
"10002006","53014","10002","22","1"
"10002007","53017","10002","22","1"
"10002008","53020","10002","22","1"
"10002009","53023","10002","22","1"
"10002010","53003","10002","22","1"
"10002011","53006","10002","22","1"
"10002012","53009","10002","22","1"
"10002013","53012","10002","22","1"
"10002014","53015","10002","22","1"
"10002015","53018","10002","22","1"
"10002016","53021","10002","22","1"
"10002017","53024","10002","22","1"
"10003001","53002","10003","22","1"
"10003002","53002","10003","22","2"
"10003003","53003","10003","22","1"
"10003004","53003","10003","22","2"
"10003005","53003","10003","22","3"
"10003006","53006","10003","22","1"
"10003007","53009","10003","22","1"
"10003008","53012","10003","22","1"
"10003009","53015","10003","22","1"
"10003010","53018","10003","22","1"
"10003011","53021","10003","22","1"
"10003012","53024","10003","22","1"
"10003013","53006","10003","22","2"
"10003014","53009","10003","22","2"
"10003015","53012","10003","22","2"
"10003016","53015","10003","22","2"
"10003017","53018","10003","22","2"
"10003018","53021","10003","22","2"
"10003019","53024","10003","22","2"
"10003020","53006","10003","22","3"
"10003021","53009","10003","22","3"
"10003022","53012","10003","22","3"
"10003023","53015","10003","22","3"
"10003024","53018","10003","22","3"
"10003025","53021","10003","22","3"
"10003026","53024","10003","22","3"
