c97a43e70917eb8be414dfc2fe7ad3825bfc00c2609bfd4c8c4793f5cb8eb09b,833479307d60211ae07699104e14b341075e8e083deeb228e9d776b3e7b5341e,8154c11962279ca19e784149a81a61d82f1864d41784358fa5f77f09d5d5cfea,f46d2b3222c3661d082f9a6b2fbb67014cad374bb3ffd18a7fed6e0f5674ca12,e01ef162ee78541875cba7b8a15b6699f1e362ac7a3728b3ec06a7bce66bdd7b,99451b50f97d813265af8d7c5d3d7a01ac3c1f3fa7095cbe736497e4b6fd3767
"1000000","100","100","100","100","100"
"2000000","150","100","100","100","100"
"2000001","100","150","100","100","100"
"2000002","100","100","150","100","100"
"2000003","100","100","100","150","100"
"2000004","100","100","100","100","150"
"3000000","150","150","100","100","100"
"3000001","150","100","150","100","100"
"3000002","150","100","100","150","100"
"3000003","150","100","100","100","150"
"3000004","100","150","150","100","100"
"3000005","100","150","100","150","100"
"3000006","100","150","100","100","150"
"3000007","100","100","150","150","100"
"3000008","100","100","150","100","150"
"3000009","100","100","100","150","150"
"4000000","150","150","150","100","100"
"4000001","150","150","100","150","100"
"4000002","150","150","100","100","150"
"4000003","150","100","150","150","100"
"4000004","150","100","150","100","150"
"4000005","150","100","100","150","150"
"4000006","100","150","150","150","100"
"4000007","100","150","150","100","150"
"4000008","100","150","100","150","150"
"4000009","100","100","150","150","150"
"5000000","150","150","150","150","100"
"5000001","150","150","150","100","150"
"5000002","150","150","100","150","150"
"5000003","150","100","150","150","150"
"5000004","100","150","150","150","150"
