8079b586d1855598dde580383bbdf3e288e396790f63767ef7819ff3421f6e7e,e7e1599545941461124b4e178114722bc655813226b2aada7c0bb86bb6b7daed,7cbc8fe74a43327ef6eae7327593f9549982f65f87d78d2cebc29787e9b393e8,f46ada19a07feba2c7ca013603189eaa0f6673c02f94f3070c2ebb53f39bfbe5,f0651115a4fc467a2c0dafcc37ddb10b8cb2ee18c7577ea1f71f763ed2f50392,7da6a6b835c32b8a2532d2969631786814b3725a6f62a0ec7bf255267fefea90,a9d397943590442afb65a98219e58543ff4ae4891800abf7a250f7bcf121aa8c,2321f04d7cdf0d1ca42281767cc82a50df8dbcd083b0b803de279b10e19a2a87,dcb71ee648d74ce6ef29c1a9bd5885012b1f90549076708e5ba8b6babf6a9784,97fa48b580da979a9c321117682aa7006f82e62e9eebc45b034918ba64fbb53e,fb20c10dae4daafe89b25deba939f75ca3b0540fa832333a11e68b6ae43a9786
"1101010001","1","5","0","1","0","0","1","53","empty","10101"
"1101010002","1","5","0","101000","0","0","2","56","empty","10101"
"1101010003","1","5","0","101000","0","0","3","70","empty","10101"
"1101010004","0","31","0","101000","","1","0","0","","10101"
"1101010005","0","31","0","101001","","1","1","0","","10101"
"1101010006","0","31","0","101002","","1","2","0","","10101"
"1101010007","0","31","0","101003","","1","3","0","","10101"
"1101010008","0","31","0","101004","","1","4","0","","10101"
"1101010009","0","31","0","1","","1","10","0","","10101"
"1101010010","0","31","0","3","","1","30","0","","10101"
"1101010011","","91","","0","","","0","","","10101"
"1101010012","","32","","0","","","1","","","10101"
"1101010013","","32","","10","","","1","","","10101"
"1101010014","0","3","","2","","","getDish_1_in","0","","10101"
"1101010015","","93","","0.2","","","0","","","10101"
"1101010016","0","3","","1","","","getDish","0","","10101"
"1101010017","0","3","","2","","","getDish_1_B","0","","10101"
"1101010018","0","3","","3","","","getDish_1_F","0","","10101"
"1101010019","","32","","1","","","1","","","10101"
"1101010020","","32","","3","","","1","","","10101"
"1101010021","","93","","7.2","","","0","","","10101"
"1101010022","","101","","1101010023","","","1","","","10101"
"1101010023","","35","","2","","","1","","","10101"
"1101010024","","32","","2","","","1","","","10101"
"1101010025","","35","","4","","","1","","","10101"
"1101010026","","32","","4","","","1","","","10101"
"1101010027","","32","","3","","","0","","","10101"
"1101010028","","93","","2.3","","","0","","","10101"
"1101010029","","35","","30","","","1","","","10101"
"1101010030","","32","","30","","","1","","","10101"
"1101010031","","93","","0.2","","","0","","","10101"
"1101010032","0","6","1","1","0","0","1","1","","10101"
"1101010033","0","6","1","2","0","0","1","1","","10101"
"1101010034","0","6","1","3","0","0","1","1","","10101"
"1101010035","","32","","0","","","0","","","10101"
"1101010036","","32","","1","","","0","","","10101"
"1101010037","","32","","2","","","0","","","10101"
"1101010038","","32","","3","","","0","","","10101"
"1101010039","","32","","4","","","0","","","10101"
"1101010040","","32","","10","","","0","","","10101"
"1101010041","","93","","0.3","","","0","","","10101"
"1101010042","0.1","111","1","1","0","0","1","1","","10101"
"1102010001","0.9","5","-205","2","0","-325","1","50","empty","10201"
"1102010002","0.9","5","-205","102000","0","-325","2","58","empty","10201"
"1102010003","0.6","5","1500","100","0","-263","100","54","idle_single","10201"
"1102010004","0","31","0","102000","","1","0","0","","10201"
"1102010005","0","31","-263","102001","","1","1","1500","","10201"
"1102010006","0","31","0","102002","","1","2","0","","10201"
"1102010007","0","31","-136","102003","","1","3","-132","","10201"
"1102010008","0","31","0","102004","","1","4","0","","10201"
"1102010009","0","31","0","1","","1","10","0","","10201"
"1102010010","0","31","0","2","","1","20","0","","10201"
"1102010011","0","31","0","3","","1","30","0","","10201"
"1102010012","","91","","0","","","0","","","10201"
"1102010013","","32","","0","","","1","","","10201"
"1102010014","","32","","10","","","1","","","10201"
"1102010015","","23","","se_caravan","","","se_caravan_dice_get_intro","0","","10201"
"1102010016","0","3","","1","","","getDice_idle","1","","10201"
"1102010017","0","3","eat_loop","100","0","1","run_getDice","0","","10201"
"1102010018","","32","","1","","","1","","","10201"
"1102010019","","2","2","100","","11","344","-263","","10201"
"1102010020","","33","2","1","","11","344","-263","","10201"
"1102010021","","32","","2","","","1","","","10201"
"1102010022","","93","","1.7","","","0","","","10201"
"1102010023","0.2","3","","1","0","","getDice_curious","1","","10201"
"1102010024","","21","0","vo_caravan","","","vo_caravan_event_002_000","0","","10201"
"1102010025","","93","","1.5","","","0","","","10201"
"1102010026","","23","","se_caravan","","","se_caravan_dice_get_outro_1","0","","10201"
"1102010027","","21","0.1","vo_caravan","","","vo_caravan_event_002_001","0","","10201"
"1102010028","0.1","3","","100","","","spit_in","0","","10201"
"1102010029","0","3","","2","","","getDice_1","0","","10201"
"1102010030","0.1","3","","1","","","getDice_panic_1","0","","10201"
"1102010031","","93","","0.5","","","0","","","10201"
"1102010032","0","3","idle_single","100","0","1","spit_out","0","","10201"
"1102010033","","93","","1.4","","","0","","","10201"
"1102010034","0.2","3","idle_single","100","0","1","joy_single","0","","10201"
"1102010035","","93","","0.1","","","0","","","10201"
"1102010036","","32","","3","","","1","","","10201"
"1102010037","","93","","0.5","","","0","","","10201"
"1102010038","","21","0","vo_caravan","","","vo_caravan_event_002_002","0","","10201"
"1102010039","","93","","1.3","","","0","","","10201"
"1102010040","","101","","1102010041","","","0","","","10201"
"1102010041","","35","","4","","","1","","","10201"
"1102010042","","32","","4","","","1","","","10201"
"1102010043","","32","","20","","","1","","","10201"
"1102010044","","32","","1","","","0","","","10201"
"1102010045","","93","","0.4","","","0","","","10201"
"1102010046","","92","","","","","","","","10201"
"1102010047","","35","","30","","","1","","","10201"
"1102010048","","32","","30","","","1","","","10201"
"1102010049","","93","","0.2","","","0","","","10201"
"1102010050","0","6","1","1","0","0","1","1","","10201"
"1102010051","0","6","1","2","0","0","1","1","","10201"
"1102010052","0","6","1","100","0","0","1","1","","10201"
"1102010053","","32","","0","","","0","","","10201"
"1102010054","","32","","2","","","0","","","10201"
"1102010055","","32","","3","","","0","","","10201"
"1102010056","","32","","4","","","0","","","10201"
"1102010057","","32","","10","","","0","","","10201"
"1102010058","","93","","0.3","","","0","","","10201"
"1102020001","0.9","5","-205","2","0","-325","1","50","empty","10202"
"1102020002","0.9","5","-205","102000","0","-325","2","58","empty","10202"
"1102020003","0.6","5","1500","100","0","-263","100","54","idle_single","10202"
"1102020004","0","31","0","102000","","1","0","0","","10202"
"1102020005","0","31","-263","102001","","1","1","1500","","10202"
"1102020006","0","31","0","102002","","1","2","0","","10202"
"1102020007","0","31","-136","102003","","1","3","-132","","10202"
"1102020008","0","31","0","102005","","1","4","0","","10202"
"1102020009","0","31","0","1","","1","10","0","","10202"
"1102020010","0","31","0","2","","1","20","0","","10202"
"1102020011","0","31","0","3","","1","30","0","","10202"
"1102020012","","91","","0","","","0","","","10202"
"1102020013","","32","","0","","","1","","","10202"
"1102020014","","32","","10","","","1","","","10202"
"1102020015","","23","","se_caravan","","","se_caravan_dice_get_intro","0","","10202"
"1102020016","0","3","","1","","","getDice_idle","1","","10202"
"1102020017","0","3","eat_loop","100","0","1","run_getDice","0","","10202"
"1102020018","","32","","1","","","1","","","10202"
"1102020019","","2","2","100","","11","344","-263","","10202"
"1102020020","","33","2","1","","11","344","-263","","10202"
"1102020021","","32","","2","","","1","","","10202"
"1102020022","","93","","1.7","","","0","","","10202"
"1102020023","0.2","3","","1","0","","getDice_curious","1","","10202"
"1102020024","","21","0","vo_caravan","","","vo_caravan_event_003_000","0","","10202"
"1102020025","","93","","1.5","","","0","","","10202"
"1102020026","","23","","se_caravan","","","se_caravan_dice_get_outro_2","0","","10202"
"1102020027","","21","0","vo_caravan","","","vo_caravan_event_003_001","0","","10202"
"1102020028","0.1","3","idle_single","100","0","1","spit_in","0","","10202"
"1102020029","0","3","","2","","","getDice_2","0","","10202"
"1102020030","0.1","3","","1","","","getDice_panic_2","0","","10202"
"1102020031","","93","","2.5","","","0","","","10202"
"1102020032","0.2","3","idle_single","100","0","1","joy_single","0","","10202"
"1102020033","","93","","0.5","","","0","","","10202"
"1102020034","","21","0.1","vo_caravan","","","vo_caravan_event_003_002","0","","10202"
"1102020035","","93","","0.1","","","0","","","10202"
"1102020036","","32","","3","","","1","","","10202"
"1102020037","","93","","1.6","","","0","","","10202"
"1102020038","","101","","1102020039","","","0","","","10202"
"1102020039","","35","","4","","","1","","","10202"
"1102020040","","32","","4","","","1","","","10202"
"1102020041","","32","","20","","","1","","","10202"
"1102020042","","32","","1","","","0","","","10202"
"1102020043","","93","","0.4","","","0","","","10202"
"1102020044","","92","","","","","","","","10202"
"1102020045","","35","","30","","","1","","","10202"
"1102020046","","32","","30","","","1","","","10202"
"1102020047","","93","","0.2","","","0","","","10202"
"1102020048","0","6","1","1","0","0","1","1","","10202"
"1102020049","0","6","1","2","0","0","1","1","","10202"
"1102020050","0","6","1","100","0","0","1","1","","10202"
"1102020051","","32","","0","","","0","","","10202"
"1102020052","","32","","2","","","0","","","10202"
"1102020053","","32","","3","","","0","","","10202"
"1102020054","","32","","4","","","0","","","10202"
"1102020055","","32","","10","","","0","","","10202"
"1102020056","","32","","20","","","0","","","10202"
"1102020057","","93","","0.3","","","0","","","10202"
"1103010001","1","5","0","1","0","0","1","20","magicitem_1","10301"
"1103010002","1","5","0","2","0","0","2","19","magicitem_2","10301"
"1103010003","1","5","0","3","0","0","3","18","magicitem_3","10301"
"1103010004","1","5","0","103000","0","0","4","21","magicitem_kyaru","10301"
"1103010005","0","31","0","103000","","1","10","0","","10301"
"1103010006","0","31","0","103001","","1","11","0","","10301"
"1103010007","0","31","0","103002","","1","12","0","","10301"
"1103010008","0","31","0","103003","","1","13","0","","10301"
"1103010009","0","31","0","103007","","1","14","0","","10301"
"1103010010","0","31","0","103011","","1","19","0","","10301"
"1103010011","1","31","0","1","","1","15","0","","10301"
