9184db0d2b3f5a1017dd476250ec30ef64eb75b0901d255bf7db402cc44651b1,49c929c492e57a0f9b75e0fb71043c4db67672aab2fc4139ae21a01f0398bc20,800c883815b9dc5d8c77120b919688bd64470cce86fb8982318b349dbf74426c,7ef063700ed4c28e0084a99747876f8a0e7170b49c95fea12b6f66f3479a998e,0def7936dcb991c21e02cec082d90fa0bda1d9e66b09a68ed91107a8f436bcd1
"1048","1045","1","1025","1037"
"1004","1006","2","1003","1062"
"1007","1006","3","1003","1029"
"1045","1062","4","1047","1025"
"1013","1022","5","1043","1003"
"1004","1019","6","1006","1048"
"1033","1003","7","1062","1037"
"1053","1059","8","1056","1050"
"1011","1034","9","1001","1030"
"1023","1026","10","1063","1046"
"1038","1044","11","1020","1014"
"1049","1040","12","1017","1008"
"1044","1020","13","1023","1017"
"1038","1020","14","1017","1001"
"1048","1008","15","1030","1036"
"1038","1011","16","1044","1004"
"1011","1022","17","1043","1005"
"1016","1047","18","1046","1042"
"1028","1063","19","1014","1041"
"1055","1058","20","1052","1061"
"1001","1024","21","1025","1031"
"1063","1005","22","1024","1064"
"1000","1044","23","1040","1066"
"1038","1010","24","1000","1076"
"1019","1043","25","1003","1077"
"1069","1068","26","1070","1071"
"1091","1090","27","1092","1089"
"1100","1099","28","1098","1097"
"1104","1103","29","1102","1101"
"1108","1107","30","1106","1105"
"1091","1090","31","1089","1088"
