3151547587c52b9a33ee1626cb93d11e253451bb26fc3bf84a527af1661df6c3,b9af95b43901c92868e9c1c1c7973cca5a42644e78b47bf506f0a03308b792ad,948fdc5365d5008a04f2b810db2946607b5ec9b7fa00a53e4588c969ffaf13cc,c78da14caef388548be54086f0828ae978946dd934457a324523f1c8cffb61a1,f1b64f80da9d975d516b65796e67603cd284cea9cdb15da68473a4d5b1f466fe,f355453f4c083f02af38f5c48f493d49e8cc3cd57a187aae4d6c668e9eee19b5,fef94125b9e8d3033f4e8ac92a64f8de2049d8c818b43505af4ebd6bbe022265,1662df33c9f6e1323015540ca6a80e13144c38edc6b8074d30cb1e65440cfb23,bac6a08ad9d1a1cfd4e07da24478422cefe34cf77defe32f58f1a11b10ac863c,149c1db64d70fdf6f999c7638f2acdf522bf1b587ee454b2fa75facace0351f4
"6","100","-1","1","93001","2030/12/31 23:59:59","18001001","2018/01/01 05:00:00","1","0"
"6","100","-1","2","93001","2030/12/31 23:59:59","18001002","2018/01/01 05:00:00","1","0"
"5","30","-1","3","0","2021/02/09 04:59:59","11001001","2018/01/01 05:00:00","1","0"
"12","30000","-1","4","94002","2021/02/09 04:59:59","11001001","2018/01/01 05:00:00","1","0"
"8","10","-1","5","91002","2021/02/09 04:59:59","11001001","2018/01/01 05:00:00","1","0"
"5","40","-1","6","0","2021/02/09 04:59:59","11003001","2018/01/01 05:00:00","1","0"
"2","2","-1","7","20002","2021/02/09 04:59:59","11003001","2018/01/01 05:00:00","1","0"
"8","10","-1","8","91002","2021/02/09 04:59:59","11003001","2018/01/01 05:00:00","1","0"
"5","20","-1","9","0","2021/02/09 04:59:59","13002001","2018/01/01 05:00:00","1","0"
"5","20","-1","10","0","2021/02/09 04:59:59","18004001","2018/01/01 05:00:00","1","0"
"5","25","-1","11","0","2021/02/09 04:59:59","16006001","2018/01/01 05:00:00","1","0"
"5","25","-1","12","0","2021/02/09 04:59:59","16007001","2018/01/01 05:00:00","1","0"
"2","3","-1","13","22001","2021/02/09 04:59:59","16007001","2018/01/01 05:00:00","1","0"
"5","30","-1","14","0","2021/02/09 04:59:59","11004001","2018/01/01 05:00:00","1","0"
"2","2","-1","15","20002","2021/02/09 04:59:59","11004001","2018/01/01 05:00:00","1","0"
"2","500","-1","16","90007","2021/02/09 04:59:59","11004001","2018/01/01 05:00:00","1","0"
"5","40","-1","17","0","2021/02/09 04:59:59","11005001","2018/01/01 05:00:00","1","0"
"12","30000","-1","18","94002","2021/02/09 04:59:59","11005001","2018/01/01 05:00:00","1","0"
"2","500","-1","19","90007","2021/02/09 04:59:59","11005001","2018/01/01 05:00:00","1","0"
"5","30","-1","20","0","2030/12/31 23:59:59","11006001","2018/01/01 05:00:00","1","0"
"2","2","-1","21","20003","2030/12/31 23:59:59","11006001","2018/01/01 05:00:00","1","0"
"5","30","-1","22","0","2023/04/17 04:59:59","15004001","2018/01/01 05:00:00","1","0"
"2","100","-1","23","90007","2023/04/17 04:59:59","15004001","2018/01/01 05:00:00","1","0"
"5","40","-1","24","0","2021/02/09 04:59:59","14001001","2018/01/01 05:00:00","1","0"
"12","80000","-1","25","94002","2021/02/09 04:59:59","14001001","2018/01/01 05:00:00","1","0"
"2","2","-1","26","20003","2021/02/09 04:59:59","14001001","2018/01/01 05:00:00","1","0"
"5","50","-1","27","0","2021/02/09 04:59:59","14003001","2018/01/01 05:00:00","1","0"
"12","140000","-1","28","94002","2021/02/09 04:59:59","14003001","2018/01/01 05:00:00","1","0"
"2","4","-1","29","22002","2021/02/09 04:59:59","14003001","2018/01/01 05:00:00","1","0"
"8","30","-1","30","91002","2030/12/31 23:59:59","21001001","2018/01/01 05:00:00","1","0"
"12","2000","-1","31","94002","2030/12/31 23:59:59","21001001","2018/01/01 05:00:00","1","0"
"8","30","-1","33","91002","2030/12/31 23:59:59","21001002","2018/01/01 05:00:00","1","0"
"2","2","-1","34","22001","2030/12/31 23:59:59","21001002","2018/01/01 05:00:00","1","0"
"8","30","-1","36","91002","2030/12/31 23:59:59","21001003","2018/01/01 05:00:00","1","0"
"2","1","-1","37","22002","2030/12/31 23:59:59","21001003","2018/01/01 05:00:00","1","0"
"8","30","-1","39","91002","2030/12/31 23:59:59","21001004","2018/01/01 05:00:00","1","0"
"2","1","-1","40","22003","2030/12/31 23:59:59","21001004","2018/01/01 05:00:00","1","0"
"8","90","-1","42","91002","2030/12/31 23:59:59","21001005","2018/01/01 05:00:00","1","0"
"2","2","-1","43","22003","2030/12/31 23:59:59","21001005","2018/01/01 05:00:00","1","0"
"8","60","-1","45","91002","2030/12/31 23:59:59","21002001","2018/01/01 05:00:00","1","0"
"12","4000","-1","46","94002","2030/12/31 23:59:59","21002001","2018/01/01 05:00:00","1","0"
"8","60","-1","48","91002","2030/12/31 23:59:59","21002002","2018/01/01 05:00:00","1","0"
"2","4","-1","49","22001","2030/12/31 23:59:59","21002002","2018/01/01 05:00:00","1","0"
"8","60","-1","51","91002","2030/12/31 23:59:59","21002003","2018/01/01 05:00:00","1","0"
"2","2","-1","52","22002","2030/12/31 23:59:59","21002003","2018/01/01 05:00:00","1","0"
"8","60","-1","54","91002","2030/12/31 23:59:59","21002004","2018/01/01 05:00:00","1","0"
"2","2","-1","55","22003","2030/12/31 23:59:59","21002004","2018/01/01 05:00:00","1","0"
"8","50","-1","57","91002","2030/12/31 23:59:59","21003001","2018/01/01 05:00:00","1","0"
"8","100","-1","58","91002","2030/12/31 23:59:59","28002001","2018/01/01 05:00:00","1","0"
"2","1000","-1","59","90007","2030/12/31 23:59:59","28002001","2018/01/01 05:00:00","1","0"
"8","100","-1","60","91002","2030/12/31 23:59:59","28002002","2018/01/01 05:00:00","1","0"
"2","1500","-1","61","90007","2030/12/31 23:59:59","28002002","2018/01/01 05:00:00","1","0"
"8","100","-1","62","91002","2030/12/31 23:59:59","28002003","2018/01/01 05:00:00","1","0"
"2","1500","-1","63","90007","2030/12/31 23:59:59","28002003","2018/01/01 05:00:00","1","0"
"8","100","-1","64","91002","2030/12/31 23:59:59","28002004","2018/01/01 05:00:00","1","0"
"2","1500","-1","65","90007","2030/12/31 23:59:59","28002004","2018/01/01 05:00:00","1","0"
"8","100","-1","66","91002","2030/12/31 23:59:59","28002005","2018/01/01 05:00:00","1","0"
