26f7a904b80bd4a20e29999d490407a61b11f3242805a62d05b7b47af53d9579,e3e3d925cd456884ea8d93717912e8fe27e86c3c5f8772f6e9fc304dd7afb1e7,dbf273bec6d26ab1df520c6bd144fc4421290166bfca4d8e12a996ec2c23cb37,8754f86988ddcd40e186dfaad23b050a0cda0efc017d244cf03482bb55c865f6
"170","1000","1","1"
"175","3000","1","2"
"180","5000","1","3"
"185","7000","1","4"
"190","9000","1","5"
"195","11000","1","6"
"200","13000","1","7"
"205","15000","1","8"
"210","17000","1","9"
"215","19000","1","10"
"220","21000","1","11"
"225","23000","1","12"
"230","25000","1","13"
"232","27000","1","14"
"234","29000","1","15"
"236","31000","1","16"
"238","33000","1","17"
"240","35000","1","18"
"242","37000","1","19"
"244","39000","1","20"
"246","41000","1","21"
"248","43000","1","22"
"250","9999999","1","23"
"170","1000","2","24"
"175","3000","2","25"
"180","5000","2","26"
"185","7000","2","27"
"190","9000","2","28"
"195","11000","2","29"
"200","13000","2","30"
"205","15000","2","31"
"210","17000","2","32"
"215","19000","2","33"
"220","21000","2","34"
"225","23000","2","35"
"230","25000","2","36"
"232","27000","2","37"
"234","29000","2","38"
"236","31000","2","39"
"238","33000","2","40"
"240","35000","2","41"
"242","37000","2","42"
"244","39000","2","43"
"246","41000","2","44"
"248","43000","2","45"
"250","9999999","2","46"
"170","1000","3","47"
"175","3000","3","48"
"180","5000","3","49"
"185","7000","3","50"
"190","9000","3","51"
"195","11000","3","52"
"200","13000","3","53"
"205","15000","3","54"
"210","17000","3","55"
"215","19000","3","56"
"220","21000","3","57"
"225","23000","3","58"
"230","25000","3","59"
"232","27000","3","60"
"234","29000","3","61"
"236","31000","3","62"
"238","33000","3","63"
"240","35000","3","64"
"242","37000","3","65"
"244","39000","3","66"
"246","41000","3","67"
"248","43000","3","68"
"250","9999999","3","69"
