58450da8f90a92fe9e2eeb1fad48b6e19823f05b7c23d9f588635151f4ed5c61,2e342f865e7ebea3960c853c9e5a5515ec063b7a99caa43f49b51618fc453df7,af54c6e6de9f4d1a95d953442999776fb8a2ba4e02c950e613d3e1639bb03cf4,54829c10f1fd98a446b71acc17ac9367fabc3c6e9c50a53dcd4fbeb443af643b,8a226a0eb433f2476aaa5cd13bdeeb3b07a4ddb21858c0865eae5d98f50bcded,4e48540bf9156169ce974fdd6dd2626cd9cd5235b254c11d60470a0b238266bc
"1","2816","1","-1480","11","-1480"
"1","2816","1","-1302","21","-1400"
"1","2816","1","-1263","31","-1302"
"1","2816","1","-1224","41","-1263"
"1","2816","1","-1185","51","-1224"
"1","2816","1","-1146","61","-1185"
"1","2816","1","-1146","71","-1146"
"1","2816","1","-1146","81","-1146"
"1","2816","1","-1107","91","-1146"
"1","2816","1","-1068","101","-1107"
"1","2816","1","-1029","111","-1068"
"1","2816","1","-1029","121","-1029"
"1","2816","1","-1029","131","-1029"
"1","2816","1","-1029","141","-1029"
"1","2816","1","-988","151","-1029"
"1","2816","1","-947","161","-988"
"1","2816","1","-906","171","-947"
"1","2816","1","-865","181","-906"
"1","2816","1","-865","191","-865"
"1","2816","1","-865","201","-865"
"1","2816","1","-824","211","-865"
"1","2816","1","-783","221","-824"
"1","2816","1","-742","231","-783"
"1","2816","1","-701","241","-742"
"1","2816","1","-660","251","-701"
"1","2816","1","-619","261","-660"
"1","2816","1","-619","271","-619"
"1","2816","1","-619","281","-619"
"1","2816","1","-619","291","-619"
"1","2816","1","-578","301","-619"
"1","2816","1","-537","311","-578"
"1","2816","1","-496","321","-537"
"1","2816","1","-496","331","-496"
"1","2816","1","-496","341","-496"
"1","2816","1","-496","351","-496"
"1","2816","1","-455","361","-496"
"1","2816","1","-414","371","-455"
"1","2816","1","-373","381","-414"
"1","2816","1","-332","391","-373"
"1","2816","1","-332","401","-332"
"1","2816","1","-332","411","-332"
"1","2816","1","-200","421","-332"
"2","2816","2","-1181","431","-1246"
"2","2816","2","-1152","441","-1181"
"2","2816","2","-1152","451","-1152"
"2","2816","2","-1123","461","-1152"
"2","2816","2","-1094","471","-1123"
"2","2816","2","-1094","481","-1094"
"2","2816","2","-1065","491","-1094"
"2","2816","2","-1065","501","-1065"
"2","2816","2","-1036","511","-1065"
"2","2816","2","-1036","521","-1036"
"2","2816","2","-1007","531","-1036"
"2","2816","2","-978","541","-1007"
"2","2816","2","-978","551","-978"
"2","2816","2","-949","561","-978"
"2","2816","2","-920","571","-949"
"2","2816","2","-891","581","-920"
"2","2816","2","-862","591","-891"
"2","2816","2","-862","601","-862"
"2","2816","2","-862","611","-862"
"2","2816","2","-862","621","-862"
"2","2816","2","-833","631","-862"
"2","2816","2","-804","641","-833"
"2","2816","2","-775","651","-804"
"2","2816","2","-746","661","-775"
"2","2816","2","-717","671","-746"
"2","2816","2","-688","681","-717"
"2","2816","2","-659","691","-688"
"2","2816","2","-630","701","-659"
"2","2816","2","-601","711","-630"
"2","2816","2","-572","721","-601"
"2","2816","2","-543","731","-572"
"2","2816","2","-514","741","-543"
"2","2816","2","-449","751","-514"
"3","2816","2","-1153","761","-1226"
"3","2816","2","-1115","771","-1153"
"3","2816","2","-1115","781","-1115"
"3","2816","2","-1077","791","-1115"
"3","2816","2","-1077","801","-1077"
"3","2816","2","-1039","811","-1077"
"3","2816","2","-1001","821","-1039"
"3","2816","2","-1001","831","-1001"
"3","2816","2","-963","841","-1001"
"3","2816","2","-963","851","-963"
"3","2816","2","-963","861","-963"
"3","2816","2","-925","871","-963"
"3","2816","2","-887","881","-925"
"3","2816","2","-887","891","-887"
"3","2816","2","-887","901","-887"
"3","2816","2","-849","911","-887"
"3","2816","2","-811","921","-849"
"3","2816","2","-773","931","-811"
"3","2816","2","-735","941","-773"
"3","2816","2","-697","951","-735"
"3","2816","2","-659","961","-697"
"3","2816","2","-621","971","-659"
"3","2816","2","-583","981","-621"
"3","2816","2","-583","991","-583"
"3","2816","2","-583","1001","-583"
"3","2816","2","-583","1011","-583"
"3","2816","2","-545","1021","-583"
"3","2816","2","-507","1031","-545"
"3","2816","2","-507","1041","-507"
"3","2816","2","-507","1051","-507"
"3","2816","2","-434","1061","-507"
"4","2816","2","-1137","1071","-1220"
"4","2816","2","-1096","1081","-1137"
"4","2816","2","-1096","1091","-1096"
"4","2816","2","-1096","1101","-1096"
"4","2816","2","-1096","1111","-1096"
"4","2816","2","-1096","1121","-1096"
"4","2816","2","-1055","1131","-1096"
"4","2816","2","-1014","1141","-1055"
"4","2816","2","-1014","1151","-1014"
"4","2816","2","-1014","1161","-1014"
