3018753dff11bfa08ebd40ffe12ec795b4acbea3ad7b0d0f26709c6e469e3a74,ef8dcb9af88809de0974312adf684db5a71a8995c6a62ec8cdd5b0de2f841b13,de860380395793cfb951884db9fd4bb3f941b265cea09e83931ea3275b975660,0b9a436e140805c93237df73fd5d4e3dfa22f534ed77c9b0c1949a0eb702156c,041b32aec498f3f3d1d3c64758b576393f20195cf6ec4b5ee06dfc5ef15268f3,8cab3e5106f6b4d2f8ccfd41314174cd1248f4efcbb22b1bb07319ac31e08d38,5facf179ad1dc06e04b23133bec11644d415a4692733477d417f7bde574af48a,b31465b1d49e6eb131c693666f4a6a97ebfabe7a927624c876ed5df7e251ba3c,11490831f972fa83c2e6402f58699e9f2032699176bf2926d1408686e31aa05c,77ee5d5d7487ba22bf2d5c622d6d412bafee4e554fc949bb7e782028e442a71f,cf0c547761043a68280f524471ab6527067c0d5ec00941116630841640ee7008
"53","1","0","empty","0","10101","0","1101010001","1","1","5"
"56","1","0","empty","0","10101","0","1101010002","2","101000","5"
"70","1","0","empty","0","10101","0","1101010003","3","101000","5"
"0","0","","","0","10101","1","1101010004","0","101000","31"
"0","0","","","0","10101","1","1101010005","1","101001","31"
"0","0","","","0","10101","1","1101010006","2","101002","31"
"0","0","","","0","10101","1","1101010007","3","101003","31"
"0","0","","","0","10101","1","1101010008","4","101004","31"
"0","0","","","0","10101","1","1101010009","10","1","31"
"0","0","","","0","10101","1","1101010010","30","3","31"
"","","","","","10101","","1101010011","0","0","91"
"","","","","","10101","","1101010012","1","0","32"
"","","","","","10101","","1101010013","1","10","32"
"0","0","","","","10101","","1101010014","getDish_1_in","2","3"
"","","","","","10101","","1101010015","0","0.2","93"
"0","0","","","","10101","","1101010016","getDish","1","3"
"0","0","","","","10101","","1101010017","getDish_1_B","2","3"
"0","0","","","","10101","","1101010018","getDish_1_F","3","3"
"","","","","","10101","","1101010019","1","1","32"
"","","","","","10101","","1101010020","1","3","32"
"","","","","","10101","","1101010021","0","7.2","93"
"","","","","","10101","","1101010022","1","1101010023","101"
"","","","","","10101","","1101010023","1","2","35"
"","","","","","10101","","1101010024","1","2","32"
"","","","","","10101","","1101010025","1","4","35"
"","","","","","10101","","1101010026","1","4","32"
"","","","","","10101","","1101010027","0","3","32"
"","","","","","10101","","1101010028","0","2.3","93"
"","","","","","10101","","1101010029","1","30","35"
"","","","","","10101","","1101010030","1","30","32"
"","","","","","10101","","1101010031","0","0.2","93"
"1","0","0","","1","10101","0","1101010032","1","1","6"
"1","0","0","","1","10101","0","1101010033","1","2","6"
"1","0","0","","1","10101","0","1101010034","1","3","6"
"","","","","","10101","","1101010035","0","0","32"
"","","","","","10101","","1101010036","0","1","32"
"","","","","","10101","","1101010037","0","2","32"
"","","","","","10101","","1101010038","0","3","32"
"","","","","","10101","","1101010039","0","4","32"
"","","","","","10101","","1101010040","0","10","32"
"","","","","","10101","","1101010041","0","0.3","93"
"1","0.1","0","","1","10101","0","1101010042","1","1","111"
"50","0.9","0","empty","-205","10201","-325","1102010001","1","2","5"
"58","0.9","0","empty","-205","10201","-325","1102010002","2","102000","5"
"54","0.6","0","idle_single","1500","10201","-263","1102010003","100","100","5"
"0","0","","","0","10201","1","1102010004","0","102000","31"
"1500","0","","","-263","10201","1","1102010005","1","102001","31"
"0","0","","","0","10201","1","1102010006","2","102002","31"
"-132","0","","","-136","10201","1","1102010007","3","102003","31"
"0","0","","","0","10201","1","1102010008","4","102004","31"
"0","0","","","0","10201","1","1102010009","10","1","31"
"0","0","","","0","10201","1","1102010010","20","2","31"
"0","0","","","0","10201","1","1102010011","30","3","31"
"","","","","","10201","","1102010012","0","0","91"
"","","","","","10201","","1102010013","1","0","32"
"","","","","","10201","","1102010014","1","10","32"
"0","","","","","10201","","1102010015","se_caravan_dice_get_intro","se_caravan","23"
"1","0","","","","10201","","1102010016","getDice_idle","1","3"
"0","0","0","","eat_loop","10201","1","1102010017","run_getDice","100","3"
"","","","","","10201","","1102010018","1","1","32"
"-263","","","","2","10201","11","1102010019","344","100","2"
"-263","","","","2","10201","11","1102010020","344","1","33"
"","","","","","10201","","1102010021","1","2","32"
"","","","","","10201","","1102010022","0","1.7","93"
"1","0.2","0","","","10201","","1102010023","getDice_curious","1","3"
"0","","","","0","10201","","1102010024","vo_caravan_event_002_000","vo_caravan","21"
"","","","","","10201","","1102010025","0","1.5","93"
"0","","","","","10201","","1102010026","se_caravan_dice_get_outro_1","se_caravan","23"
"0","","","","0.1","10201","","1102010027","vo_caravan_event_002_001","vo_caravan","21"
"0","0.1","","","","10201","","1102010028","spit_in","100","3"
"0","0","","","","10201","","1102010029","getDice_1","2","3"
"0","0.1","","","","10201","","1102010030","getDice_panic_1","1","3"
"","","","","","10201","","1102010031","0","0.5","93"
"0","0","0","","idle_single","10201","1","1102010032","spit_out","100","3"
"","","","","","10201","","1102010033","0","1.4","93"
"0","0.2","0","","idle_single","10201","1","1102010034","joy_single","100","3"
"","","","","","10201","","1102010035","0","0.1","93"
"","","","","","10201","","1102010036","1","3","32"
"","","","","","10201","","1102010037","0","0.5","93"
