c023db0dd8b0d58a32beb996bb16f900ace8e0709e3b5632627d8756a3a750fa,9a41414ddde40d30494911dc47eac6cd8230ea7668b6d2e7e100834d997d8522,c94d251a2a5b1c8979d7de4ecf7b498a9425892fd0a769924e249b63d9ded638,fcb8d1454fe10506b19e17d32ea4dc31d685babf91078d3a93493e13a526b08a,cf00409d85c7549ab664813f9b6c5ca77fe1f0b09db39faf527f0618f23e6c47
"30","200","1","1","8500"
"30","5","2","1","1500"
"60","220","3","2","8500"
"60","5","4","2","1500"
"60","200","5","3","8500"
"15","200","6","3","1500"
"60","200","7","4","8500"
"10","200","8","4","1500"
"40","150","9","5","8500"
"40","5","10","5","1500"
"60","150","11","6","8500"
"10","200","12","6","1500"
"40","150","13","7","8500"
"40","5","14","7","1500"
"50","150","15","8","8500"
"15","200","16","8","1500"
"45","150","17","9","8500"
"10","200","18","9","1500"
"40","145","19","10","8500"
"10","5","20","10","1500"
"40","300","21","11","8500"
"10","5","22","11","1500"
"65","200","23","12","8500"
"10","200","24","12","1500"
"40","150","25","13","8500"
"10","5","26","13","1500"
"40","100","27","14","8500"
"10","5","28","14","1500"
"50","200","29","15","8500"
"10","5","30","15","1500"
"60","250","31","16","8500"
"30","200","32","16","1500"
"45","120","33","17","8500"
"90","300","34","17","1500"
"90","120","35","18","8500"
"30","200","36","18","1500"
"50","190","37","19","8500"
"60","350","38","19","1500"
"90","95","39","20","8500"
"90","95","40","20","1500"
"20","200","41","21","8500"
"5","5","42","21","1500"
"30","450","43","22","8500"
"5","5","44","22","1500"
"20","200","45","23","8500"
"5","5","46","23","1500"
"30","130","47","1001","8500"
"5","5","48","1001","1500"
"30","140","49","1002","8500"
"5","5","50","1002","1500"
"40","150","51","1003","8500"
"5","5","52","1003","1500"
"45","155","53","1004","8500"
"5","200","54","1004","1500"
"60","155","55","1005","8500"
"10","200","56","1005","1500"
"60","150","57","1006","8500"
"15","200","58","1006","1500"
"60","150","59","1007","8500"
"15","200","60","1007","1500"
"50","160","61","1008","8500"
"15","200","62","1008","1500"
"70","140","63","1009","8500"
"30","200","64","1009","1500"
"35","180","65","1010","8500"
"120","200","66","1010","1500"
"65","140","67","1011","8500"
"30","200","68","1011","1500"
"35","200","69","1012","8500"
"5","5","70","1012","1500"
"70","150","71","1013","8500"
"15","200","72","1013","1500"
"60","150","73","1014","8500"
"15","200","74","1014","1500"
"60","150","75","1015","8500"
"15","200","76","1015","1500"
"60","150","77","1016","8500"
"15","200","78","1016","1500"
"60","150","79","1017","8500"
"15","200","80","1017","1500"
"50","120","81","1018","8500"
"60","200","82","1018","1500"
"67","102","83","1019","8500"
"60","200","84","1019","1500"
"35","120","85","1020","8500"
"60","250","86","1020","1500"
"30","200","87","10001","7000"
"30","5","88","10001","3000"
"60","220","89","10002","7000"
"60","5","90","10002","3000"
"60","200","91","10003","7000"
"15","200","92","10003","3000"
"60","200","93","10004","7000"
"10","200","94","10004","3000"
"40","150","95","10005","7000"
"40","5","96","10005","3000"
"60","150","97","10006","7000"
"10","200","98","10006","3000"
"40","150","99","10007","7000"
"40","5","100","10007","3000"
"50","150","101","10008","7000"
"15","200","102","10008","3000"
"45","150","103","10009","7000"
"10","200","104","10009","3000"
"40","145","105","10010","7000"
"10","5","106","10010","3000"
"40","300","107","10011","7000"
"10","5","108","10011","3000"
"65","200","109","10012","7000"
"10","200","110","10012","3000"
"40","150","111","10013","7000"
"10","5","112","10013","3000"
"40","100","113","10014","7000"
"10","5","114","10014","3000"
"50","200","115","10015","7000"
"10","5","116","10015","3000"
"60","250","117","10016","7000"
"30","200","118","10016","3000"
"45","120","119","10017","7000"
"90","300","120","10017","3000"
"90","120","121","10018","7000"
"30","200","122","10018","3000"
"50","190","123","10019","7000"
"60","350","124","10019","3000"
"90","95","125","10020","7000"
"90","95","126","10020","3000"
"60","200","127","10021","7000"
"60","200","128","10021","3000"
"60","200","129","10022","7000"
"60","200","130","10022","3000"
"60","200","131","10023","7000"
"60","200","132","10023","3000"
"30","130","133","11001","7000"
"5","5","134","11001","3000"
"30","140","135","11002","7000"
"5","5","136","11002","3000"
"40","150","137","11003","7000"
"5","5","138","11003","3000"
"45","155","139","11004","7000"
"5","200","140","11004","3000"
"60","155","141","11005","7000"
"10","200","142","11005","3000"
"60","150","143","11006","7000"
"15","200","144","11006","3000"
"60","150","145","11007","7000"
"15","200","146","11007","3000"
"50","160","147","11008","7000"
"15","200","148","11008","3000"
"70","140","149","11009","7000"
"30","200","150","11009","3000"
"35","180","151","11010","7000"
"120","200","152","11010","3000"
"65","140","153","11011","7000"
"30","200","154","11011","3000"
"35","200","155","11012","7000"
"5","5","156","11012","3000"
"70","150","157","11013","7000"
"15","200","158","11013","3000"
"60","150","159","11014","7000"
"15","200","160","11014","3000"
"60","150","161","11015","7000"
"15","200","162","11015","3000"
"60","150","163","11016","7000"
"15","200","164","11016","3000"
"60","150","165","11017","7000"
"15","200","166","11017","3000"
