55c7b058ce1470167bd63137b0004d30d5f8e8b1b1e4392d217dce553124b63d,48943d337ca0127371ffb72b91f3538725fc51ce379c88ecb780d5a5351725e7,3b54e4cafe2099cca8180ff7f8237f6b05b0889487666b2127ffa9328018e1e0,6c9cec5d5792603a8766f7053e29e32280c50a4f651591574fd6eef4c19448b2,820dd9064b58bcd0c877fd1f2daf782d1f058bc10dd6a4006660f7a6be37ebc2,1911b6adc04eb1801a0c8b13b5ce315334ba24e0f8875bfb44bf2581b807f477,d3c4b3ce8bd1861368e03bae419d018c5888bd1c4449d7274c34973821d51de6,599b48f5f0f89b069bc1e7a9986b5dff614cb5eb018f4bd88208173b9bc88d5f,6de8ee51b047e3f8390690e7ef033b3851fc2869a231e344c269ff0cd8d3d53f
"1","2","3","6","2","100101","3","1","2"
"3","1","2","5","1","100201","3","2","1"
"1","2","3","7","3","100301","2","3","1"
"1","2","3","13","2","100401","2","3","2"
"2","3","1","18","2","100501","3","2","2"
"1","3","2","25","2","100601","3","2","1"
"3","1","2","26","3","100701","3","2","2"
"3","1","1","40","3","100801","2","3","2"
"1","3","3","34","3","100901","2","2","1"
"3","1","2","8","1","101001","3","2","1"
"2","1","2","56","2","101101","3","2","3"
"1","2","3","43","2","101201","1","2","3"
"1","3","1","33","2","101301","3","3","1"
"3","2","1","11","1","101401","2","2","1"
"3","1","2","42","1","101501","2","3","1"
"2","1","1","46","2","101601","3","3","3"
"1","2","1","10","2","101701","3","2","3"
"3","2","1","45","1","101801","2","3","1"
"2","2","3","12","1","102001","3","1","2"
"1","2","2","30","1","102101","3","3","1"
"1","2","2","24","1","102201","1","3","3"
"1","3","3","31","2","102301","3","1","2"
"3","1","1","29","1","102501","2","2","3"
"3","1","2","51","1","102601","3","1","2"
"2","1","3","36","3","102701","1","3","2"
"2","1","1","28","1","102801","2","3","2"
"2","1","2","52","1","102901","3","2","2"
"2","2","1","39","2","103001","3","3","1"
"3","1","3","27","3","103101","2","1","2"
"3","1","3","19","2","103201","1","2","2"
"2","2","3","48","2","103301","3","1","1"
"2","3","2","20","1","103401","1","2","2"
"3","3","1","14","3","103601","1","2","2"
"1","3","1","17","3","103701","2","3","2"
"3","3","2","49","3","103801","2","1","1"
"2","3","2","44","1","104001","1","1","3"
"3","2","1","53","3","104201","2","2","2"
"1","1","3","9","3","104301","2","2","3"
"3","2","3","23","3","104401","2","1","1"
"2","3","2","38","1","104501","2","2","1"
"3","1","2","21","2","104601","2","1","3"
"1","3","1","15","3","104701","2","2","3"
"1","2","2","22","3","104801","1","3","3"
"2","1","3","55","1","104901","2","2","2"
"2","2","1","47","1","105001","3","2","3"
"3","2","1","35","3","105101","1","1","3"
"2","1","2","50","2","105201","3","2","2"
"1","1","3","37","3","105301","2","3","2"
"2","1","2","54","2","105401","3","1","3"
"2","3","3","41","1","105501","2","1","1"
"1","1","2","32","3","105601","3","2","3"
"1","2","2","67","1","105701","3","2","2"
"2","1","2","1","2","105801","3","2","2"
"3","2","2","2","1","105901","2","2","1"
"2","3","1","3","3","106001","2","1","3"
"1","2","3","58","2","106101","3","2","2"
"1","2","3","68","1","106301","3","1","2"
"1","3","2","4","1","106401","3","2","2"
"1","3","1","61","3","106501","3","2","2"
"3","3","1","62","2","106601","3","1","2"
"2","2","1","60","3","106701","2","2","1"
"1","3","1","57","1","106801","1","2","2"
"3","2","2","59","3","107001","1","1","1"
"1","2","2","16","3","107101","1","3","2"
"2","2","2","70","1","109201","2","2","1"
"2","1","2","72","2","109301","3","2","3"
"1","2","1","71","3","109401","2","3","3"
"1","2","2","64","1","110801","2","2","3"
"2","1","1","65","2","110901","2","3","2"
"3","2","1","63","3","111001","3","1","1"
"2","3","2","69","2","111401","2","1","3"
"3","2","1","66","2","118001","1","2","3"
