ab78d2c0dea69a52484b639a20bc9f986ac415fa371c4e126b02a9a1dbb3509f,0e6f552bd3d55b411c1d7ae6b2b20e6d24e95985484fc70d19fbf486a8c55c74,1b167edb5a796b868b82d35705a4f7879ff379e19ca72d43c601700ee66137d6
"10101","1","1"
"10102","1","2"
"10103","1","3"
"10104","1","4"
"10201","2","1"
"10202","2","2"
"10203","2","3"
"10204","2","4"
"10301","3","1"
"10302","3","2"
"10303","3","3"
"10304","3","4"
"10401","4","1"
"10402","4","2"
"10403","4","3"
"10404","4","4"
"10501","5","1"
"10502","5","2"
"10503","5","3"
"10504","5","4"
"10601","6","1"
"10602","6","2"
"10603","6","3"
"10604","6","4"
"10701","7","1"
"10702","7","2"
"10703","7","3"
"10704","7","4"
"10801","8","1"
"10802","8","2"
"10803","8","3"
"10804","8","4"
"99999","0","0"
