d90a4daba8110ff477733702f3c13b1d4b5bc9abf8ecdb326bd3c7308e4e39c0,bb78e467830d53ef5b3c456e2adea48bb0e10e11de3943e9fbdbb51abd6a5881,206c37e7165fd9fa08d1159826a7319c7847d2fe8d8d88f1b437c3113e491cb2,678d790b5ed99aa6ae8359fc07de2b7f7c33228b07e964a19638f9f1b609fb92
"1","2500","1","1"
"2","2000","1","2"
"3","2000","1","107"
"4","2000","1","4"
"5","1000","1","3"
"6","1000","1","110"
"7","1000","1","5"
"8","2000","1","6"
"9","2000","1","105"
"10","2000","1","7"
"11","0","3","1000"
"12","20","1","100"
"13","1000","1","108"
"14","20","1","101"
"15","5","1","102"
"16","1000","1","109"
"17","5","1","103"
"18","500","1","1"
"19","0","2","2000"
"20","500","1","1"
"21","0","5","25"
"22","3000","1","2"
"23","3000","1","107"
"24","3000","1","4"
"25","1500","1","3"
"26","1500","1","110"
"27","1500","1","5"
"28","3000","1","6"
"29","3000","1","105"
"30","3000","1","7"
"31","0","6","1"
"32","30","1","100"
"33","1500","1","108"
"34","30","1","101"
"35","10","1","102"
"36","1500","1","109"
"37","10","1","103"
"38","500","1","1"
"39","0","2","3000"
"40","500","1","1"
"41","0","4","50"
