00637310c10fedb2e59bf1b6ff58d41b619dc594b25dbd2e7e14d7bc0995478f,9a4db82a1a1cc1bd5d46e32d9b11131623a403aa92cf96003ce016d159bd4df0,93456fa9b77731d7c263bd23d30ff2031833e378e8939b6db874e0e9638b830b,e09abb2ac85d2b71708e269d48f7102b0b0e7a746e0e75ad359d7dbecefb001f,857ed8b6e4dd3e76c463bc8b18be06512cac24d8deca24365b28a366b54ada72
"81001001","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100101","火屬性獎勵特大幅度提升"
"81001001","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100102","深域怪物"
"81001001","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100103","賦予TP上升上限"
"81001001","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100104","提升物理防禦力（不可降低）"
"81001001","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100105","提升魔法防禦力（不可降低）"
"81001001","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100106","降低HP吸收"
"81001002","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100201","火屬性獎勵特大幅度提升"
"81001002","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100202","深域怪物"
"81001002","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100203","賦予TP上升上限"
"81001002","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100204","提升物理防禦力（不可降低）"
"81001002","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100205","提升魔法防禦力（不可降低）"
"81001002","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100206","降低HP吸收"
"81001003","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100301","火屬性獎勵特大幅度提升"
"81001003","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100302","深域怪物"
"81001003","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100303","賦予TP上升上限"
"81001003","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100304","提升物理防禦力（不可降低）"
"81001003","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100305","提升魔法防禦力（不可降低）"
"81001003","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100306","降低HP吸收"
"81001004","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100401","火屬性獎勵特大幅度提升"
"81001004","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100402","深域怪物"
"81001004","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100403","賦予TP上升上限"
"81001004","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100404","提升物理防禦力（不可降低）"
"81001004","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100405","提升魔法防禦力（不可降低）"
"81001004","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100406","降低HP吸收"
"81001005","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100501","火屬性獎勵特大幅度提升"
"81001005","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100502","深域怪物"
"81001005","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100503","賦予TP上升上限"
"81001005","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100504","提升物理防禦力（不可降低）"
"81001005","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100505","提升魔法防禦力（不可降低）"
"81001005","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100506","降低HP吸收"
"81001006","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100601","火屬性獎勵特大幅度提升"
"81001006","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100602","深域怪物"
"81001006","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100603","賦予TP上升上限"
"81001006","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100604","提升物理防禦力（不可降低）"
"81001006","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100605","提升魔法防禦力（不可降低）"
"81001006","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100606","降低HP吸收"
"81001007","12","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","100100701","火屬性獎勵特大幅度提升"
"81001007","11","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","100100702","深域怪物"
"81001007","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","100100703","賦予TP上升上限"
"81001007","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","100100704","提升物理防禦力（不可降低）"
"81001007","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","100100705","提升魔法防禦力（不可降低）"
"81001007","9","戰鬥開始時，大幅度降低全體角色的HP吸收。","100100706","降低HP吸收"
