4832f65870639fa67766d3364ee0d950e5832c779397057fd5e82787ea33f2de,4579a3d8bc1c0f157e1a792facb3783f7cb184ecb08366334af89e07b8841432,38cde5035316882bc721f3523e92a1d8b803ad5c6167f24117e6e1120a59a9bc,de85a84fa7ca326ba6ba5844a6548d39e8e6cff93c9616b877102c084af2b50e,21668480b5a6d3f393c2edc5f172d9f8b448d7987edd41947c89bfef83b57613
"3001","803100201","0","1","3"
"3001","803100202","0","2","3"
"3001","803100203","0","3","3"
"3002","803100204","0","1","3"
"3002","803100205","0","2","3"
"3002","803100206","0","3","3"
"3003","803100207","0","1","3"
"3003","803100208","0","2","3"
"3003","803100209","0","3","3"
"3004","803100210","0","1","3"
"3004","803100211","0","2","3"
"3004","803100212","0","3","3"
"3005","803100213","0","1","3"
"3005","803100214","0","2","3"
"3005","803100215","0","3","3"
"3006","803100216","0","1","3"
"3006","803100217","0","2","3"
"3006","803100218","0","3","3"
"3007","803100219","0","1","3"
"3007","803100220","0","2","3"
"3007","803100221","0","3","3"
