9bfc5a7be8a633d30cbd7167b154530b4f914e8ea17fac653cc92663dc950aa9,d83df07286938eff9141fffef0a1bf5a245a504095ca9ae03bf1699de17af0ad,ccdf70b35a5c3649d33bca4375f4828be7884659bdb565185e6f4de790d05388,f285694a8b574f91c890a53a09e97cb6aca09251df0604e84dfff56208ff3855,3cdea32e198d7ed2517b0a9c241e10aad7b2d82dd07dbd9716907a5b3a3a424e,66c88829bd7ac363377099fe09a64d8046f2faa727af63cc2a7595fafc95c0a1,7a723c420fd8438a6e34360450ae99efe52e42805c2f2944811a62ff3d864ad3,f7f2a1c09fa0ee7e3fd65455824f6673cff9189b46660783a45a2f9c5836daf3,ad111a795b387952e10470d28f38765e8437ebbc972be1d263f76c796a91ae9d,f56aa9932ec0e4d9a9c2fadb4d1cfa08796b76ec46ddf691344358bb1cd3a610,cb1eae2179db0817f9dcbe5256c302d76b201617d9c9d1d680d898c74ac592a7,859b1901479ff0f8f388b02524bf721699f132019bb5bc97f999e259c8ceba78,58a6b47897bf5a3b1bcc961ee99d1d242ff1ca3d2bd2dd064eacf47dbb807738,bd9598125fd645bcf3ce1090646c923d34d2e07b673780229b63f652627e8524,a88aba44a56d0163afb941e70747cb81694fd03e263fa80a6556a83301d4eb53,f08372993d71e86a5ce38e0fbcff6580a771b7af385c36f4af635d3e9d215975,5054a0a72a601ec4c895270a54479c039deb246a1b882a9e55e220bd4dd3271d,bf4d74630412276038da0c6bf6b308556591ef6c15ba1e1a61fa09b59f8fdd9e
"300000","2","30","1","20004","3","150003","91002","94002","8","100","1001","12","8","90005","4","2","3"
"400000","4","30","2","140001","3","150004","91002","94002","8","150","1001","12","60","90005","4","2","3"
"500000","2","30","3","20004","3","150005","91002","94002","8","150","1001","12","10","90005","4","2","3"
"750000","4","30","4","140001","3","150006","91002","94002","8","200","1001","12","90","90005","4","2","3"
"1000000","2","30","5","21951","3","150007","91002","94002","8","200","1001","12","1","90005","4","2","3"
"300000","2","30","1","20004","3","150003","91002","94002","8","100","1002","12","8","90005","4","2","3"
"400000","4","30","2","140001","3","150004","91002","94002","8","150","1002","12","60","90005","4","2","3"
"500000","2","30","3","20004","3","150005","91002","94002","8","150","1002","12","10","90005","4","2","3"
"750000","4","30","4","140001","3","150006","91002","94002","8","200","1002","12","90","90005","4","2","3"
"1000000","2","30","5","21951","3","150007","91002","94002","8","200","1002","12","1","90005","4","2","3"
"300000","2","100","1","20004","100","150003","91002","94002","8","50","1003","12","8","150004","4","4","3"
"400000","4","50","2","140001","5","150005","91002","94002","8","100","1003","12","60","90005","4","2","3"
"0","2","50","3","20004","500000","150006","91002","0","8","100","1003","0","10","94002","4","12","3"
"750000","4","50","4","140001","10","150007","91002","94002","8","150","1003","12","90","90005","4","2","3"
"0","2","50","5","21951","1000000","150008","91002","0","8","150","1003","0","1","94002","4","12","3"
"300000","2","100","1","20004","100","150003","91002","94002","8","50","1004","12","8","150004","4","4","3"
"400000","4","50","2","140001","5","150005","91002","94002","8","100","1004","12","60","90005","4","2","3"
"0","2","50","3","20004","500000","150006","91002","0","8","100","1004","0","10","94002","4","12","3"
"750000","4","50","4","140001","10","150007","91002","94002","8","150","1004","12","90","90005","4","2","3"
"0","2","50","5","21951","1000000","150008","91002","0","8","150","1004","0","1","94002","4","12","3"
"300000","2","100","1","20004","100","150003","91002","94002","8","50","1005","12","8","150004","4","4","3"
"400000","4","50","2","140001","5","150005","91002","94002","8","100","1005","12","60","90005","4","2","3"
"0","2","50","3","20004","500000","150006","91002","0","8","100","1005","0","10","94002","4","12","3"
"750000","4","50","4","140001","10","150007","91002","94002","8","150","1005","12","90","90005","4","2","3"
"0","2","50","5","21951","1000000","150008","91002","0","8","150","1005","0","1","94002","4","12","3"
"300000","2","100","1","20004","100","150004","91002","94002","8","50","1006","12","8","150005","4","4","3"
"400000","4","50","2","140001","5","150006","91002","94002","8","100","1006","12","60","90005","4","2","3"
"0","2","50","3","20004","500000","150007","91002","0","8","100","1006","0","10","94002","4","12","3"
"750000","4","50","4","140001","10","150008","91002","94002","8","150","1006","12","90","90005","4","2","3"
"0","2","50","5","21951","1000000","150009","91002","0","8","150","1006","0","1","94002","4","12","3"
"300000","4","100","1","150004","5000","150005","91002","94002","8","50","1007","12","100","25015","4","2","3"
"400000","2","50","2","20004","5000","150006","91002","94002","8","100","1007","12","15","25013","4","2","3"
"500000","4","50","3","140001","5000","150007","91002","94002","8","100","1007","12","150","25014","4","2","3"
"750000","2","50","4","90005","5000","150008","91002","94002","8","150","1007","12","15","25012","4","2","3"
"1000000","2","50","5","21953","5000","150009","91002","94002","8","150","1007","12","1","25011","4","2","3"
