42184795598030f5e2d00c45b9aef1367ea00e03cc800cb2bdfac8b48287ab6f,1c0bd244817be7d7776cc51b26a0cfd7f4950329b7ef78534fc75c73ec781614,9d7d577482d7a6a572b042eacdca0abacff3c18310576871e5c6c6879951ebc8,39b7cf75211da3a1a71063393c4175cfd37c6fafd5063f8d7a6a818667c250ae,b423361cf6fe464184878845ef74992733f78be1aeb608e903d4425979bcde80,2d367b4a2f93f2ef3b280d3e55fc95fabc5b47a8871a72d6418112a40edbcb5d,759858b9b6066b66cb3d92629910c341ef3e25aa792f671549f4042329df58b4,839611986cff0596d60c495cbbecbc8c7d8903378789fedd9fb28d59094db587,9203a3381d34f18f9a1b770691651319ed1f60dd590418436bff373761415e52,bd81e05bdef2e1778560349ab55022aec6c1122eef4d65edc6778a103af3a1b2,28a994c2a0e1af7269ae4bb694a76eb27c9dedfa47177cc7f918fb23771a8956,c033e26a1fdb76729810666babfa9993fe0590bcfe35900af80d2ecf03abf238,9ca61b0a5c4140c7007ee90173763c6337266df46f2b3d77b17a075d2c73a8d4,e8da4da651fcc5f6606fe5621809eddf8931fb1ce112d038530823df4bbef41e,c6f420827b03df4750a53308ff89ff0e781ce38767426f713a14e4b124efd1b2,6ce8e5357bc75661c8e4a208721af627a0aabe0e244657b3fa861ef21e909b9f,2c1f767f1a124bb8af9f229d09343bfd7227665585e17bf85750989f5b9599f7,7148eca87d1394615a075a62fb57ad480947f4204027df001ed825090b818488,17b7055bd51bb8bcd016bec9d765d82844af4b1408ade7f157a04eaa0a54ffdd
"0","2","0","100101","0","1","0","0","10","0","65","0","0","0","75","1","16","0","0"
"0","3","0","100101","0","3","0","0","30","0","185","0","0","0","125","2","68","0","0"
"0","4","0","100101","0","7","0","0","60","0","420","0","3","0","260","4","158","0","0"
"0","5","0","100101","0","12","0","0","100","0","810","0","7","0","420","7","293","0","0"
"0","6","3","100101","0","17","0","0","130","0","1340","0","11","0","630","11","486","0","0"
"0","7","6","100101","0","26","0","0","155","0","1660","0","17","0","1235","15","731","0","0"
"10","8","9","100101","0","35","0","9","180","0","2290","0","24","0","1795","15","1030","0","0"
"40","9","9","100101","0","46","0","23","205","0","2540","0","27","0","1795","16","1459","5","0"
"100","10","9","100101","0","51","0","37","205","0","2740","0","35","0","1795","16","1941","10","10"
"158","11","9","100101","3","55","0","37","205","0","3100","0","44","0","1795","16","2439","15","20"
"198","12","9","100101","36","66","0","37","205","0","3470","0","46","0","2045","18","2871","15","20"
"251","13","9","100101","56","79","0","37","230","0","3720","0","54","0","2045","18","3345","15","20"
"328","14","9","100101","56","97","0","37","255","0","3880","0","68","0","2045","20","3840","15","20"
"448","15","9","100101","56","111","0","37","255","0","3880","0","82","0","2045","20","4412","15","20"
"586","16","9","100101","59","124","0","37","255","0","3880","0","94","0","2045","20","5015","15","20"
"711","17","9","100101","62","142","0","37","255","0","3930","0","103","0","2045","20","5656","15","20"
"856","18","9","100101","62","157","0","37","255","0","3980","0","119","0","2045","20","6351","15","20"
"984","19","9","100101","62","173","0","37","255","0","4075","0","135","0","2045","20","7154","15","20"
