059d38e829ec2a289efde84689c8d31cd1d8793f0bd0852f760a38465c37bc06,fb692c91a458780dc63591783e9206a81428d0bb9d40a6173308287211717e2a,9f79d4adb4461767e930115a3a2c7aeae141bf812d9a07426640bf89d9bcb66a,5ffd8798ed0dbf6ad76acb80173cc6d80cdd483540eaf41925bf7003ba9c7da8,b032cc8056b4bff193dd9873419901e2cde0d921dc061258f5f225707617786e,b42cd0d71305173f166113cabb6aa4917b0ce30e4d53689432258d8d0d5a15f4,c70924df1e1d1286a022ba3494fe1a5b52dafde295d866cb33238ad90d093fbd,cf64b525a215d710d537e5773208fe0fe9c921819cddd16bc5ef38daaeb5bf8e
"710000101","710000001","710100011","710000105","100","710000104","0","710000102"
"710000201","710000002","710100021","710000203","100","710000204","0","710000202"
"710000301","710000003","710100031","710000305","100","710000302","0","710000304"
"710000401","710000004","710100041","710000405","100","710000402","0","710000404"
"710000502","710000005","710100051","710000501","100","710000504","0","710000505"
"710000601","710000006","710100061","710000602","100","710000603","710000604","710000605"
"710000704","710000007","710100071","710000702","100","710000703","710000705","710000701"
"710000805","710000008","710100081","710000801","100","710000803","710000804","710000802"
"710000902","710000009","710100091","710000904","100","710000901","710000905","710000903"
"0","710000010","710100101","0","100","710001001","0","0"
"710001101","710000011","710100111","710001105","100","710001102","710001104","710001103"
"710001205","710000012","710100121","710001202","100","710001203","710001204","710001201"
"710001301","710000013","710100131","710001302","100","710001304","710001305","710001303"
"710001401","710000014","710100141","710001402","100","710001403","710001405","710001404"
"710001501","710000015","710100151","710001502","100","710001503","710001504","710001505"
"710001602","710000016","710100161","710001603","100","710001605","710001604","710001601"
"710001703","710000017","710100171","710001702","100","710001705","710001704","710001701"
"710001801","710000018","710100181","710001802","100","710001803","710001805","710001804"
"710001902","710000019","710100191","710001903","100","710001904","710001905","710001901"
"710002002","710000020","710100201","0","100","710002002","0","710002001"
"710002104","710000021","710100211","710002101","100","710002103","710002105","710002102"
"710002204","710000022","710100221","710002202","100","710002203","710002205","710002201"
"710002302","710000023","710100231","710002301","100","710002303","710002305","710002304"
"710002404","710000024","710100241","710002402","100","710002403","710002405","710002401"
"710002502","710000025","710100251","710002504","100","710002501","710002505","710002503"
"710002602","710000026","710100261","710002605","100","710002603","710002604","710002601"
"710002702","710000027","710100271","710002701","100","710002703","710002704","710002705"
"710002801","710000028","710100281","710002805","100","710002803","710002804","710002802"
"710002901","710000029","710100291","710002902","100","710002903","710002905","710002904"
"710003002","710000030","710100301","710003001","100","710003002","0","710003003"
"710003102","710000031","710100311","710003104","100","710003103","710003105","710003101"
"710003204","710000032","710100321","710003202","100","710003203","710003205","710003201"
"710003304","710000033","710100331","710003301","100","710003303","710003305","710003302"
