5bf828b0e54ccd00ad6ec48b47331c022c0d3db2c963a72bc6c1ddcce5a625d6,9339145d869ca3115969b0e45f3d66277f12bb0563904c3b0fe77c9ed28287d7,466b8d50e9e7dc607084d36f915197924a4d262addf8f01dc19e649bdab5d79f,8db74f8374eae974a543124b8d175c9aed1cf2b9cfde2cc9e5d9b1a8391cf8a5,ac66a1a3a1026a281016f27fec551d318b4d1bd6074d3a5743487fbd8a33067d,08c559156a37949e43d380ac6bd8d907b40bcc4616e3451799c45306d00bbaa4,da08811a50ddecfa32d81ac985ed4dd490965670b74379a3b0819b91e4aa31a1,b7dd5c5d77a1718ad5bc90dd874b937b96f9c5e3109afba44f4e92e49e80159e,3e1e0a741db5987bfe7cf555cd74ca58bf2b535b41b362b8279c503e36255322
"100101","10000","全難易度合計取得10000分","0","0","1","100101","1001","1001"
"100102","30000","全難易度合計取得30000分","0","0","1","100102","1001","1001"
"100103","50000","全難易度合計取得50000分","0","0","1","100103","1001","1001"
"100104","70000","全難易度合計取得70000分","0","0","1","100104","1001","1001"
"100105","90000","全難易度合計取得90000分","1","0","1","100105","1001","1001"
"100106","105000","全難易度合計取得105000分","1","0","1","100106","1001","1001"
"100107","120000","全難易度合計取得120000分","1","0","1","100107","1001","1001"
"100108","135000","全難易度合計取得135000分","1","0","1","100108","1001","1001"
"100109","0","在NORMAL1難易度戰鬥1次","2","1","1","100109","1002","1001"
"100110","0","在NORMAL2難易度戰鬥1次","2","1","1","100110","1003","1001"
"100111","0","在NORMAL3難易度戰鬥1次","2","1","1","100111","1004","1001"
"100112","10000","在NORMAL難易度取得10000分","3","1","1","100112","1001","1001"
"100113","20000","在NORMAL難易度取得20000分","3","1","1","100113","1001","1001"
"100114","30000","在NORMAL難易度取得30000分","3","1","1","100114","1001","1001"
"100115","0","在HARD1難易度戰鬥1次","4","2","1","100115","1002","1001"
"100116","0","在HARD2難易度戰鬥1次","4","2","1","100116","1003","1001"
"100117","0","在HARD3難易度戰鬥1次","4","2","1","100117","1004","1001"
"100118","15000","在HARD難易度取得15000分","5","2","1","100118","1001","1001"
"100119","30000","在HARD難易度取得30000分","5","2","1","100119","1001","1001"
"100120","45000","在HARD難易度取得45000分","5","2","1","100120","1001","1001"
"100121","0","在EXTRA1難易度戰鬥1次","6","3","1","100121","1002","1001"
"100122","0","在EXTRA2難易度戰鬥1次","6","3","1","100122","1003","1001"
"100123","0","在EXTRA3難易度戰鬥1次","6","3","1","100123","1004","1001"
"100124","20000","在EXTRA難易度取得20000分","7","3","1","100124","1001","1001"
"100125","40000","在EXTRA難易度取得40000分","7","3","1","100125","1001","1001"
"100126","60000","在EXTRA難易度取得60000分","7","3","1","100126","1001","1001"
"100201","10000","全難易度合計取得10000分","0","0","1","100201","1001","1002"
"100202","30000","全難易度合計取得30000分","0","0","1","100202","1001","1002"
"100203","50000","全難易度合計取得50000分","0","0","1","100203","1001","1002"
"100204","70000","全難易度合計取得70000分","0","0","1","100204","1001","1002"
"100205","90000","全難易度合計取得90000分","1","0","1","100205","1001","1002"
"100206","105000","全難易度合計取得105000分","1","0","1","100206","1001","1002"
"100207","120000","全難易度合計取得120000分","1","0","1","100207","1001","1002"
"100208","135000","全難易度合計取得135000分","1","0","1","100208","1001","1002"
"100209","0","在NORMAL1難易度戰鬥1次","2","1","1","100209","1002","1002"
"100210","0","在NORMAL2難易度戰鬥1次","2","1","1","100210","1003","1002"
"100211","0","在NORMAL3難易度戰鬥1次","2","1","1","100211","1004","1002"
"100212","10000","在NORMAL難易度取得10000分","3","1","1","100212","1001","1002"
"100213","20000","在NORMAL難易度取得20000分","3","1","1","100213","1001","1002"
"100214","30000","在NORMAL難易度取得30000分","3","1","1","100214","1001","1002"
"100215","0","在HARD1難易度戰鬥1次","4","2","1","100215","1002","1002"
"100216","0","在HARD2難易度戰鬥1次","4","2","1","100216","1003","1002"
"100217","0","在HARD3難易度戰鬥1次","4","2","1","100217","1004","1002"
"100218","15000","在HARD難易度取得15000分","5","2","1","100218","1001","1002"
"100219","30000","在HARD難易度取得30000分","5","2","1","100219","1001","1002"
"100220","45000","在HARD難易度取得45000分","5","2","1","100220","1001","1002"
"100221","0","在EXTRA1難易度戰鬥1次","6","3","1","100221","1002","1002"
"100222","0","在EXTRA2難易度戰鬥1次","6","3","1","100222","1003","1002"
"100223","0","在EXTRA3難易度戰鬥1次","6","3","1","100223","1004","1002"
"100224","20000","在EXTRA難易度取得20000分","7","3","1","100224","1001","1002"
"100225","40000","在EXTRA難易度取得40000分","7","3","1","100225","1001","1002"
"100226","60000","在EXTRA難易度取得60000分","7","3","1","100226","1001","1002"
"100301","10000","全難易度合計取得10000分","0","0","1","100301","1001","1003"
"100302","30000","全難易度合計取得30000分","0","0","1","100302","1001","1003"
"100303","50000","全難易度合計取得50000分","0","0","1","100303","1001","1003"
"100304","70000","全難易度合計取得70000分","0","0","1","100304","1001","1003"
"100305","90000","全難易度合計取得90000分","1","0","1","100305","1001","1003"
"100306","105000","全難易度合計取得105000分","1","0","1","100306","1001","1003"
"100307","120000","全難易度合計取得120000分","1","0","1","100307","1001","1003"
"100308","135000","全難易度合計取得135000分","1","0","1","100308","1001","1003"
"100309","0","在NORMAL1難易度戰鬥1次","2","1","1","100309","1002","1003"
"100310","0","在NORMAL2難易度戰鬥1次","2","1","1","100310","1003","1003"
"100311","0","在NORMAL3難易度戰鬥1次","2","1","1","100311","1004","1003"
"100312","10000","在NORMAL難易度取得10000分","3","1","1","100312","1001","1003"
"100313","20000","在NORMAL難易度取得20000分","3","1","1","100313","1001","1003"
"100314","30000","在NORMAL難易度取得30000分","3","1","1","100314","1001","1003"
"100315","0","在HARD1難易度戰鬥1次","4","2","1","100315","1002","1003"
"100316","0","在HARD2難易度戰鬥1次","4","2","1","100316","1003","1003"
"100317","0","在HARD3難易度戰鬥1次","4","2","1","100317","1004","1003"
"100318","15000","在HARD難易度取得15000分","5","2","1","100318","1001","1003"
"100319","30000","在HARD難易度取得30000分","5","2","1","100319","1001","1003"
"100320","45000","在HARD難易度取得45000分","5","2","1","100320","1001","1003"
"100321","0","在EXTRA1難易度戰鬥1次","6","3","1","100321","1002","1003"
"100322","0","在EXTRA2難易度戰鬥1次","6","3","1","100322","1003","1003"
"100323","0","在EXTRA3難易度戰鬥1次","6","3","1","100323","1004","1003"
"100324","20000","在EXTRA難易度取得20000分","7","3","1","100324","1001","1003"
"100325","40000","在EXTRA難易度取得40000分","7","3","1","100325","1001","1003"
"100326","60000","在EXTRA難易度取得60000分","7","3","1","100326","1001","1003"
"100401","10000","全難易度合計取得10000分","0","0","1","100401","1001","1004"
"100402","30000","全難易度合計取得30000分","0","0","1","100402","1001","1004"
"100403","50000","全難易度合計取得50000分","0","0","1","100403","1001","1004"
"100404","70000","全難易度合計取得70000分","0","0","1","100404","1001","1004"
"100405","90000","全難易度合計取得90000分","1","0","1","100405","1001","1004"
"100406","105000","全難易度合計取得105000分","1","0","1","100406","1001","1004"
"100407","120000","全難易度合計取得120000分","1","0","1","100407","1001","1004"
"100408","135000","全難易度合計取得135000分","1","0","1","100408","1001","1004"
"100409","0","在NORMAL1難易度戰鬥1次","2","1","1","100409","1002","1004"
"100410","0","在NORMAL2難易度戰鬥1次","2","1","1","100410","1003","1004"
"100411","0","在NORMAL3難易度戰鬥1次","2","1","1","100411","1004","1004"
"100412","10000","在NORMAL難易度取得10000分","3","1","1","100412","1001","1004"
"100413","20000","在NORMAL難易度取得20000分","3","1","1","100413","1001","1004"
"100414","30000","在NORMAL難易度取得30000分","3","1","1","100414","1001","1004"
"100415","0","在HARD1難易度戰鬥1次","4","2","1","100415","1002","1004"
