ec4a5983c34f9cf4861e35c1c713a162e2c4b116b140719ac6fcdb25a39e5aa5,2fe48cd913e99ca8972f0d8a9d8d23789944b74d29b3e629a0108617e7643431,6094198dbbe7d5981c23189b2adc8c435fa3974414ee8963d5f8c356ed237a74,8b47ce445cba8e6f3f02be4b15e49062c00d285de90a9cbafa74f3ff77a9418b,8fe132a54b6c568ab9745f19df515c0ad4443c6c75dad8dc9a7798199f56cedc,6efb342b194e91d96c07fe039513939441324b19e0d6ca805a0d60d2df64fd2d
"0","5035005","5035004","0","10036","0"
"0","5058005","5058004","0","10059","0"
"1006201","0","0","10062115","10063","10062"
"1008401","0","0","10084115","10085","10084"
"1008601","0","0","10086115","10087","10086"
"1011001","0","0","10110115","10111","10110"
"1011201","0","0","10112115","10113","10112"
"1013601","0","0","10136110","10137","10136"
"1013801","0","0","10138115","10139","10138"
"1016401","0","0","10164110","10165","10164"
"1017401","0","0","10174107","10175","10174"
"2003301","0","0","20033115","20034","20033"
"2004601","0","0","20046115","20047","20046"
"2005901","0","0","20059115","20060","20059"
"2006701","0","0","20067110","20068","20067"
