1367521413c4792dc3d89c8fc37d338b4e61ebca807905f234f89ea60fc53531,e4e80807c10e070c8ff616c58b67efd03d443b56d2f296deac7040a5d5f2319c,b3ecd1ab64bc9bb987de60ee2c794dd072bb4a29c2a82150bde1aff9dc9bdc97,9d484f3d3e2252938a2f6242464efb68724d6e72aa5f6a7347aa5a60de539cd7
"1st Anniversary 特別登入獎勵","10000","2019/08/15 04:59:00","2019/08/01 05:00:00"
"1.5Year Anniversary 特別登入獎勵","10002","2020/02/07 04:59:59","2020/01/21 05:00:00"
"2nd Anniversary 特別登入獎勵","10003","2020/07/08 04:59:59","2020/06/22 05:00:00"
"2.5 Year Anniversary 特別登入獎勵","10004","2021/02/26 04:59:59","2021/02/09 05:00:00"
"3rd Anniversary 特別登入獎勵","10005","2021/08/15 04:59:59","2021/08/01 05:00:00"
"3.5 Year Anniversary 特別登入獎勵","10006","2022/02/18 04:59:59","2022/02/01 05:00:00"
"4th Anniversary 特別登入獎勵","10007","2022/08/15 04:59:59","2022/08/01 05:00:00"
"4.5 Year Anniversary 特別登入獎勵","10008","2023/02/06 04:59:59","2023/01/20 05:00:00"
"5th Anniversary 特別登入獎勵","10009","2023/08/15 04:59:59","2023/08/01 05:00:00"
"5.5 Year Anniversary 特別登入獎勵","10010","2024/02/24 04:59:59","2024/02/07 05:00:00"
"6th Anniversary 特別登入獎勵","10011","2024/08/16 04:59:59","2024/08/01 05:00:00"
"6.5 Year Anniversary 特別登入獎勵","10012","2025/02/18 04:59:59","2025/02/01 05:00:00"
"7th Year Anniversary 特別登入獎勵","10013","2025/08/15 04:59:59","2025/08/01 05:00:00"
"7.5 Year Anniversary 特別登入獎勵","10014","2026/03/01 04:59:59","2026/02/12 05:00:00"
