644c6dc4f7597ed1c5dc9a687d64aefebce3ed0b8b2c78947b88268196d4a59e,a7b4ea8492588c38ea9c3550f67f4fe2910cd4e099830752e1670135b5b4e625,21da92cc2afe1d95606ca2d174614c207759b69429b1851d9bf746ea54c688e5,aba4ddcaccd4bfa74669bb95f3a7a5d86b2721a66823d3df59366ab4ebd34680,769feaf10a2416a740bfb3e41835f73e988a8ce76cce85bc137769e84c9c9205,7fa0c0d1ee737ee2d40ff9c7dea955d30daa32a9b1fc4aaf21a36873dd31600d,f9af8e3465e4f3335e3dacc78d196939c522f00da5eb42a8b33551b63e04629d,3df51f6a20c19138eb5168fdfa0462ba303e88e892f92f6a7ca98599f9d58177
"1005","0","1005","TP提升250","0","戰鬥開始時，我方的TP提升250。","1005","2"
"1006","0","1006","TP提升250","0","戰鬥開始時，我方的TP提升250。","1006","2"
"1007","0","1007","TP提升250","0","戰鬥開始時，我方的TP提升250。","1007","2"
"1008","0","1008","TP提升250","0","戰鬥開始時，我方的TP提升250。","1008","2"
"1005","36000","100501","降低物理攻擊90秒","7469000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100501","1"
"1005","36000","100502","降低物理攻擊90秒","7161000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100502","1"
"1005","36000","100503","降低物理防禦90秒","6930000000000","戰鬥開始90秒內，使敵人的物理防禦力下降。","100503","1"
"1005","36000","100504","降低魔法防禦90秒","6699000000000","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100504","1"
"1005","36000","100505","降低物理攻擊90秒","6468000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100505","1"
"1005","36000","100506","降低物理攻擊90秒","6160000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100506","1"
"1005","36000","100507","降低物理防禦90秒","5929000000000","戰鬥開始90秒內，使敵人的物理防禦力下降。","100507","1"
"1005","36000","100508","降低魔法防禦90秒","5698000000000","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100508","1"
"1005","36000","100509","降低物理攻擊90秒","5390000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100509","1"
"1005","36000","100510","降低物理攻擊90秒","5159000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100510","1"
"1005","36000","100511","降低物理攻擊90秒","4928000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100511","1"
"1005","36000","100512","降低物理攻擊90秒","4620000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100512","1"
"1005","36000","100513","降低物理防禦90秒","4389000000000","戰鬥開始90秒內，使敵人的物理防禦力下降。","100513","1"
"1005","36000","100514","降低魔法防禦90秒","4158000000000","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100514","1"
"1005","36000","100515","降低物理攻擊90秒","3927000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100515","1"
"1005","36000","100516","降低物理攻擊90秒","3619000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100516","1"
"1005","36000","100517","降低物理防禦90秒","3388000000000","戰鬥開始90秒內，使敵人的物理防禦力下降。","100517","1"
"1005","36000","100518","降低魔法防禦90秒","3157000000000","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100518","1"
"1005","36000","100519","降低物理攻擊90秒","2849000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100519","1"
"1005","36000","100520","降低物理攻擊90秒","2618000000000","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100520","1"
