9f34e2a0c29c11a46e8ae01af162770e139372e732709d14b496b8145c589cf6,9d4ff0b8ac4c05c083da9ab2479e3fbf2b2405b2bab619abfd0967d214d21308,ba9cdf8b73f72dc8559ffd70a96ccd9fc7c1ef8b7bcec6439603c1077699637f,c6036c466ff2571deee335b79b88f4f052dc1935ec6303ca930a3ad736a03f1a,8af3d229babde3e25779e0e33031fa8f76d5a201d87242528d72c443d41c289e,5094bd613ff48e38193556ef91c92ca7a0dce03ef2cbe772123eb4dc66ccfc0e,317a3ccdde66554971eafc53564bbc6326087b51d1fcf60a37d3f568e631b1cc,9d9c746a8e9b04ef77be77b8c5550d8f907e4634c805c0790e7a38a1bb7bbc30,38184991b7d8aa71611ea4b0d654e79f92d0b9ed0a983c70d79638cefd7c9e1b,4613834face7b8e6b57a5b3a21eafbbdf90364f2fb5fde008c8fd5db208f1987,f58035e7bb8b51c3f0033f0cdff8bcb54e1f2ea913ab69879024a940fea15577,921875d8e3107c932b203f9d27315425eb215b6f3e6eb717ce7228c1dbeb6b76,80fb22afd57e84d84c10729ff0bd26e95adea3e7c88e96924debad3a26ef592d
"10201","5201061","0","4","5","","0","七冠專用群組聊天","102010001","晶的末端裝置","101","0","0"
"10201","5201062","0","4","5","","0","平時的群組聊天","102010002","","102","0","0"
"10201","5201063","0","2","2","","0","七冠會議‧變色龍篇","102010003","變色龍玩偶","5201063","0","0"
"10201","5201064","0","102","2","","0","七冠會議‧線上篇","102010004","線上會議_紀錄","5201064","0","1"
"10201","5201066","0","103","5","","0","美麗設計","102010005","怪物設定資料","501","0","1"
"10201","5201074","0","103","2","","0","正常的感性","102010006","","5201074","0","1"
"10201","5201075","0","104","2","","0","會議在跳舞，然而毫無進展","102010007","企劃資料","5201075","0","1"
"10201","5201076","0","104","2","","0","失控的創作者魂","102010008","","5201076","0","1"
"10201","5201077","0","3","2","","0","現士實似似花與蛋糕","102010009","綜合莓果蛋糕","5201077","0","0"
"10201","5201078","0","3","2","","0","由此而生的好感度","102010010","","5201078","0","0"
"10201","5201079","0","105","5","","0","華麗報導","102010011","訪談新聞_校閱用","401","0","1"
"10201","5201081","0","105","5","","0","華麗報導的背後","102010012","","402","0","1"
"10201","5201083","0","101","2","","0","嚮導老君的憂慮","102010013","角色服裝設定資料","5201083","0","1"
"10201","5201085","0","106","2","","0","何以何故獸人族","102010014","種族設定資料","5201085","0","1"
"10201","5201087","0","5","5","","0","停止的時間，殘留的思念","102010015","埋沒在資料裡的照片","301","0","0"
"10201","5201088","0","5","2","","0","前進的時間，刻下的回憶","102010016","","5201088","0","0"
"10201","0","0","1","6","","0","前往PC畫面","102010101","","1","0","0"
"10202","5202061","0","1","7","","0","安可曲要輕聲地唱","102020001","","5202061","0","0"
"10202","5202062","0","2","2","","0","教教我吧，千歌老師！","102020002","","5202062","0","0"
"10202","5202063","0","3","2","","0","因為想配合你的喜好","102020003","","5202063","0","0"
"10202","5202064","0","4","2","","0","於是心意相連","102020004","","5202064","0","0"
"10203","5203061","0","1","4","","0","也有助於殺時間！巨型護目罩","102030001","","101","0","0"
"10203","5203062","0","2","2","","0","克蘿茜大解密其一","102030002","","5203062","0","0"
"10203","5203063","0","3","4","","0","搭載令人驚愕的新武裝！巨型雙眼","102030003","","102","0","0"
"10203","5203064","0","4","2","","0","克蘿茜大解密其二","102030004","","5203064","0","0"
"10203","5203065","0","5","4","","0","熟能生巧才是對的？給新手駕駛員的考驗！","102030005","","103","0","0"
"10203","5203066","0","6","2","","0","克蘿茜大解密其三","102030006","","5203066","0","0"
"10203","5203067","0","7","4","","0","推動超重量的強大輸出！巨型推進器","102030007","","104","0","0"
"10203","5203068","0","8","2","","0","克蘿茜大解密其四","102030008","","5203068","0","0"
"10203","5203069","0","9","2","","0","克蘿茜大解密其五","102030009","","5203069","0","0"
"10203","5203070","0","10","4","","0","流線型的壓倒性質量！巨型雙腿","102030010","","105","0","0"
"10203","5203071","0","101","4","","0","可愛是最重要項目？多功能武裝護目罩","102030011","","106","0","1"
