47bd596422f28692d2ef3fa6fcdc71613979f0cbec9adf65eae3b121d226371f,89d217e4134c2e6a3f12ca625cf5c17b00b628c2f17319f96b50649c21a32d16,8c2e420605f9af3834bfb2aaa398a908b6e107dcdceb462561977fa97d60cdf6,0234666dd4e82b350f696f099b587ff90976134ca9c0e43883c57ab6527feca1,17c3f74aa228d197afc5b7ba4ebf627659b2a236be00379af2c1c2db7b937b6a,c165c49bc3e6960a4d43ed9dfd7478689815278743f555239bb8f47db0c08866,ababf45a32f314ff2630510e91d7e2b520291d281714dc93ca7024132b4b5839,d85a59b54fcd72a501eb872c1c5a94c92417ceb030105cfb718e48e9d7c2a763,7f16e974c284692e2e7fb8fdc9caf3c8e0aea8ad6ce37b92e8c76cb505f0d6df,f272dbd4260613d9a1821ff999d6f404112644d96f2219dd0d4c8a72e9019761,e07b5ca06562e1a8192253e5c688c36f7064c44c764460bf6083a3779b41f22c
"-225","1","1","5146061","-278","idle_normal","61001","1.8","0","105811","100"
"-225","5","6","5146061","-278","idle_normal","61002","1.8","0","1058","101"
"-385","1","1","5146061","-288","kokkoro_idle_normal","61003","1.8","0","105911","103"
"-385","5","3","5146061","-288","kokkoro_idle_normal","61004","1.8","0","1059","104"
"290","1","1","5146061","-278","idle_normal","61005","1.8","1","106011","106"
"290","5","4","5146061","-278","idle_normal","61006","1.8","1","1060","107"
"","13","105811","5146061","","","61007","","","200",""
"","13","105911","5146061","","","61008","","","203",""
"","13","106011","5146061","","","61009","","","206",""
"0","5","7","5146061","-174","idle","61010","0.85","0","7","15"
"290","5","20","5146061","8","empty","61011","1","0","201","210"
"0","5","20","5146061","-78","empty","61012","1","0","202","211"
"-315","5","20","5146061","16","empty","61013","1","0","203","210"
"0","5","21","5146061","153","empty","61014","1","0","21","60"
"0","31","1","5146061","1","","61015","1","","1","0"
"-57.7","31","2","5146061","1","","61016","0","","2","0"
"0","31","10","5146061","1","","61017","0","","10","0"
"0","31","11","5146061","1","","61018","0","","11","0"
"","91","0","5146061","","","61019","","","0",""
"","102","0","5146061","","","61020","","","0","0"
"","93","1","5146061","","","61021","","","0",""
"doya_talk_shy","3","106011","5146061","1","","61022","0.2","0","doya_in_shy","0"
"doya_talk_shy","3","1060","5146061","1","","61023","0.2","0","doya_in_shy","0"
"0","21","vo_apg","5146061","","","61024","","","vo_apg_0101","0"
"1","11","106011","5146061","1","0","61025","0","0","搭乘雲霄飛車時的\n魔法拍攝服務？\n哼，擅自拍下別人毫無防備的照片，\n之後再進行推銷，真是無聊！","8"
