a39f494822463cdcac17c126e173a082fe55a7a17f4133e72d402092da8166a2,ac05788f377231e0329f049314128be9b09a6f06683b37b2172e272f233836e9,f0706e00de00a6710da6784f26e837471519c9b464dfb9fb42d0fe4dc5896322,d5dac5d0cd4503fad29dc3451b2390cca3f6737f5c942751461d4d9323f061b5,7eef035ab8224bd0b7884f00fb8bb70f8db7985a2f03164bebbbc7321979b21e,66c6f434d38b50f2b5081242d509ce2c6c039f08c37f4a98babaffb560b9408d,fc3942ceb28513dd4ee0a845364a18cec6d62c393b49254699bc54d93216edc4,2e7d258725ad1a818fcea8f7e3ce09625cf032edb3b0af0d57b243dc9a4e8e53
"0","完成石像鬼（EASY）","70000","110001","110001","90110001","1","111"
"0","完成石像鬼（NORMAL）","70000","110002","110001","90110002","1","112"
"0","完成石像鬼（HARD）","70000","110003","110001","90110003","1","113"
"0","完成石像鬼（VERY HARD）","70000","110004","110001","90110004","1","114"
"0","完成石像鬼（EXTREME）","70000","110005","110001","90110005","1","115"
"0","完成法師石像鬼（EASY）","70000","120001","110001","90120001","1","121"
"0","完成法師石像鬼（NORMAL）","70000","120002","110001","90120002","1","122"
"0","完成法師石像鬼（HARD）","70000","120003","110001","90120003","1","123"
"0","完成法師石像鬼（VERY HARD）","70000","120004","110001","90120004","1","124"
"0","完成法師石像鬼（EXTREME）","70000","120005","110001","90120005","1","125"
"0","完成守衛石像鬼（EASY）","70000","130001","110001","90130001","1","131"
"0","完成守衛石像鬼（NORMAL）","70000","130002","110001","90130002","1","132"
"0","完成守衛石像鬼（HARD）","70000","130003","110001","90130003","1","133"
"0","完成守衛石像鬼（VERY HARD）","70000","130004","110001","90130004","1","134"
"0","完成守衛石像鬼（EXTREME）","70000","130005","110001","90130005","1","135"
"0","完成石像鬼‧炸裂（EASY）","70000","140001","110001","90140001","1","141"
"0","完成石像鬼‧炸裂（NORMAL）","70000","140002","110001","90140002","1","142"
"0","完成石像鬼‧炸裂（HARD）","70000","140003","110001","90140003","1","143"
"0","完成石像鬼‧炸裂（VERY HARD）","70000","140004","110001","90140004","1","144"
"0","完成石像鬼‧炸裂（EXTREME）","70000","140005","110001","90140005","1","145"
"0","完成石像鬼‧魔幻（EASY）","70000","150001","110001","90150001","1","151"
"0","完成石像鬼‧魔幻（NORMAL）","70000","150002","110001","90150002","1","152"
"0","完成石像鬼‧魔幻（HARD）","70000","150003","110001","90150003","1","153"
"0","完成石像鬼‧魔幻（VERY HARD）","70000","150004","110001","90150004","1","154"
"0","完成石像鬼‧魔幻（EXTREME）","70000","150005","110001","90150005","1","155"
