2f89073b4a9eb25e24691e7321a79c4abda0497ccd223dfa0ba72df0b3943107,aa82004355c440a1aeba596d757d5550c4762ecd8c2877268ff390ec573cf12b,e85ee405e60d983983f489b860f7aa602cfa4ca61e519895341a900c74b78a20,bb0b97f7b3a9486a4f8d950d1a5f464eb8438cb3a45516c113cf950b0596ec9a,bedda206e32dfb2ff787e1d08371ef7a5fc31eb910e723fe13a5916354c699c0,a31aaaed36477e24390f09483ff442520c40fba1a63bb72e03f9f99de1567501
"1","100111","0","0","3000","2999180"
"1","100112","0","0","10000","2999101"
"1","100121","0","0","10000","2999167"
"1","100122","0","0","10000","2999168"
"1","100131","0","0","5000","2999172"
"1","100211","0","0","10000","2999182"
"1","100221","0","0","100000","2999102"
"1","100231","0","0","40000","2999103"
"1","100232","0","0","100000","2999102"
"1","100311","0","0","2000","2999185"
"1","100312","0","0","4000","2999186"
"1","100321","0","0","2000","2999187"
"1","100322","0","0","5000","2999188"
"1","100331","0","0","5000","2999189"
"1","100411","0","0","3000","2999104"
"1","100412","0","0","120","2999177"
"1","100421","0","0","5000","2999105"
"1","100422","0","0","140","2999178"
"1","100431","0","0","7000","2999106"
"1","100432","0","0","170","2999179"
"1","100511","0","0","3300","2999190"
"1","100521","0","0","3000","2999107"
"1","100522","0","0","10000","2999108"
"1","100531","0","0","10000","2999112"
"1","100532","0","0","10000","2999113"
"14","110011","0","0","5","14"
"1","110021","0","0","10000","2999117"
"1","110031","0","0","10000","2999120"
"14","110041","0","0","2","16"
"1","110051","0","0","1000","2999101"
"14","120011","0","0","2000","105"
"1","120021","0","0","5000","2999121"
"1","120031","0","0","5000","2999124"
"1","120041","0","0","1000","2999127"
"1","120051","0","0","1000","2999128"
"1","130011","0","0","1000","2999129"
"14","130021","0","0","1000","100"
"14","130022","0","0","1000","101"
"14","130031","0","0","3000","107"
"14","130041","0","0","1000","6"
"14","130042","0","0","1000","7"
"14","130051","0","0","10","9"
"14","140011","0","0","3000","108"
"1","140021","0","0","5000","2999132"
"1","140031","0","0","5000","2999133"
"14","140041","0","0","2000","2"
"14","140042","0","0","2000","4"
"14","140051","0","0","1000","3"
"14","140052","0","0","1000","5"
"14","150011","0","0","1000","110"
"14","150021","0","0","1000","1"
"1","150031","0","0","50000","2999134"
"1","150041","0","0","50000","2999149"
"1","150051","0","0","5000","2999164"
"14","210011","0","0","10","14"
"1","210021","0","0","20000","2999118"
"1","210031","0","0","20000","2999120"
"14","210041","0","0","4","16"
"1","210051","0","0","2000","2999101"
"14","220011","0","0","4000","105"
"1","220021","0","0","10000","2999122"
"1","220031","0","0","10000","2999125"
"1","220041","0","0","2000","2999127"
"1","220051","0","0","2000","2999128"
