4da06acfc7d09e5c9eed7930616acd8da8329e8aac8a0dbdb2858ee6b164994d,479c050d609a4d1595fa8380c34b5df5a3a341296222754d9092a9b180494b45,7f67401a581c888dc3e6536242b8e44f07a7245ed31a241cef1e5f9617ac9351,e1b54d5bebac85d6e491ebbd3aa73363c10c3a6cb75352c462c400722f90e95f,e6e9937ff82bb7769ad5736baa0e944c723c3107482031392d14aa8220f56574
"30","1","200","8500","1"
"30","1","5","1500","2"
"60","2","220","8500","3"
"60","2","5","1500","4"
"60","3","200","8500","5"
"15","3","200","1500","6"
"60","4","200","8500","7"
"10","4","200","1500","8"
"40","5","150","8500","9"
"40","5","5","1500","10"
"60","6","150","8500","11"
"10","6","200","1500","12"
"40","7","150","8500","13"
"40","7","5","1500","14"
"50","8","150","8500","15"
"15","8","200","1500","16"
"45","9","150","8500","17"
"10","9","200","1500","18"
"40","10","145","8500","19"
"10","10","5","1500","20"
"40","11","300","8500","21"
"10","11","5","1500","22"
"65","12","200","8500","23"
"10","12","200","1500","24"
"40","13","150","8500","25"
"10","13","5","1500","26"
"40","14","100","8500","27"
"10","14","5","1500","28"
"50","15","200","8500","29"
"10","15","5","1500","30"
"60","16","250","8500","31"
"30","16","200","1500","32"
"45","17","120","8500","33"
"90","17","300","1500","34"
"90","18","120","8500","35"
"30","18","200","1500","36"
"50","19","190","8500","37"
"60","19","350","1500","38"
"90","20","95","8500","39"
"90","20","95","1500","40"
"20","21","200","8500","41"
"5","21","5","1500","42"
"30","22","450","8500","43"
"5","22","5","1500","44"
"20","23","200","8500","45"
"5","23","5","1500","46"
"30","1001","130","8500","47"
"5","1001","5","1500","48"
"30","1002","140","8500","49"
"5","1002","5","1500","50"
"40","1003","150","8500","51"
"5","1003","5","1500","52"
"45","1004","155","8500","53"
"5","1004","200","1500","54"
"60","1005","155","8500","55"
"10","1005","200","1500","56"
"60","1006","150","8500","57"
"15","1006","200","1500","58"
"60","1007","150","8500","59"
"15","1007","200","1500","60"
"50","1008","160","8500","61"
"15","1008","200","1500","62"
"70","1009","140","8500","63"
"30","1009","200","1500","64"
"35","1010","180","8500","65"
"120","1010","200","1500","66"
"65","1011","140","8500","67"
"30","1011","200","1500","68"
"35","1012","200","8500","69"
"5","1012","5","1500","70"
"70","1013","150","8500","71"
"15","1013","200","1500","72"
"60","1014","150","8500","73"
"15","1014","200","1500","74"
"60","1015","150","8500","75"
"15","1015","200","1500","76"
"60","1016","150","8500","77"
"15","1016","200","1500","78"
"60","1017","150","8500","79"
"15","1017","200","1500","80"
"50","1018","120","8500","81"
"60","1018","200","1500","82"
"67","1019","102","8500","83"
"60","1019","200","1500","84"
"35","1020","120","8500","85"
"60","1020","250","1500","86"
"30","10001","200","7000","87"
"30","10001","5","3000","88"
"60","10002","220","7000","89"
"60","10002","5","3000","90"
"60","10003","200","7000","91"
"15","10003","200","3000","92"
"60","10004","200","7000","93"
"10","10004","200","3000","94"
"40","10005","150","7000","95"
"40","10005","5","3000","96"
"60","10006","150","7000","97"
"10","10006","200","3000","98"
"40","10007","150","7000","99"
"40","10007","5","3000","100"
"50","10008","150","7000","101"
"15","10008","200","3000","102"
"45","10009","150","7000","103"
"10","10009","200","3000","104"
"40","10010","145","7000","105"
"10","10010","5","3000","106"
"40","10011","300","7000","107"
"10","10011","5","3000","108"
"65","10012","200","7000","109"
"10","10012","200","3000","110"
"40","10013","150","7000","111"
"10","10013","5","3000","112"
"40","10014","100","7000","113"
"10","10014","5","3000","114"
"50","10015","200","7000","115"
"10","10015","5","3000","116"
"60","10016","250","7000","117"
"30","10016","200","3000","118"
"45","10017","120","7000","119"
"90","10017","300","3000","120"
"90","10018","120","7000","121"
"30","10018","200","3000","122"
"50","10019","190","7000","123"
"60","10019","350","3000","124"
"90","10020","95","7000","125"
"90","10020","95","3000","126"
"60","10021","200","7000","127"
"60","10021","200","3000","128"
"60","10022","200","7000","129"
"60","10022","200","3000","130"
"60","10023","200","7000","131"
"60","10023","200","3000","132"
"30","11001","130","7000","133"
"5","11001","5","3000","134"
"30","11002","140","7000","135"
"5","11002","5","3000","136"
"40","11003","150","7000","137"
"5","11003","5","3000","138"
