7d5ca8a1ff8219366586c3425a8e6ee8ae9d085fbd2a351f44fdc3a148385349,1f6bc08671be2246ae3a65be71e300cef6efc03543e4f06124f4cd64ad0b72a2,5658b958e46de82ae20d11c7c6b5b71c703567f4c71d3fec233932fd377a1c5f,233e4b47a8c6a4dfde5909c1ee04109179bc81c3d526a270a5bad713b294eb32,c988c866164772973cd6fb262226e03c1d0b2b7a00f48cd30c5941522cfd11cc,f54575ae38935999695715bedf281c640e74e55779f94109b66fee96549e6163,7dce408cbfdc00506d4e14ece9c462a69c083d51da76a30c4442bf04f5d5a5f0,0e4b58733d4962782b249b449957ba9ea44e200a2e8e628c1e9f7ea0b8bf8cf4,0c2cb4a997a324ae33b667515d64c27654c8c47092bd1776a37b1e19564afccb,5e6e8f35f25f4b255372a04aa619639bf5095e4f0b409088dd71cbae1f2a9161,d810aa0a106b9bb364fd94179601da58d4b7515a2cb77c2f6d6b442fa7e3dcdc
"1.3","0","2","1000001","1001","<weapon>_idle","55","1","-250","-100","110010001"
"1","","100","100","1001","","0","31","1","0","110010002"
"0","","101","101","1001","","0","31","1","0","110010003"
"1","","4","4","1001","","0","31","1","0","110010004"
"1","","5","5","1001","","94.5","31","1","0","110010005"
"","","0","0","1001","","","91","","","110010006"
"","","0.4","0","1001","","","93","","","110010007"
"0.2","","1000001","<weapon>_joy_short","1001","","0","3","","","110010008"
"","","1.3","0","1001","","","93","","","110010009"
"0","","1000001","<weapon>_run","1001","","1","3","","","110010010"
"","","1000001","800","1001","","-250","2","0","1","110010011"
"","","0.7","0","1001","","","93","","","110010012"
"","","101","1","1001","","","32","","","110010013"
"","","0.7","0","1001","","","93","","","110010014"
"1.3","0","2","1000001","1101","<weapon>_run","55","1","-250","-640","111010001"
"1","","100","100","1101","","0","31","1","0","111010002"
"0","","101","101","1101","","0","31","1","0","111010003"
"1","","4","4","1101","","0","31","1","0","111010004"
"","","4","0","1101","","","35","","","111010005"
"1","","5","5","1101","","0","31","1","0","111010006"
"1","","10","10","1101","","0","31","1","0","111010007"
"","","0","","1101","","","91","","","111010008"
"","","100","1","1101","","","35","","","111010009"
"","","1000001","640","1101","","-250","2","0","2.1","111010010"
"","","1.7","0","1101","","","93","","","111010011"
"","","101","1","1101","","","32","","","111010012"
"","","0.7","0","1101","","","93","","","111010013"
"1.3","0","1","1000001","2001","look_loop","55","1","-240","0","120010001"
"0","0","1","1","2001","","0","31","1","0","120010002"
"","","1","0","2001","","","35","","","120010003"
"","","1","1","2001","","","32","","","120010004"
"1","0","2","2","2001","","345.4","31","1","0","120010005"
"","","2","0","2001","","","35","","","120010006"
"0","0","3","3","2001","","345.4","31","1","0","120010007"
"","","3","0","2001","","","35","","","120010008"
"","","3","1","2001","","","32","","","120010009"
"1","","31000001","31000001","2001","","-345.4","31","1","0","120010010"
"1","","31000002","31000002","2001","","345.4","31","1","0","120010011"
"1","","100","100","2001","","0","31","1","0","120010012"
"0","","101","101","2001","","0","31","1","0","120010013"
"","","0","","2001","","","91","","","120010014"
"","","100","1","2001","","","35","","","120010015"
"0","0","1000001","look_in","2001","","0","3","1","look_loop","120010016"
"","","1.3","0","2001","","","93","","","120010017"
"0","","12","998","2101","","0","31","1","0","121010001"
"0","","14","997","2101","","0","31","1","0","121010002"
"0","","16","996","2101","","0","31","1","0","121010003"
"","","31000001","0","2101","","","32","","","121010004"
"","","31000002","0","2101","","","32","","","121010005"
"0","","0","0","2101","","-1","121","0","1","121010006"
"","","1","1","2101","","","35","","","121010007"
"","","3","1","2101","","","35","","","121010008"
"0","","1000001","pointing","2101","","0","3","","","121010009"
"","","1","0","2101","","","93","","","121010010"
"0","","505","100","2101","","-1.47","121","2","1.47","121010011"
"0.2","","1000001","run_talk1","2101","","1","3","","","121010012"
"","","1000001","100","2101","","-240","2","0","1","121010013"
"","","se_travel","se_travel_treasure_cha_run","2101","","0","23","","","121010014"
"","","1","0","2101","","","93","","","121010015"
"0","","11","998","2201","","0","31","1","0","122010001"
"0","","13","997","2201","","0","31","1","0","122010002"
