989e68fa9393d2df9fe6a757477e6644a5443f474e575960528c58913dd1618f,f97ae7fe9344adf5f71642bc75faf8f8286357f12447511dfad8753927e6247a,af4dd3bb2ba4a3cc62a00418489f052594407949857b19ad736d38b9e35d49f0,26f0ab59d8eb36f0328ac28d9bb422dbe3163a5912f3ed6302b6737fe2d90d6f,632b127eee4ff556d8454cddc066ba6d28fa1fc6dc8ec99510402e5a8fea25ba
"加油！","2015/04/01 14:00:00","100101","28","2099/08/01 14:59:59"
"謝謝","2015/04/01 14:00:00","100201","29","2099/08/01 14:59:59"
"參戰","2015/04/01 14:00:00","100301","30","2099/08/01 14:59:59"
"早安~！！","2015/04/01 14:00:00","100401","31","2099/08/01 14:59:59"
"有點難為情呢","2021/12/09 12:00:00","100501","58","2099/08/01 14:59:59"
"好厲害喔～♪","2021/12/09 12:00:00","100601","59","2099/08/01 14:59:59"
"布丁～布丁～","2021/12/09 12:00:00","100701","60","2099/08/01 14:59:59"
"叫我嗎？","2021/12/09 12:00:00","100801","61","2099/08/01 14:59:59"
"就是現在！","2015/04/01 14:00:00","100901","32","2099/08/01 14:59:59"
"真是辛苦呀","2015/04/01 14:00:00","101001","33","2099/08/01 14:59:59"
"收到！","2015/04/01 14:00:00","101101","34","2099/08/01 14:59:59"
"開始囉─","2015/04/01 14:00:00","101201","35","2099/08/01 14:59:59"
"出現了！","2021/12/09 12:00:00","101301","62","2099/08/01 14:59:59"
"線索湊齊了呢","2021/12/09 12:00:00","101401","63","2099/08/01 14:59:59"
"好乖好乖♪","2021/12/09 12:00:00","101501","64","2099/08/01 14:59:59"
"OK！","2015/04/01 14:00:00","101601","36","2099/08/01 14:59:59"
"船到橋頭自然直","2015/04/01 14:00:00","101701","37","2099/08/01 14:59:59"
"我來教‧教‧你","2021/12/09 12:00:00","101801","65","2099/08/01 14:59:59"
"晚安","2015/04/01 14:00:00","102001","38","2099/08/01 14:59:59"
"哇！哇！","2015/04/01 14:00:00","102101","39","2099/08/01 14:59:59"
"抖~抖~","2015/04/01 14:00:00","102201","40","2099/08/01 14:59:59"
"怒怒","2015/04/01 14:00:00","102301","41","2099/08/01 14:59:59"
"辛苦啦…哇哇！？","2015/04/01 14:00:00","102501","42","2099/08/01 14:59:59"
"好累喔～","2021/12/09 12:00:00","102601","66","2099/08/01 14:59:59"
"呵呵呵…","2015/04/01 14:00:00","102701","43","2099/08/01 14:59:59"
"要上了！","2015/04/01 14:00:00","102801","44","2099/08/01 14:59:59"
"交給我！","2015/04/01 14:00:00","102901","45","2099/08/01 14:59:59"
"統一天下是也！","2021/12/09 12:00:00","103001","67","2099/08/01 14:59:59"
"晚晚安！","2015/04/01 14:00:00","103101","46","2099/08/01 14:59:59"
"真不好意思","2021/12/09 12:00:00","103201","68","2099/08/01 14:59:59"
"騙你的！","2021/12/09 12:00:00","103301","69","2099/08/01 14:59:59"
"乾杯！！","2015/04/01 14:00:00","103401","47","2099/08/01 14:59:59"
"已通報!!","2015/04/01 14:00:00","103601","48","2099/08/01 14:59:59"
"每日鍛鍊","2021/12/09 12:00:00","103701","70","2099/08/01 14:59:59"
"要不要……休息一下？","2021/12/09 12:00:00","103801","71","2099/08/01 14:59:59"
"剩下就拜託了…","2015/04/01 14:00:00","104001","49","2099/08/01 14:59:59"
"賜你守護……","2021/12/09 12:00:00","104201","72","2099/08/01 14:59:59"
"熱血沸騰啦！","2021/12/09 12:00:00","104301","73","2099/08/01 14:59:59"
"隨我而來吧！","2015/04/01 14:00:00","104401","50","2099/08/01 14:59:59"
"想吃…","2015/04/01 14:00:00","104501","51","2099/08/01 14:59:59"
"喵！","2015/04/01 14:00:00","104601","52","2099/08/01 14:59:59"
"以這雙手來守護！","2021/12/09 12:00:00","104701","74","2099/08/01 14:59:59"
"ＮＯ！","2015/04/01 14:00:00","104801","53","2099/08/01 14:59:59"
"抱歉呦♡","2015/04/01 14:00:00","104901","54","2099/08/01 14:59:59"
"快振作！！","2015/04/01 14:00:00","105001","55","2099/08/01 14:59:59"
"做實驗做實驗……♪","2021/12/09 12:00:00","105101","75","2099/08/01 14:59:59"
"呸呸！","2021/12/09 12:00:00","105201","76","2099/08/01 14:59:59"
"給我等一下！！","2015/04/01 14:00:00","105301","56","2099/08/01 14:59:59"
"真是沒辦法呀","2021/12/09 12:00:00","105401","77","2099/08/01 14:59:59"
"辛苦了！","2021/12/09 12:00:00","105501","57","2099/08/01 14:59:59"
"不用顧慮啦","2021/12/09 12:00:00","105601","78","2099/08/01 14:59:59"
"嗨！！","2015/04/01 14:00:00","105801","25","2099/08/01 14:59:59"
"幹的好","2015/04/01 14:00:00","105901","26","2099/08/01 14:59:59"
"給我記住","2015/04/01 14:00:00","106001","27","2099/08/01 14:59:59"
"哈～哈哈哈！","2021/12/09 12:00:00","106101","79","2099/08/01 14:59:59"
"請多指教囉。","2021/12/09 12:00:00","106401","80","2099/08/01 14:59:59"
"打架時間到了！","2021/12/09 12:00:00","106501","81","2099/08/01 14:59:59"
"不管那麼多了！","2021/12/09 12:00:00","106601","82","2099/08/01 14:59:59"
"答對了～♪","2021/12/09 12:00:00","106701","83","2099/08/01 14:59:59"
"歡迎你！","2021/12/09 12:00:00","106801","84","2099/08/01 14:59:59"
"我模仿看看","2021/12/09 12:00:00","107001","85","2099/08/01 14:59:59"
"來盡情享受吧","2021/12/09 12:00:00","107101","86","2099/08/01 14:59:59"
"真令人沮喪──","2021/12/09 12:00:00","110801","87","2099/08/01 14:59:59"
"好喜歡！","2021/12/09 12:00:00","110901","88","2099/08/01 14:59:59"
"非常有趣","2021/12/09 12:00:00","111001","89","2099/08/01 14:59:59"
"OK唷！","2023/01/20 16:00:00","111101","1","2099/08/01 14:59:59"
"嗨呵～！","2023/01/20 16:00:00","111201","2","2099/08/01 14:59:59"
"謝謝♪","2023/01/20 16:00:00","111301","3","2099/08/01 14:59:59"
"最～喜歡了！","2023/01/20 16:00:00","111401","4","2099/08/01 14:59:59"
"好興奮喔","2023/01/20 16:00:00","111501","5","2099/08/01 14:59:59"
"你也一起來★","2023/01/20 16:00:00","111601","6","2099/08/01 14:59:59"
"不賴嘛","2023/01/20 16:00:00","111701","7","2099/08/01 14:59:59"
"呼嚕呼嚕……","2023/01/20 16:00:00","111801","8","2099/08/01 14:59:59"
"加油！加油！","2023/01/20 16:00:00","111901","9","2099/08/01 14:59:59"
"嗨起來～♪","2023/01/20 16:00:00","112001","10","2099/08/01 14:59:59"
"呀～！","2023/01/20 16:00:00","112101","11","2099/08/01 14:59:59"
"討厭喵～！","2023/01/20 16:00:00","112201","12","2099/08/01 14:59:59"
"咦咦！？","2023/01/20 16:00:00","112301","13","2099/08/01 14:59:59"
"心跳加速","2023/01/20 16:00:00","112401","14","2099/08/01 14:59:59"
"怎、怎麼回事！","2023/01/20 16:00:00","112501","15","2099/08/01 14:59:59"
"這很簡單啊","2023/01/20 16:00:00","112601","16","2099/08/01 14:59:59"
"真幸福♪","2023/01/20 16:00:00","112701","17","2099/08/01 14:59:59"
"各位同志們！","2023/01/20 16:00:00","112801","18","2099/08/01 14:59:59"
"很順利呢～♪","2023/01/20 16:00:00","112901","19","2099/08/01 14:59:59"
"好棒棒♪","2023/01/20 16:00:00","113001","20","2099/08/01 14:59:59"
"我不會輸的/才沒有","2023/01/20 16:00:00","113101","21","2099/08/01 14:59:59"
"最高效率","2023/01/20 16:00:00","113201","22","2099/08/01 14:59:59"
"這是祕密","2023/01/20 16:00:00","113301","23","2099/08/01 14:59:59"
"登台！","2023/01/20 16:00:00","113401","24","2099/08/01 14:59:59"
