c0f0f4ec20c1141894d52aae364b1042c67a9bea4bc87945bed98545fdd4489d,f427b6815d639b30e78f4737d0471108277c87a0f0ad4988c345471db3bdcf99,2ddc70e8883d3164233096981ea05e2a34d248767f46403280e67e998a7f8741,eeb5714e010377df35b9279a54e2a2f84283addff01b90a4d461d414597216f4,47637ebb237310002fdcf5917a7280e05fe62ce70057f3988a291d1c6d663573,dfae278525ecbc48d329545b29927dbe635ec72fdd538fb6f130ff5f8bd1edf7
"1","10","2","10","1","500"
"1","20","3","10","1","500"
"1","30","4","10","1","500"
"1","40","5","10","1","500"
"1","50","6","10","1","500"
"1","60","7","10","1","500"
"1","70","8","10","1","500"
"1","80","9","10","1","500"
"1","90","10","10","1","500"
"1","105","11","15","1","500"
"1","120","12","15","1","500"
"1","135","13","15","1","500"
"1","150","14","15","1","500"
"1","165","15","15","1","500"
"1","180","16","15","1","500"
"1","195","17","15","1","500"
"1","210","18","15","1","500"
"1","225","19","15","1","500"
"1","240","20","15","1","500"
"1","265","21","25","1","500"
"1","290","22","25","1","500"
"1","315","23","25","1","500"
"1","340","24","25","1","500"
"1","365","25","25","1","500"
"1","390","26","25","1","500"
"1","415","27","25","1","500"
"1","440","28","25","1","500"
"1","465","29","25","1","500"
"1","490","30","25","1","500"
"1","530","31","40","2","500"
"1","570","32","40","2","500"
"1","610","33","40","2","500"
"1","650","34","40","2","500"
"1","690","35","40","2","500"
"1","730","36","40","2","500"
"1","770","37","40","2","500"
"1","810","38","40","2","500"
"1","850","39","40","2","500"
"1","890","40","40","2","500"
"1","940","41","50","2","500"
"1","990","42","50","2","500"
"1","1040","43","50","2","500"
"1","1090","44","50","2","500"
"1","1140","45","50","2","500"
"1","1190","46","50","2","500"
"1","1240","47","50","2","500"
"1","1290","48","50","2","500"
"1","1340","49","50","2","500"
"1","1390","50","50","2","500"
"1","1450","51","60","3","500"
"1","1510","52","60","3","500"
"1","1570","53","60","3","500"
"1","1630","54","60","3","500"
"1","1690","55","60","3","500"
"1","1750","56","60","3","500"
"1","1810","57","60","3","500"
"1","1870","58","60","3","500"
"1","1930","59","60","3","500"
"1","1990","60","60","3","500"
"1","2065","61","75","3","600"
"1","2140","62","75","3","600"
"1","2215","63","75","3","600"
"1","2290","64","75","3","600"
"1","2365","65","75","3","600"
"1","2440","66","75","3","600"
"1","2515","67","75","3","600"
"1","2590","68","75","3","600"
"1","2665","69","75","3","600"
"1","2740","70","75","3","600"
"1","2840","71","100","4","600"
"1","2940","72","100","4","600"
"1","3040","73","100","4","600"
"1","3140","74","100","4","600"
"1","3240","75","100","4","600"
"1","3340","76","100","4","600"
"1","3440","77","100","4","600"
"1","3540","78","100","4","600"
"1","3640","79","100","4","600"
"1","3740","80","100","4","600"
"1","3865","81","125","4","600"
"1","3990","82","125","4","600"
"1","4115","83","125","4","600"
"1","4240","84","125","4","600"
"1","4365","85","125","4","600"
"1","4490","86","125","4","600"
"1","4615","87","125","4","600"
"1","4740","88","125","4","600"
"1","4865","89","125","4","600"
"1","4990","90","125","4","600"
"1","5140","91","150","5","600"
"1","5290","92","150","5","600"
"1","5440","93","150","5","600"
"1","5590","94","150","5","600"
"1","5740","95","150","5","600"
"1","5890","96","150","5","600"
"1","6040","97","150","5","600"
"1","6190","98","150","5","600"
"1","6340","99","150","5","600"
"1","6490","100","150","5","600"
"1","6665","101","175","5","600"
"1","6840","102","175","5","600"
"1","7015","103","175","5","600"
"1","7190","104","175","5","600"
"1","7365","105","175","5","600"
"1","7540","106","175","5","600"
"1","7715","107","175","5","600"
"1","7890","108","175","5","600"
"1","8065","109","175","5","600"
"1","8240","110","175","5","600"
"1","8440","111","200","6","600"
"1","8640","112","200","6","600"
"1","8840","113","200","6","600"
"1","9040","114","200","6","600"
"1","9240","115","200","6","600"
"1","9440","116","200","6","600"
"1","9640","117","200","6","600"
"1","9840","118","200","6","600"
"1","10040","119","200","6","600"
"1","10240","120","200","6","600"
"1","10465","121","225","6","600"
"1","10690","122","225","6","600"
"1","10915","123","225","6","600"
"1","11140","124","225","6","600"
"1","11365","125","225","6","600"
"1","11590","126","225","6","600"
"1","11815","127","225","6","600"
"1","12040","128","225","6","600"
"1","12265","129","225","6","600"
"1","12490","130","225","6","600"
"1","12740","131","250","7","600"
"1","12990","132","250","7","600"
"1","13240","133","250","7","600"
"1","13490","134","250","7","600"
"1","13740","135","250","7","600"
"1","13990","136","250","7","600"
"1","14240","137","250","7","600"
"1","14490","138","250","7","600"
"1","14740","139","250","7","600"
"1","14990","140","250","7","600"
"1","15240","141","250","8","600"
"1","15490","142","250","8","600"
"1","15740","143","250","8","600"
"1","15990","144","250","8","600"
"1","16240","145","250","8","600"
"1","16490","146","250","8","600"
"1","16740","147","250","8","600"
"1","16990","148","250","8","600"
"1","17240","149","250","8","600"
"1","17490","150","250","8","600"
"1","17740","151","250","9","600"
"1","17990","152","250","9","600"
"1","18240","153","250","9","600"
"1","18490","154","250","9","600"
"1","18740","155","250","9","600"
"1","18990","156","250","9","600"
"1","19240","157","250","9","600"
"1","19490","158","250","9","600"
"1","19740","159","250","9","600"
"1","19990","160","250","9","600"
"1","20240","161","250","10","600"
"1","20490","162","250","10","600"
"1","20740","163","250","10","600"
"1","20990","164","250","10","600"
"1","21240","165","250","10","600"
"1","21490","166","250","10","600"
"1","21740","167","250","10","600"
"1","21990","168","250","10","600"
"1","22240","169","250","10","600"
"1","22490","170","250","10","600"
"1","22740","171","250","11","600"
"1","22990","172","250","11","600"
"1","23240","173","250","11","600"
"1","23490","174","250","11","600"
"1","23740","175","250","11","600"
"1","23990","176","250","11","600"
"1","24240","177","250","11","600"
"1","24490","178","250","11","600"
"1","24740","179","250","11","600"
"1","24990","180","250","11","600"
"1","25240","181","250","12","600"
"1","25490","182","250","12","600"
"1","25740","183","250","12","600"
"1","25990","184","250","12","600"
"1","26240","185","250","12","600"
"1","26490","186","250","12","600"
"1","26740","187","250","12","600"
"1","26990","188","250","12","600"
"1","27240","189","250","12","600"
"1","27490","190","250","12","600"
"1","27740","191","250","13","600"
"1","27990","192","250","13","600"
"1","28240","193","250","13","600"
"1","28490","194","250","13","600"
"1","28740","195","250","13","600"
"1","28990","196","250","13","600"
"1","29240","197","250","13","600"
"1","29490","198","250","13","600"
"1","29740","199","250","13","600"
"1","29990","200","250","13","600"
"1","30240","201","250","14","600"
"1","30490","202","250","14","600"
"1","30740","203","250","14","600"
"1","30990","204","250","14","600"
"1","31240","205","250","14","600"
"1","31490","206","250","14","600"
"1","31740","207","250","14","600"
"1","31990","208","250","14","600"
"1","32240","209","250","14","600"
"1","32490","210","250","14","600"
"1","32740","211","250","15","680"
