9c716892401b44210933a504dc2fc4354d690454ae933bf977a11d79fa622483,7662e3d067549608b0cac8d2f143827a3b9694eb6c191d9a1c50e38df66024df,92d311ef1e7e6f61f199db9690ff34640881413483983e0dfc3c502e7dc1ffea,ddc3c4d58097a569d6137652c88f7646ad76a47727deb36f080fa4cb6c991b4e,a388874b12c735120b21959ba6a7f372332a3495ef22120fb6415b555940dad5,7c418477f372f7ba9e5f72bd2158f43f5004537ad1abf927d1ea4ecc817178ab
"1","1","10009106","1","10009101","0"
"1","2","10009112","1","10009101","0"
"1","3","10010110","1","10010101","0"
"2","4","1001901","1","10019101","0"
"1","5","10021112","1","10021101","0"
"1","6","10025109","1","10025101","0"
"3","7","5025001","2","10025","500810"
"1","8","20009106","1","20009101","0"
"1","9","20009112","1","20009101","0"
"1","10","20010110","1","20010101","0"
"3","12","5042001","2","10042","501001"
"2","13","2001501","1","20015101","0"
"3","14","5044001","2","10044","501031"
"1","15","20016112","1","20016101","0"
"3","16","5046002","2","10046","501103"
"1","17","10049109","1","10049101","0"
"1","19","10066112","1","10066101","0"
"3","20","5066005","2","10066","501291"
"3","21","5042001","2","10069","501001"
"3","22","5044001","2","10071","501031"
"3","23","5068001","2","10068","501341"
"3","24","5070004","2","10070","501353"
"3","25","5070005","2","10070","500016"
"3","26","5072004","2","10072","501364"
"3","27","5072006","2","10072","501365"
"3","28","5046002","2","10073","501103"
"3","29","5074001","2","10074","501383"
"1","30","10076112","1","10076101","0"
"3","31","5076005","2","10076","505036"
"3","32","5078004","2","10078","501451"
"3","33","5080005","2","10080","501463"
"1","34","10082105","1","10082101","0"
"1","35","10082108","1","10082102","0"
"1","36","10082111","1","10082103","0"
"3","37","5082002","2","10082","501160"
"3","38","5082004","2","10082","501031"
"3","39","5082005","2","10082","501483"
"3","40","5084001","2","10084","500368"
"3","41","5084002","2","10084","510306"
"3","42","5084003","2","10084","500039"
"3","43","5085002","2","10085","500368"
"3","44","5085003","2","10085","510203"
"3","45","5085004","2","10085","500272"
"3","46","5085005","2","10085","501501"
"3","47","5088005","2","10088","501810"
"3","50","5042001","2","20025","501001"
"3","51","5090002","2","10090","501541"
"3","55","5044001","2","20026","501031"
"1","56","10093112","1","10093101","0"
"3","57","5066005","2","10093","501291"
"3","58","5046002","2","20027","501103"
"3","59","5092001","2","10092","501031"
"3","60","5092004","2","10092","501551"
"3","61","5094001","2","10094","501593"
"3","62","5068001","2","10095","501341"
"3","67","5025001","2","20018","500810"
"3","68","5096002","2","10096","501613"
"3","73","5070004","2","10097","501353"
"3","74","5070005","2","10097","500016"
"3","75","5098000","2","10098","501031"
"1","76","10098104","1","10098101","0"
"1","77","10098111","1","10098102","0"
"3","78","5072004","2","10099","501364"
"3","79","5072006","2","10099","501365"
"3","80","5100003","2","10100","500837"
"3","82","5074001","2","10101","501383"
"3","83","5074001","2","10101","501383"
"3","84","5102002","2","10102","501873"
"1","85","10103112","1","10103101","0"
"3","86","5076005","2","10103","505036"
"3","88","5108002","2","10108","501911"
"3","89","5104003","2","10104","500133"
"3","90","5078004","2","10105","501451"
"3","93","5110005","2","10110","501931"
"3","94","5111005","2","10111","500013"
"3","95","5080005","2","10107","501463"
"1","96","10109105","1","10109101","0"
"1","97","10109108","1","10109102","0"
"1","98","10109111","1","10109103","0"
"3","99","5082002","2","10109","501160"
"3","100","5082004","2","10109","501031"
"3","101","5082005","2","10109","501483"
"3","103","5084001","2","10112","500368"
"3","104","5084002","2","10112","510306"
"3","105","5084003","2","10112","500039"
"3","106","5085002","2","10113","500368"
"3","107","5085003","2","10113","510203"
"3","108","5085004","2","10113","500272"
"3","109","5085005","2","10113","501501"
"2","110","1011001","1","10110101","0"
"1","111","20037112","1","20037101","0"
"3","112","5066005","2","20037","501291"
"3","113","5088005","2","10115","501810"
"3","114","5114000","2","10114","500016"
"3","115","5114003","2","10114","501952"
"3","116","5068001","2","20038","501341"
"3","117","5090002","2","10117","501541"
"3","121","5070004","2","20039","501353"
"3","122","5070005","2","20039","500016"
"3","123","5116004","2","10116","500837"
"3","124","5092001","2","10119","501031"
"3","125","5092004","2","10119","501551"
"3","126","5118002","2","10118","500133"
"3","127","5118003","2","10118","500810"
"3","128","5118007","2","10118","500133"
"3","129","5072004","2","20040","501364"
"3","130","5072006","2","20040","501365"
"3","132","5124003","2","10124","501614"
"3","133","5074001","2","20041","501383"
"3","135","5094001","2","10121","501593"
"3","136","5122000","2","10122","502003"
"3","137","5122002","2","10122","502015"
"3","138","5096002","2","10123","501613"
"3","139","5076005","2","20042","505036"
"3","140","5078004","2","20043","501451"
"3","141","5098000","2","10125","501031"
"3","143","5100003","2","10127","500837"
"3","144","5080005","2","20044","501463"
"3","145","5128001","2","10128","502063"
"3","146","5102002","2","10129","501873"
"1","147","20045105","1","20045101","0"
"1","148","20045108","1","20045102","0"
"1","149","20045111","1","20045103","0"
"3","150","5082002","2","20045","501160"
"3","151","5082004","2","20045","501031"
"3","152","5082005","2","20045","501483"
"3","153","5084001","2","20046","500368"
"3","154","5084002","2","20046","510306"
"3","155","5084003","2","20046","500039"
"3","156","5085002","2","20047","500368"
"3","157","5085003","2","20047","510203"
"3","158","5085004","2","20047","500272"
"3","159","5085005","2","20047","501501"
"3","160","5130001","2","10130","500016"
"3","161","5130007","2","10130","500133"
"3","162","5104003","2","10131","500133"
"3","163","5136002","2","10136","500143"
"3","164","5136004","2","10136","500175"
"3","165","5137002","2","10137","501622"
"3","166","5137005","2","10137","500133"
"3","167","5088005","2","20048","501810"
"3","168","5134007","2","10134","500553"
"3","169","5108002","2","10135","501911"
"3","170","5110005","2","10138","501931"
"3","171","5111005","2","10139","500013"
"3","172","5090002","2","20049","501541"
"2","173","1013801","1","10138101","0"
"3","174","5114000","2","10141","500016"
"3","175","5114003","2","10141","501952"
"3","180","5140002","2","10140","502224"
"3","181","5092001","2","20050","501031"
"3","182","5092004","2","20050","501551"
"3","183","5142001","2","10142","501683"
"3","184","5116004","2","10143","500837"
"3","185","5118002","2","10145","500133"
"3","186","5118003","2","10145","500810"
"3","187","5118007","2","10145","500133"
"3","188","5094001","2","20051","501593"
"3","189","5096002","2","20052","501613"
"3","1014601","5146001","2","10146","502283"
"3","1014901","5122000","2","10149","502003"
"3","1014902","5122002","2","10149","502015"
"3","1015101","5124003","2","10151","501614"
"3","1015401","5154007","2","10154","502373"
"3","1015601","5156001","2","10156","502074"
"3","1015602","5156002","2","10156","502394"
"3","1015701","5128001","2","10157","502063"
"3","1015801","5158003","2","10158","500880"
"3","1015901","5130001","2","10159","500016"
"3","1015902","5130007","2","10159","500133"
"3","1016301","5134007","2","10163","500553"
"3","2005301","5098000","2","20053","501031"
"3","2005401","5100003","2","20054","500837"
"3","2005501","5102002","2","20055","501873"
"3","2005601","5104003","2","20056","500133"
"3","2005801","5108002","2","20058","501911"
"3","2005901","5110005","2","20059","501931"
"3","2006001","5111005","2","20060","500013"
"3","2006101","5114000","2","20061","500016"
"3","2006102","5114003","2","20061","501952"
