0521967edac95a775657fef1e639ba6895b15ee7f168aec986d552a949f48959,349f6a7dfe9a9780e66d71b367d6fcd48f36354985ed193dd883e1254e0cc1ca,bb020e218d16bbbc7f0de60e97ad9186808f5ce18028a0abc54a64dea5654f9d,96fb3d5e5b768587582a3656f2d938fa74cbdc16b97e63718fbe0ea803dee29a,51d56ee173d29279aed235ed73bc210e5eef04d61b6c14153f644074cc1ff814,16af617a573e65416913fd147abdabcfdbd2ca84444eaa762aae041efb4c4482,534f6c95b135992d971ee2a0ed15a0fa7918d7f156c1e8a1af8c2561b7862944,df5b9ea1f2f97e89ce951ba100dc0e26a7219e1eb69d2e11eb0b70ca202c6bf8,50a44a000ee5fc161523cf721da4ab7a26fd4dfb1de8e3f741805f121035c043,804c7814abc9822f910fb1c50f928a3d133fb1bdbd73f8a225078efdc6f8114f,8bd04badae69169723f79df704d74690ecb1a768f1078e1af24600cdd4a3ccbb,f48a41fc568bf8eccb611ba8a75a186b5d9c3c2ae82bae1966faf2d4f21e8071
"28","333","0","0.05","0","32","1","0","0","36","0.025","0"
"27","324","0","0.05","0","31","2","0","0","35","0.025","0"
"26","315","0","0.05","0","30","3","0","0","34","0.025","0"
"25","306","0","0.05","0","29","4","0","0","33","0.025","0"
"24","297","0","0.05","0","28","5","0","0","32","0.025","0"
"23","288","0","0.05","0","27","6","0","0","31","0.025","0"
"22","279","0","0.05","0","26","7","0","0","30","0.025","0"
"21","270","0","0.05","0","25","8","0","0","29","0.025","0"
"20","261","0","0.05","0","24","9","0","0","28","0.025","0"
"19","252","0","0.05","0","23","10","0","0","27","0.025","0"
"18","243","0","0.05","0","22","11","0","0","26","0.025","0"
"17","234","0","0.05","0","21","12","0","0","25","0.025","0"
"16","225","0","0.05","0","20","13","0","0","24","0.025","0"
"15","216","0","0.05","0","19","14","0","0","23","0.025","0"
"14","207","0","0.05","0","18","15","0","0","22","0.025","0"
"13","198","0","0.05","0","17","16","0","0","21","0.025","0"
"12","189","0","0.05","0","16","17","0","0","20","0.025","0"
"11","180","0","0.05","0","15","18","0","0","19","0.025","0"
"10","171","0","0.05","0","14","19","0","0","18","0.025","0"
"9","161","0","0.05","0","13","20","0","0","17","0.025","0"
"8","152","0","0.05","0","12","21","0","0","16","0.025","0"
"7","143","0","0.05","0","11","22","0","0","15","0.025","0"
"6","134","0","0.05","0","10","23","0","0","14","0.025","0"
"5","125","0","0.05","0","9","24","0","0","13","0.025","0"
"4","116","0","0.05","0","8","25","0","0","12","0.025","0"
"3","107","0","0.05","0","7","26","0","0","11","0.025","0"
"2","101","0","0.05","0","6","27","0","0","10","0.025","0"
"0","1","0","0","0","0","28","0","0","0","0","0"
