35ab64e6680759d3bf2a8ff7c3f35aea229425039bfc0d7694383b8e2ead5d01,51d9ae679234956518eacb79722381ee7676df8cb16109266600675b31b1604a,c86a5744b7988cc84d41cae6cb18cf50d7aca561ac4fa093a803387547b963f2,0354130f0ad0b6e9eaa763d446234a20c101a99eec28ef4861fc756c989d55d4
"1","22","53001","1"
"2","21","99007","500"
"3","21","99008","1"
"4","21","99007","800"
"5","21","99007","2000"
"6","21","99007","1000"
"7","22","53001","2"
"8","21","99008","2"
"9","21","99008","3"
"10","22","53002","1"
"11","22","53001","3"
"12","22","53002","3"
