bff434a6131e9405668ca3ac3bff33fa2003708d07fea6e332840d9c26d07ec0,4fa282a1addcb1fcde0ba6d05125b8932ad7e8257a93f3c682eb2af9f34e6fab,b7c79f84ac9ea5744c7a3095d2b278b5efd7dc455b10aad819b852bf9c3b734c,a2900b6f11f2d12aa516f4467543dfe1f8fa6195421a309e64ce8b52988f0f52,eedb8f1933fc3676f6f4e3c277b734eb97ce29d16dd099c0da364cf6bbee6de4,0f1470ff4544b52239b4ee2a0a982eb421ce68bd78a47902b3e33c5d2ddf39ba,2f55a63384d0cf70ed445db986ca36ebe31cf4d9dbc7107fa377699c316bfe7b,0bb419ad2ac7eab6a86bb2394a96bb7aafe4b2ff7d25bb87185e42bc32e9d5c6,771d05abb3a10175e72ec675dac23a7c54ad4cf49cb631f0a25fe1296589427e,33bb3b845aee907804e8a165c8e02b5564f3131c33e185bbee5d067f1349f101
"0","1","1","1","3","10000","獲得20個零件","100","1","20"
"0","1","2","2","3","10001","獲得25個零件","100","1","25"
"0","1","2","3","3","10002","獲得30個零件","100","1","30"
"0","1","3","4","3","10003","獲得35個零件","100","1","35"
"0","1","3","5","3","10004","獲得40個零件","100","1","40"
"0","1","4","6","3","10005","獲得45個零件","100","1","45"
"0","1","4","7","3","10006","獲得50個零件","100","1","50"
"0","2","3","101","2","20000","將總戰力提升至1500以上","101","1","1500"
"0","2","3","102","2","20001","將總戰力提升至2000以上","101","1","2000"
"0","2","3","103","2","20002","將總戰力提升至2500以上","101","1","2500"
"0","2","3","104","2","20003","將總戰力提升至3000以上","101","1","3000"
"0","2","3","105","2","20004","將總戰力提升至3500以上","101","1","3500"
"0","2","4","106","2","20005","將總戰力提升至4000以上","101","1","4000"
"0","2","4","107","2","20006","將總戰力提升至4500以上","101","1","4500"
"0","2","4","108","2","20007","將總戰力提升至5000以上","101","1","5000"
"0","2","4","109","2","20008","將總戰力提升至6000以上","101","1","6000"
"0","2","4","110","2","20009","將總戰力提升至7000以上","101","1","7000"
"0","2","5","111","2","20010","將總戰力提升至8000以上","101","1","8000"
"0","2","5","112","2","20011","將總戰力提升至9000以上","101","1","9000"
"0","2","5","600","2","20012","將總戰力提升至10000以上","101","1","10000"
"0","3","2","201","4","30000","累積獲得100pt戰鬥點數","200","2","100"
"0","3","2","202","4","30001","累積獲得200pt戰鬥點數","200","2","200"
"0","3","2","203","4","30002","累積獲得300pt戰鬥點數","200","2","300"
"0","3","2","204","4","30003","累積獲得400pt戰鬥點數","200","2","400"
"0","3","2","205","4","30004","累積獲得500pt戰鬥點數","200","2","500"
"0","3","3","206","4","30005","累積獲得600pt戰鬥點數","200","2","600"
"0","3","3","207","4","30006","累積獲得700pt戰鬥點數","200","2","700"
"0","3","3","208","4","30007","累積獲得800pt戰鬥點數","200","2","800"
"0","3","3","209","4","30008","累積獲得900pt戰鬥點數","200","2","900"
"0","3","3","210","4","30009","累積獲得1000pt戰鬥點數","200","2","1000"
"0","5","7","401","1","50000","從布武機那邊獲得5個零件","400","4","5"
"0","5","7","402","1","50001","從布武機那邊獲得10個零件","400","4","10"
"0","5","7","403","1","50002","從布武機那邊獲得15個零件","400","4","15"
"0","5","7","404","1","50003","從布武機那邊獲得20個零件","400","4","20"
"0","5","7","405","1","50004","從布武機那邊獲得25個零件","400","4","25"
"0","5","7","406","1","50005","從布武機那邊獲得30個零件","400","4","30"
"0","5","7","407","1","50006","從布武機那邊獲得35個零件","400","4","35"
"0","5","7","408","1","50007","從布武機那邊獲得40個零件","400","4","40"
"0","5","7","409","1","50008","從布武機那邊獲得45個零件","400","4","45"
"0","5","6","700","1","50009","從布武機那邊獲得50個零件","400","4","50"
"30009","6","7","999","4","60000","累積獲得800pt戰鬥點數（可以不限次數達成）","209","2","800"
"0","7","6","799","3","70000","通過關卡14","300","3","14"
"0","7","8","800","3","70001","通過關卡50","301","3","50"
