b2069d2917372f4912840d575cfafd1222c91378936c316176f54991ea00cdf6,0babdff20a66db6eb6e99a8caee2f68797092bc8bb1816962f7046c119c20967,45cfd6c62894fe4c0504a5ce4345c99c14bbef4113fbb0fc6be7cf75ef453900,a6b4bb5cd9beedbc063ac3c7f9bd2293118afc1a111b8e92c1b225446d776ebf,787a6683e5b01c65ec1fb22f102551ec79eeba803d7f4fc7d02ce94954c982be,114b146b9767ff38deb399c7e32254e2970fb31aeffd8a16424ac45ef9c210b4,b4d3bd1064e5ebda05595dcda5073b33e051b8c222f002ef1163bcb408bb36ee,b7d32b18dd067415e8da1212afc19f1a2fa6b344646a37fe0ab64afba343c1e4,6dc6aa4f5df5e809e744854ecd172526d42a90b0e9280694ebe290fa12877094,5f49f9089bb9ff2fc1035f57235c154e662d2b02b9cb363b3f73061811145121,40e4b218d6ea4696504d5003b06afcda14be42a91944a4e3f261ffc19755ca61,96acb87a04d06ec3c159da6ae4c0af27e7efad536e2d4fcfa3f0ece0f779df96,89f875909cf786bf9f930ff4e5dceaee0737857177d5853ab0802967e1e1aa64,90f4715e2e0aada068b72c6ccc33ff2db24eb6b34bde8545e41199b9423ad557,440a39130a9c4fb8cc5a6f4d381c73e532cf1378033ebb4bd977bb9ee1221802,8f471c44e82ffe26ce57bcb3d30e471f9654209b81fad68b46567b8508ee9510,60c7c54ac422b893adc97d34cfe0967f410a28fc72631d1b9eda8ce4f7622d2e,ceac99ace7d823ded739fd1aa365ca26c1c5f0f2aa5d94e1df44d13700d44357,cbe561d8008b11d14acf8654c48caa42281838cfb7f392545a56229b9a510b55,88e6b3ee63f4b15554eceb15cb80b88ac2e690fb7f4f50938efe81aa4e865d73,a172e728a34d8d8528c2005b634114d3b9e1ad8e34c381370e19141f409b435c,413bb8fdffc2cd4b7d9faaaf2abe7aff302ee1f4246696a2b6958cdb55f4230f,5cb14495d2596a16ac7d8a49023d1b0aeefd3502295f319f0184278076d2dea8,8d8602d14491260336c4c774ca80c9309f8a638efa779c59120dcc171219e011,4659b946fe4f4f193e943de6e995af6c721fff631e0b8ed9b78ede1ce907e30f,2c3e00f945979270950aeda14a7d762a7743d90fd8a88751ed2b94e1ed332356,12175aa1298ab94f769709766146830734a403e1120cef11e1c291ac47a0dc55,58f986e5126f702c73c887d1af272d3d44ee4c8c7d212fb2814d49f2969bde87,ea3be65ff6e4e5049f743756569d9d1416526f3f268121d14cab7f4f509c161d,763135d259fe0a5f727ab91682709dde9c1ea2722ad3d98f952d1082fafb8384,b300d1621d3ae09b6a058e277ddbba5b00943d2da228e07165760647564b682b,9c6c6e6d62925d10b0d8c8a819ae0b4cb3e38414121a21820f8e0fe010032c5d,4958a0a3da0bd85092d1f0303fa86f3762427df33cee5805ce44000d9acf6304,d7bea6da004041ae500068e24794b75a303e3e863eb2637713413399c5fff27c
"200010","1.5","bgm_M47","0","-76","0.6","1","BOSS戰(NORMAL)","-50","0","1","0","81000105","0","0","bgm_M47","1","270","340","796","660001001","1","20001","-40","0","650001011","90","81000105","770","2000101","0","20001101","1","0"
"200010","1.5","bgm_M47","0","-180","0.6","1","BOSS戰(HARD)","-50","0","1","0","81000106","0","0","bgm_M47","2","270","341","70","660001002","1","20001","-210","0","650001021","90","81000106","60","2000102","0","20001201","1","0"
"200010","1.5","bgm_M47","0","10","0.6","1","Boss戰(VERYHARD)","-50","0","1","0","81000106","0","0","bgm_M47","3","270","344","520","660001003","1","20001","-40","0","650001031","90","81000106","470","2000103","0","20001201","1","0"
"510021","1.3","bgm_M102","0","20","0.6","1","BOSS戰(NORMAL)","0","0","1","0","81000205","0","0","bgm_M102","1","40","5002301","850","660002001","1","20002","-30","0","650002011","90","81000205","750","2000201","0","20002101","1","0"
"510022","1.3","bgm_M102","0","125","0.6","1","BOSS戰(HARD)","0","0","1","0","81000207","0","0","bgm_M102","2","40","5002302","-250","660002002","1","20002","20","0","650002021","90","81000207","140","2000202","0","20002201","1","0"
"510022","1.3","bgm_M102","0","10","0.6","1","Boss戰(VERYHARD)","0","0","1","0","81000207","0","0","bgm_M102","3","40","344","500","660002003","1","20002","-40","345","650002031","90","81000207","450","2000203","0","20002201","1","0"
"510031","1.1","bgm_M109","0","10","0.6","1","BOSS戰(NORMAL)","30","0","1","0","81000305","0","0","bgm_M109","1","20","5003302","830","660003001","1","20003","-40","0","650003011","90","81000305","730","2000301","0","20003101","1","0"
"510032","1.1","bgm_M109","0","90","0.6","1","BOSS戰(HARD)","30","0","1","0","81000306","0","0","bgm_M109","2","20","5003301","210","660003002","1","20003","20","0","650003021","90","81000306","180","2000302","0","20003201","1","0"
"510032","1.1","bgm_M109","0","10","0.6","1","BOSS戰(VERY HARD)","30","0","1","0","81000306","0","0","bgm_M109","3","20","344","500","660003003","1","20003","-40","345","650003031","90","81000306","450","2000303","0","20003201","1","0"
"510041","1.1","bgm_M116","0","10","0.6","1","BOSS戰(NORMAL)","30","0","1","0","81000405","0","0","bgm_M116","1","20","5004301","870","660004001","1","20004","-40","0","650004011","90","81000405","770","2000401","0","20004101","1","0"
"510042","1.1","bgm_M116","0","10","0.6","1","BOSS戰(HARD)","30","0","1","0","81000406","0","0","bgm_M116","2","20","5004302","-30","660004002","1","20004","-40","0","650004021","90","81000406","450","2000402","0","20004201","1","0"
"510042","1.1","bgm_M116","0","-10","0.6","1","BOSS戰(VERY HARD)","30","0","1","0","81000406","0","0","bgm_M116","3","20","5004308","500","660004003","1","20004","-40","0","650004031","90","81000406","450","2000403","0","20004201","1","0"
"510051","1.3","bgm_M124","0","10","0.6","1","BOSS戰(NORMAL)","90","0","1","0","81000505","0","0","bgm_M124","1","90","5005301","870","660005001","1","20005","-40","0","650005011","90","81000505","770","2000501","0","20005101","1","0"
"510052","1.3","bgm_M124","0","-100","0.6","1","BOSS戰(HARD)","90","0","1","0","81000506","0","0","bgm_M124","2","90","5005302","380","660005002","1","20005","-40","0","650005021","90","81000506","450","2000502","0","20005201","1","0"
"510052","1.3","bgm_M124","0","58","0.6","1","Boss戰(VERYHARD)","90","0","1","0","81000506","0","0","bgm_M124","3","90","5005308","520","660005003","1","20005","-40","0","650005031","90","81000506","450","2000503","0","20005201","1","0"
"510061","1.5","bgm_M131","0","14","0.6","1","BOSS戰(NORMAL)","0","0","0.8","0","81000605","0","0","bgm_M131","1","120","5006301","888","660006001","1","20006","-40","0","650006011","90","81000605","770","2000601","0","20006101","1","0"
