3b6c1146fc5c7ffe0e6a3c7a5a5b3c593255059833fb84a9674e900dcdeb4f87,aa1f9767384eefb0e876ecbf06b84b01e04cf4041aa02d3dc46d1d76f1ddecc9,06f8166efe7b012a76b76c07e1af64a6bbf69f26fad3f6a829e572d4e612eeb2,95792b3d4da033ee9b95cfcb67045744b5ff15c3918d4fc227602e59a21fa9e6,fcdc41cc7258ae1f0ad5da313873177787ebff4e26559a623289f9825168286f
"0","1","0","1","1001"
"0","2","0","1","1002"
"0","3","0","1","1003"
"0","4","0","1","1004"
"0","1","0","2","2001"
"0","2","0","2","2002"
"0","3","0","2","2003"
"0","4","0","2","2004"
"1","1","0","2","2101"
"1","2","0","2","2102"
"1","3","0","2","2103"
"1","4","0","2","2104"
"2","11","10001","2","2111"
"2","12","10001","2","2112"
"2","13","10001","2","2113"
"0","1","0","3","3001"
"0","2","0","3","3002"
"0","3","0","3","3003"
"0","4","0","3","3004"
"0","1","0","4","4001"
"0","2","0","4","4002"
"0","3","0","4","4003"
"0","4","0","4","4004"
"0","100","0","4","4005"
"1","10101","0","5","5010"
"2","10201","1","5","5020"
"2","10202","2","5","5021"
"3","10301","0","5","5030"
"3","10301","1","5","5031"
"4","10302","0","5","5040"
"5","10303","0","5","5050"
"6","10304","0","5","5060"
"1","90001","0","6","6001"
"2","90001","0","6","6002"
"2","90001","1","6","6003"
"3","90001","0","6","6006"
"3","91101","1","6","6007"
"3","91201","2","6","6008"
"3","91301","3","6","6009"
"4","90001","0","6","6010"
"4","91101","1","6","6011"
"4","91201","2","6","6012"
"4","91301","3","6","6013"
"5","90001","0","6","6014"
"5","91101","1","6","6015"
"5","91201","2","6","6016"
"5","91301","3","6","6017"
"6","90001","0","6","6018"
"6","91101","1","6","6019"
"6","91201","2","6","6020"
"6","91301","3","6","6021"
"7","92001","0","6","6022"
"7","92101","1","6","6023"
"7","92201","2","6","6024"
"7","92301","3","6","6025"
"7","92401","4","6","6026"
"8","92001","0","6","6027"
"8","92101","1","6","6028"
"8","92201","2","6","6029"
"8","92301","3","6","6030"
"8","92401","4","6","6031"
"9","92001","0","6","6032"
"9","92101","1","6","6033"
"9","92201","2","6","6034"
"9","92301","3","6","6035"
"9","92401","4","6","6036"
"10","90001","0","6","6037"
"10","90101","1","6","6038"
"10","90201","2","6","6039"
"10","90301","3","6","6040"
"10","90401","4","6","6041"
"11","90001","0","6","6042"
"11","90101","1","6","6043"
"11","90201","2","6","6044"
"11","90301","3","6","6045"
"11","90401","4","6","6046"
"0","90002","0","7","7000"
"0","90002","1","7","7001"
"0","90003","2","7","7002"
"2","90002","1","7","7003"
"2","90003","2","7","7004"
"3","91102","1","7","7005"
"3","91103","2","7","7006"
"4","91102","1","7","7007"
"4","91103","2","7","7008"
"5","91102","1","7","7009"
"5","91103","2","7","7010"
"6","91102","1","7","7011"
"6","91103","2","7","7012"
"7","92102","1","7","7013"
"7","92103","2","7","7014"
"8","92102","1","7","7015"
"8","92103","2","7","7016"
"9","92102","1","7","7017"
"9","92103","2","7","7018"
"10","90102","1","7","7019"
"10","90103","2","7","7020"
"11","90102","1","7","7021"
"11","90103","2","7","7022"
"0","20101","0","9","9001"
"0","20201","0","10","10001"
"1","20202","0","10","10002"
"8","10501","0","101","10180"
"1","1","0","100","100001"
"2","1","0","100","100002"
"3","2","0","100","100003"
"4","2","0","100","100004"
"5","2","0","100","100005"
"6","2","0","100","100006"
"7","3","0","100","100007"
"8","3","0","100","100008"
"9","3","0","100","100009"
"10","1","0","100","100010"
"11","1","0","100","100011"
"98001","10301","0","101","980001"
"98001","10402","2","101","980002"
"98011","10401","1","101","980011"
"98012","10402","2","101","980012"
