386dbb12501c8d20373af5f08b44288e7678e607eb2a1521638aaf1f8c7a13cb,d7513e64077abd9d5432e91f92bee01acd472061a63653d46f863d74402dacc9,67627388f6c62d6dfd18fb9cc3a493f3e9c3278cbfe0159ee804c8ef1ffa673d,61372b500050bc1b6ac84d775b76db12b7bc0693e8dcc18ea89dcb9db22e2a9a,d1d75437e9ec5241fff096af657e27ed32b18f9ddc319a0f9840089706ebec51,9bfd08f0ca8d543a53147a55d6adb42d52d4da619a7ad18503648f4e6c9d74a8,36c3fe110f6d5e481d8ed3ef5adf89cbad79d7f937f6fcf133402c866a863cd9,116adbc281b311a2a55aeccb321e5939a9c131345732ae73b66465b9ef753a8e,1907d12670ab4b38346fac5be3a720d4d4c84f6a80efc8fd49568725b1319fda,2c10137b93919e1d53ac6dc27bfa95140cc4726a1b48be5bd4064628c4656d65,e19ef04f87b935fceffa513ba12a99e9e279335f8ebcb74e9900e3f7331b500e
"1","sjr_talk_idle","-194","1","122611","1.65","100","1001","1","40","1"
"1","","","122611","sjr_talk_wish_look","0.2","1","1002","","","3"
"1","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_001","","0","1003","","0","21"
"1","1","0","122611","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","0","10","1004","0","1","11"
"1","","","0","","","","1005","","","91"
"1","","","122611","sjr_talk_idle","0.2","1","1006","","","3"
"2","sjr_talk_idle","-194","1","122611","1.65","100","2001","1","40","1"
"2","","","122611","sjr_talk_mouth_hidden_shy","0.2","1","2002","","","3"
"2","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_002","","0","2003","","0","21"
"2","1","0","122611","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","0","5","2004","0","1","11"
"2","","","0","","","","2005","","","91"
"2","","","122611","sjr_talk_idle","0.2","1","2006","","","3"
"3","sjr_talk_idle","-194","1","122611","1.65","100","3001","1","40","1"
"3","","1","122611","sjr_talk_stepback_surprise_worry","0.2","0","3002","0","sjr_talk_stepback_worry","3"
"3","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_003","","0","3003","","0","21"
"3","1","0","122611","那個人的速度\n好像很快……！\n我贏得了嗎……？","0","7","3004","0","1","11"
"3","","","0","","","","3005","","","91"
"3","","","122611","sjr_talk_idle","0.2","1","3006","","","3"
"4","sjr_talk_idle","-194","1","122611","1.65","100","4001","1","40","1"
"4","","","122611","sjr_talk_thinking_surprise","0.2","1","4002","","","3"
"4","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_004","","0","4003","","0","21"
"4","1","0","122611","有很多奇特的\n路線呢。\n要選哪個呢……？","0","5","4004","0","1","11"
"4","","","0","","","","4005","","","91"
"4","","","122611","sjr_talk_idle","0.2","1","4006","","","3"
"5","sjr_talk_idle","-194","1","122611","1.65","100","5001","1","40","1"
"5","","1","122611","sjr_talk_guts2_anger","0.2","0","5002","0","sjr_talk_guts2_anger_loop","3"
"5","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_005","","0","5003","","0","21"
"5","1","0","122611","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","0","6","5004","0","1","11"
"5","","","0","","","","5005","","","91"
"5","","","122611","sjr_talk_idle","0.2","1","5006","","","3"
"6","sjr_talk_idle","-194","1","122511","1.65","100","6001","1","40","1"
"6","","1","122511","sjr_talk_arm_crossed_joy_look","0.2","0","6002","0","sjr_talk_arm_crossed_look_loop","3"
"6","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_006","","0","6003","","0","21"
"6","1","0","122511","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","0","5","6004","0","1","11"
"6","","","0","","","","6005","","","91"
"6","","","122511","sjr_talk_idle","0.2","1","6006","","","3"
"7","sjr_talk_idle","-194","1","122511","1.65","100","7001","1","40","1"
"7","","","122511","sjr_talk_mouth_hidden2_shy","0.2","1","7002","","","3"
"7","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_007","","0","7003","","0","21"
"7","1","0","122511","穿這樣跑\n好羞恥啊……\n別盯著我看……","0","4","7004","0","1","11"
"7","","","0","","","","7005","","","91"
"7","","","122511","sjr_talk_idle","0.2","1","7006","","","3"
"8","sjr_talk_idle","-194","1","122511","1.65","100","8001","1","40","1"
"8","","","122511","sjr_talk_mouth_hidden","0.2","1","8002","","","3"
"8","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_008","","0","8003","","0","21"
"8","1","0","122511","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","0","5","8004","0","1","11"
"8","","","0","","","","8005","","","91"
"8","","","122511","sjr_talk_idle","0.2","1","8006","","","3"
"9","sjr_talk_idle","-194","1","122511","1.65","100","9001","1","40","1"
"9","","","122511","sjr_talk_stepback_surprise","0.2","1","9002","","","3"
"9","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_009","","0","9003","","0","21"
"9","1","0","122511","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","0","5","9004","0","1","11"
"9","","","0","","","","9005","","","91"
"9","","","122511","sjr_talk_idle","0.2","1","9006","","","3"
"10","sjr_talk_idle","-194","1","122511","1.65","100","10001","1","40","1"
"10","","","122511","sjr_talk_thinking_blink","0.2","1","10002","","","3"
"10","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_010","","0","10003","","0","21"
"10","1","0","122511","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","0","4","10004","0","1","11"
"10","","","0","","","","10005","","","91"
"10","","","122511","sjr_talk_idle","0.2","1","10006","","","3"
"11","sjr_talk_idle","-194","1","122411","1.65","100","11001","1","40","1"
"11","","1","122411","sjr_talk_eieio","0.2","0","11002","0","sjr_talk_eieio_loop","3"
"11","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_011","","0","11003","","0","21"
"11","1","0","122411","暖身運動也很完美！\n我會第一個\n搶到的──！","0","5","11004","0","1","11"
"11","","","0","","","","11005","","","91"
"11","","","122411","sjr_talk_idle","0.2","1","11006","","","3"
"12","sjr_talk_idle","-194","1","122411","1.65","100","12001","1","40","1"
"12","","","122411","sjr_talk_arm_opened_wink","0.2","1","12002","","","3"
"12","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_012","","0","12003","","0","21"
"12","1","0","122411","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","0","6","12004","0","1","11"
"12","","","0","","","","12005","","","91"
"12","","","122411","sjr_talk_idle","0.2","1","12006","","","3"
