23fdc8f615e0f69b524fb188c1bfa69469a1368300daf56748438ab810363a8d,191649f1167acaae42cd2c6af26bbe9814611b1eba6f760592926e8940973528,69cf8560d36ea32fca21e4126d6aec3caa0a9f793243b419230c606489cbc421,21291d6ad8f47129936afca081d1f025546ad4908511b3c9c2008cdbd5368f75,1529fa826cb1ed4bc3835bb93167c835093105ad462e59701e4ac9878a37dd65,1273c0c956c3cc91e65fb095e21b9f87866886fb6817dde7dce0f1761cd61780,8fd0cda6b0c1d3161b3051cd75b71df7dfb365665d3d021150e5f1751b1d2b2a,94e0bad8d4e33148c37247d34ed2d4fdbfb4005afa875ab1537101117a223891,d93441d769ac9cb3c7cee35ca270e167280ac727cd64dc61270cf3dea7c082da,6e46b2e2384a6ff3d77541becb469a97e870a68470e946a94976cbd3fb1d6661,67141da813a038afb44f3196e4ad470c4e789d9471d045347117b0fb810d0f34
"","","","","","","星","","","","1015"
"","","","","","","愛","衣","","白","1019"
"綠","","","","","","","","","","1020"
"","","","","","","普","","","","1021"
"","","","","K","","","","","","1070"
"","","","","","","短","","","","1071"
"","","","","","","順","","","","1079"
"","","","","","","七八九","","","","1080"
"","","","","","","H","","","","1131"
"U","","","","","","","","","U","1196"
"","","","","","","","跆","","","1229"
"","","","","","","三五七","","","","1242"
"","","","一","","","二","","","","1244"
"","磚塊","","","","房","","","紅","","2002"
"笠","","","蓑","","","","","","","2011"
"五","","","","","","南","","","","2012"
"","","","三五八九","","","","","","","2024"
"E","","","","","","S","","","","2031"
"","","","AE","","","","","","","2032"
"A","","","","","","","","","R","2033"
"E","","","","","","","","","I","2034"
"UA","","","","","","","","","R","2036"
"E","","","Y","E","","","","","L","2037"
"E","","","I","V","","","","","L","2038"
"L","","","","","","","","","I","2040"
"","","","","","","","","","A","2041"
"","","","","","","Y","","","","2042"
"","","","","","","K","","","A","2043"
"","","","","","","","","","A","2045"
"","","","","","","Q","","","R","2046"
"A","","","","","","","","","R","2047"
"","","","","","","KQ","","","A","2048"
"B","","","","","","","","","","2049"
"U","","","T","","","","","","A","2050"
"EI","","","P","","","","","","C","2052"
"I","","","T","","","","","","A","2053"
"","E","O","S","","R","","P","W","","2054"
"","","","","","","","","","R","2055"
"V","","","","","","","","","","2056"
"","","","","","","","","","WU","2058"
"","","","","","","R","","","","2059"
"","","","","","","R","","","","2060"
"","","","","","","","","","S","2062"
"A","","","S","S","","","","","E","2063"
"","C","O","A","","E","","F","R","A","2064"
"A","","","S","","","","","","","2065"
"","","","","","","C","","","","2066"
"B","","","","","","","","","","2067"
"I","","","","","","L","","","","2068"
"","","","","","","C","","","E","2069"
"E","","","","D","","","","","","2070"
"A","","","I","N","","","","","","2071"
"","","","A","","","","","","C","2074"
"","","","A","","","","","","A","2077"
"L","","","","","","","","","R","2078"
"E","","","G","E","","O","","","MF","2080"
"","","","","","","F","","","","2081"
"","","","","","","","","無","","2084"
"P","","","H","E","","A","","","L","2085"
"","","","EO","","","AI","","","","2086"
"","","","","","","P","","","","2092"
"","","","","","","","","","C","2093"
"","","","","","","萬","","","","2096"
"華","","","華麗","","","","","","","2101"
"","","","","","","","","","e","2102"
"","","","l","e","","","","","","2149"
"","","","","","","聖","","","誕","2167"
"","","萊","","","","佛","布","","","2194"
"多","","","","","","","","加","耳","2200"
"","","莉","","游","","","艾","思","","2237"
"","","","","","","","","","a","2244"
"","","","","","","聖","","","誕","2278"
"","美","鏡","","","美","契","","華","","2279"
"","栞","","","","智","","","","","2280"
"","伊","空","","","緒","","","花","","2281"
"","嘉","祈","","","夜","希","","梨","","2282"
"","音","桃","","","","","胡","綾","","2284"
"","","","A","","","E","","","","2294"
"","","","B","","","","","","A","2297"
"A","","","Y","S","","","","","W","2301"
"O","","","S","T","","","","","M","2302"
"","","","","","","","","","A","2305"
"","","","I","L","","A","","","P","2309"
"","","","","","","","","","二","3003"
"","","","","","","","","","一三","3005"
"","","參","","","","","","","一二","3006"
"","","","","","","三十","","","","3008"
"","","","","","","","","衣","得","3012"
"","","","","","","冬","","","夜","3093"
"","","","","","","亞","","","","3106"
"i","","","","","","","","","h","3180"
