6a7afbf14ff6865a2671879cfcd14a1f8c716d36ae90d3fa5566b6ea4d0fb1bd,c691a5db16f53689cad82cda636a091d4fb41d2b9dae57656a1a30b7acc12fb5,b7293312a769d4dc5eefad4ab322a677bec351b8881132a5c6d141502b5bab2b,d5f615447ce00f105ee9f5aaf06a49d9f39933c91fec4ad6312606714ba23a64,d20645bdb4504f6a84783636401a90fd18c43fc17ce546ec55bb84eed6fc7ea1,a7c60c4cecea91807ce3c5fe359dcf7dc6659001915803e3cb93d5cb67b9f802,0f666fbe4a2e454e75071bbdd57b280846977b21c0e78f260bb44bc208b52730,96381da27d71462b24d44e5e3a547ecea20b62d9fe51c28c3e3a1f9ccecdba9f,379fcd9fafb24d5ea89d4aca6d8a7ab3775473a0863d630a6bef68f310a06565,7c3976ca57bd9d72902ce8e8dd745baca9aa165c5bf849a2fd7d8e04fa1e79d9,b2ef924d7f7293f1b8881e9471cb9eb73b770e3a502b3855d986c1028738855e,294ccb753a8010b21d0ac9eec43bb6a40c54ee9fed052ceb6821b48911019963
"5146061","10146","2024/10/01 16:00:00","8","106001","105801","20","91002","1","105901","大蜂蜜雲霄飛車1","1"
"5146062","10146","2024/10/02 16:00:00","8","0","100901","20","91002","1","0","大蜂蜜雲霄飛車2","1"
"5146063","10146","2024/10/04 16:00:00","8","0","106601","20","91002","1","0","大蜂蜜雲霄飛車3","1"
"5146064","10146","2024/10/02 16:00:00","8","0","105801","20","91002","2","131501","漂浮之花摩天輪1","1"
"5146065","10146","2024/10/04 16:00:00","8","0","130901","20","91002","2","131001","漂浮之花摩天輪2","1"
"5146066","10146","2024/10/03 16:00:00","8","0","104001","20","91002","2","0","漂浮之花摩天輪3","1"
"5146067","10146","2024/10/01 16:00:00","8","0","106501","20","91002","3","106601","莓果糖咖啡杯1","1"
"5146068","10146","2024/10/03 16:00:00","8","0","105801","20","91002","3","106001","莓果糖咖啡杯2","1"
"5146069","10146","2024/10/02 16:00:00","8","0","131301","20","91002","3","131401","莓果糖咖啡杯3","1"
"5146070","10146","2024/10/03 16:00:00","8","0","102101","20","91002","4","0","潛入3D世界1","1"
"5146071","10146","2024/10/01 16:00:00","8","0","130901","20","91002","4","0","潛入3D世界2","1"
"5146072","10146","2024/10/01 16:00:00","8","0","0","20","91002","0","0","表演者介紹：植物羊","2"
"5146073","10146","2024/10/01 16:00:00","8","0","0","20","91002","0","0","表演者介紹：啾二＆啾三","2"
"5146074","10146","2024/10/01 16:00:00","8","0","0","20","91002","0","0","表演者介紹：玩具王","2"
"5146075","10146","2024/10/01 16:00:00","8","0","0","20","91002","0","0","表演者介紹：招財貓","2"
"5146901","10146","2024/10/01 16:00:00","15","0","0","1","11001313","0","0","魔物遊行","3"
