8a7db9763926cf70af614b460f6e5134eb1d3677a1c3fef8a45d0f36b486e862,7228bb60e9f56b1c3252bc750d388c17bdcd6904c01b286d2eacb0022e237cf3,d5f29505d080894f4e24aabe14ffeb0acb447ffe04328a91db4186e32b42a630,c66c79b54d378204653d37a085f324f9bbeb92f33d83059f05de73ce366e41d9,b6b5e3096953cbc85ce8d512436e5838bc2bd540ef0c1aeaaca57a1f758bedc8,e1ba67ce0b132ebdd3d56211465a6e802120fd291062ed078f30291b1ed62244,517f516b699e1074004f4ea75f52ca04600b358fcf691eff77ad858f598f3611,2900223bc074713a959d0a1c6163f63d2bdf70d1d863c589c7ed256e38d894f8,790ae3f50a21757becd04ac174ff82c6feb0f8c4c24508cdf35fcccc8907b478,6b13c81a2557cdb2d6ef87fb14598b980ef2a593ea878c9c8692186a1a988a00,80a8d927154ffbb004fe41618784ead1536783e85065f929fca971d9f06c22f9
"1013","1","3","0","1","1","1","2","通關難度1以上1次","1","1"
"1013","2","5","0","1","2","2","2","通關難度2以上1次","2","1"
"1013","3","5","0","1","3","3","2","通關難度3以上1次","3","1"
"1013","4","5","0","1","4","4","2","通關難度4以上1次","4","1"
"1013","5","5","0","1","5","5","2","通關難度5 1次","5","1"
"1013","0","0","0","10","6","6","3","累積收集10個迷宮遺物","6","1"
"1013","0","0","0","50","7","7","3","累積收集50個迷宮遺物","7","1"
"1013","0","0","0","100","8","8","3","累積收集100個迷宮遺物","8","1"
"1013","0","0","0","10","9","9","4","累積邀請10名角色","9","1"
"1013","0","0","0","50","10","10","4","累積邀請50名角色","10","1"
"1013","0","0","0","100","11","11","4","累積邀請100名角色","11","1"
"1013","0","0","0","150","12","12","4","累積邀請150名角色","12","1"
"1013","0","0","0","1","13","13","5","以始源強化解放1個節點","13","1"
"1013","0","0","0","5","14","14","5","以始源強化解放5個節點","14","1"
"1013","0","0","0","10","15","15","5","以始源強化解放10個節點","15","1"
"1013","0","0","0","15","16","16","5","以始源強化解放15個節點","16","1"
"1013","0","0","0","20","17","17","5","以始源強化解放20個節點","17","1"
"1013","0","0","0","25","18","18","5","以始源強化解放25個節點","18","1"
"1013","0","0","0","30","19","19","5","以始源強化解放30個節點","19","1"
"1013","0","0","0","40","20","20","5","以始源強化解放40個節點","20","1"
"1013","2","5","0","3","21","21","2","通關難度2以上3次（不含掃蕩）","21","1"
"1013","2","5","0","5","22","22","2","通關難度2以上5次（不含掃蕩）","22","1"
"1013","2","5","0","10","23","23","2","通關難度2以上10次（不含掃蕩）","23","1"
"1013","2","5","0","12","24","24","2","通關難度2以上12次（不含掃蕩）","24","1"
"1013","2","5","0","14","25","25","2","通關難度2以上14次（不含掃蕩）","25","1"
"1013","2","5","0","16","26","26","2","通關難度2以上16次（不含掃蕩）","26","1"
"1013","2","5","0","18","27","27","2","通關難度2以上18次（不含掃蕩）","27","1"
"1013","2","5","0","20","28","28","2","通關難度2以上20次（不含掃蕩）","28","1"
"1013","0","20","0","1","29","29","6","以累積邀請20名以上角色的狀態通關","29","1"
"1013","0","25","0","1","30","30","6","以累積邀請25名以上角色的狀態通關","30","1"
