f846b36c29ec01548b393e87cbd2257dae753c3e1351d3a2d4631a6b982702ab,114df293d667e1a290b3480f499ddfbce1eb963786fafd7e579c1cd39583a2f1,1432e457e72fa8f92644919a9a54ed9d8151348ffd1d7ab8b00bb1cfdc128b7b,c40f01bd40d23811f189b7f37df5486586577dcdf56b48209d24b26599b43a3b,bb855ca640379480e89ec6c493c78fc9a459a96bfa423317260964f87bb3de69,8e4982951d9d504c5190397fdcb14f0f5089e98863b69809cff6aa3f85368a68,2435dcfa059e27b1d1594a2e84cd65c50384d8aa2ce22d9bfcb6beeb4d1ac5ad,e243b000cde748c1a531d8a6a890caab8bdbf35713c7aec8c7f8b0ed87e10e37,8a2d9d264a81c7c62bfcb597f47a69ecf88eacd6c8eea0bf225e68b7bc612e30,3341b9859546e766f440dff1d08ecd5e83e20796694ed456c4b7ece08dda11ea,4f20356361377ae5651a6e2e754320d4e4e26f3bd9fc393419d034f2e7fe4704
"ttk_idle_def","102611","1","1010001","1","-120","1","5","100","1","1000"
"","2","1","1010002","1","1","","31","0","2","0"
"","1","1","1010003","1","1","","31","-120","1","-80"
"","","1","1010004","","","","93","","1",""
"","vo_minigame_1005_top_000","1","1010005","","","","21","0","vo_minigame_1005","0"
"","ttk_doya","1","1010006","0.3","1","0.3","3","ttk_idle_doya","102611","0"
"","我會把大家\n交代的工作做好的","1","1010007","0","","0","11","","102611","8"
"","","1","1010008","","","","91","","0",""
"ttk_idle_def","102611","2","1020001","1","-120","1","5","100","1","1000"
"","2","2","1020002","1","1","","31","0","2","0"
"","1","2","1020003","1","1","","31","-120","1","-80"
"","","2","1020004","","","","93","","1",""
"","vo_minigame_1005_top_001","2","1020005","","","","21","0","vo_minigame_1005","0"
"","ttk_idle_smile","2","1020006","0.3","1","0.3","3","ttk_idle_def","102611","0"
"","我會讓你後悔\n出現在\n我面前的","2","1020007","0","","0","11","","102611","8"
"","","2","1020008","","","","91","","0",""
"ttk_idle_def","102611","3","1030001","1","-120","1","5","100","1","1000"
"","2","3","1030002","1","1","","31","0","2","0"
"","1","3","1030003","1","1","","31","-120","1","-80"
"","","3","1030004","","","","93","","1",""
"","vo_minigame_1005_top_002","3","1030005","","","","21","0","vo_minigame_1005","0"
"","ttk_joy","3","1030006","0.1","1","0.3","3","ttk_idle_joy","102611","0"
"","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","3","1030007","0","","0","11","","102611","8"
"","","3","1030008","","","","93","","2.2",""
"","ttk_talk_sad","3","1030009","0.3","","0.3","3","","102611","1"
"","","3","1030010","","","","93","","3",""
"","ttk_idle_def","3","1030011","0.3","","0.3","3","","102611","1"
"","","3","1030012","","","","91","","0",""
"ttk_idle_def","102611","4","1040001","1","-120","1","5","100","1","1000"
"","2","4","1040002","1","1","","31","0","2","0"
"","1","4","1040003","1","1","","31","-120","1","-80"
"","","4","1040004","","","","93","","1",""
"","vo_minigame_1005_top_003","4","1040005","","","","21","0","vo_minigame_1005","0"
"","ttk_shock","4","1040006","0.3","1","0.3","3","ttk_idle_shock","102611","0"
"","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","4","1040007","0","","0","11","","102611","8"
"","","4","1040008","","","","93","","5",""
"","ttk_idle_def","4","1040009","0.3","","0.3","3","","102611","1"
"","","4","1040010","","","","93","","0.7",""
"ttk_idle_def","102611","5","1050001","1","-120","1","5","100","1","1000"
"","2","5","1050002","1","1","","31","0","2","0"
"","1","5","1050003","1","1","","31","-120","1","-80"
"","","5","1050004","","","","93","","1",""
"","vo_minigame_1005_top_004","5","1050005","","","","21","0","vo_minigame_1005","0"
"","ttk_surprise","5","1050006","0.3","","0.3","3","","102611","0"
"","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","5","1050007","0","","0","11","","102611","8"
"","","5","1050008","","","","93","","0.9",""
"","ttk_talk_anger","5","1050009","0.3","","0.3","3","","102611","1"
"","","5","1050010","","","","93","","0.8",""
"","ttk_sad","5","1050011","0.3","1","0.3","3","ttk_talk_sad","102611","0"
"","","5","1050012","","","","93","","5",""
"","ttk_idle_def","5","1050013","0.3","","0.3","3","","102611","1"
"","","5","1050014","","","","91","","0",""
"ttk_idle_def","102611","6","1060001","1","-120","1","5","100","1","1000"
"","2","6","1060002","1","1","","31","0","2","0"
"","1","6","1060003","1","1","","31","-120","1","-80"
"","","6","1060004","","","","93","","1",""
"","vo_minigame_1005_top_005","6","1060005","","","","21","0","vo_minigame_1005","0"
"","ttk_idle_worry","6","1060006","0.3","","0.3","3","","102611","1"
"","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","6","1060007","0","","0","11","","102611","8"
"","","6","1060008","","","","93","","7",""
"","ttk_amz","6","1060009","0.3","1","0.3","3","ttk_idle_def","102611","0"
"","","6","1060010","","","","91","","0",""
