d30fa6f752a570b3229707a43859fbca5624e078232ae1050d0e1a26e2e5476c,d23ab0223d3092a66b0981a2b6f62d664aa2dcf2708370268e49ba938936a5f3,9afbd4737839ec9ac5faaf832c78fcd49ff299d40d69bbc3d544fcc69cb8fb8e,15c7986581d49641492cc8af9d63389bbee51166c7a03c092bb58c9d328505fc,bcfbfaaab08f6f7b8ff23b755e3195bf2afa209ba8edd2f086c24434bf178c19,df8efaa7e8d3c54d85a85bf668638eda11b6f0e700597c5a64c0b1b37bdc19f5,e42303843d989413e8d9ec0d320fd60605400da9f7becfffc8585c6eb717f2ad,298469a20a2eb4934aeccab6b5615690dbbbbbea003af34dc84d6c75dfccb688,0e7e955da3463b1667629e1730071af56da6afa7dd2d0a29619a95897c9a3566,665663257c94e6c4d41863725ee85d1502ccb733d3334bab7bd6f5c72a99d38b
"10001","0","0","0","0","0","0","0","2018/01/01 15:00:00","2019/08/01 15:59:59"
"10002","1001","1001","1001","1","1","0","0","2019/08/01 16:00:00","2020/02/14 15:59:59"
"10003","0","1001","0","1","1","0","0","2020/02/14 16:00:00","2020/08/03 15:59:59"
"10004","1002","1001","1002","1","1","1002","0","2020/08/03 16:00:00","2020/08/31 23:59:59"
"10005","1002","1002","1002","2","2","1002","2015009","2020/08/03 16:00:00","2020/08/31 23:59:59"
"10006","0","1001","0","1","1","0","0","2020/09/01","2021/02/09 04:59:59"
"10007","0","1002","0","2","2","0","2015009","2020/09/01","2021/02/09 04:59:59"
"10008","0","1001","0","1","1","1003","0","2021/02/09 05:00:00","2021/02/26 04:59:59"
"10009","0","1002","0","2","2","1003","2015009","2021/02/09 05:00:00","2021/02/26 04:59:59"
"10010","0","1001","0","1","1","0","0","2021/02/26 04:59:59","2021/08/01 04:59:59"
"10011","0","1002","0","2","2","0","2015009","2021/02/26 04:59:59","2021/08/01 04:59:59"
"10012","1003","1001","1003","1","1","1004","0","2021/08/01 05:00:00","2021/08/31 23:59:59"
"10013","1003","1002","1003","2","2","1004","2015009","2021/08/01 05:00:00","2021/08/31 23:59:59"
"10014","0","1001","0","1","1","0","0","2021/09/01","2023/08/01 04:59:59"
"10015","0","1002","0","2","2","0","2015009","2021/09/01","2023/08/01 04:59:59"
"10028","1005","1001","1005","1","1","1008","0","2023/08/01 05:00:00","2023/08/31 23:59:59"
"10029","1005","1002","1005","2","2","1008","2015009","2023/08/01 05:00:00","2023/08/31 23:59:59"
"10030","0","1001","0","1","1","0","0","2023/09/01","2030/08/15 14:59:59"
"10031","0","1002","0","2","2","0","2015009","2023/09/01","2030/08/15 14:59:59"
