0ab027567f9510f3a33ebdb90194cf1a91eddbe73948dc615ab6c714e9d80749,3b7379a6e496f4e9efb9f36fb42a6a65a9d221be25bfd9e67697091f3fb02d7f,78aa7def9c05283bfef6e91773220aa055036ac7070ecf98b875a896cd7638fc,b09577bfd9cef876c87944bc6552c3d7c084851f67883f3b1d79e2d2ca1e2975,3af7751cf318675258ccf1a3714303f5fe5c4a13511d5635ffb936699984ff81,741c2350c8d60c3346b939a5ed5cb0ad403d4c085e982d72b01e7a79758fb237,5cbcfd2fb76f54e85313355a34b25b937a11964805d2a2879467ce8aa444c6e5,c79a7fbb178dd31f261d86fe685a6e3db699b95f989f5aa188af745878f295c7,520c59ee112ee50e4bf826c201feb3f7a9f833154c02ee59a0e02644b7ddab87,3012119291bbcea19998cb6de4e36b6836df6bc1ffeaa7d2117100d942a75756,727f59e1db3ee15d7267bb187af96aa87d64a4f6b73107d711a2301a11d66b76
"5128071","10128","只有兩人的元旦日出","2","10128107","0","0","8","91002","25","0"
"5128072","10128","新家的必備條件","2","0","5128071","0","8","91002","25","0"
"5128073","10128","其實比誰都還要","2","0","5128072","0","8","91002","25","0"
"5128074","10128","想要一家人\n一起珍惜的事","2","0","5128073","0","8","91002","25","0"
"5128075","10128","誓約的諾言","2","0","5128074","0","8","91002","50","0"
"5128081","10128","染血的訂婚通知","3","10128107","0","0","8","91002","25","0"
"5128082","10128","漂泊之人的尋家路","3","0","5128081","0","8","91002","25","0"
"5128083","10128","珍愛時光","3","0","5128082","0","8","91002","25","0"
"5128084","10128","東國的\n家族文化","3","0","5128083","0","8","91002","25","0"
"5128085","10128","傳達真誠的愛","3","0","5128084","0","8","91002","50","0"
"5128091","10128","口頭約定是禍端","4","0","5128075","5128085","0","0","0","0"
"5128092","10128","不容退讓的家庭味道","4","0","5128091","0","0","0","0","11001271"
"5128161","10128","夢境說書人的邀請","1","10128107","0","0","0","0","0","0"
