bb351b8b08284e2da7b9cffe8a9df6e48dc84fbdb5d0ebb1e8727406b658f2bc,57a99c3094f7adc4a38901d2b443e2dbeb713ca8cf4ab8d5a5b77903fa962541,6b2f1685d43312bbf68fa6bf0f69dd022133f673a432c4036e65d71b1227c5eb,2f024d6b2bd4f9802ec80ce78400db567982e5031e3e3ac709f795e07f38c5ec,bb3562171c48eafb88e4c4d1967a54a377a087d02f976751283a59bbf8cf634c,9de4cc2e360dfa6361c254f41aa84fd754251d56f52ef9e7734cae3ae11990d1,f99876dd41d034605d1c2461691d82f532ba6b5ebbf6459e90ef4d13779e5b6a,22a6a772da7032a9d9e945ffe3c588888a12b28e583cdcc8744d430aa15da1b6,ed63f6c592640a40c8417c44c8a493a6711ef4d5212a901522a61506a8fa46b6,2723fbe5fabc7fade7bd21d5902c26c64465cf7b0d63e4ace05e80cb837f4278,11d031cd14b65167c856e2ed4c72eaa18568e648d38b2da2257f2b3700b3eb64,314512f354575eb517c61ece6dcad2358e4d23fa5fabea5a0507d37d380036c8
"0","0","0","0","0","0","0","0","0","0","1","0"
"0","2","0","0","1","0","0","800","3","0","11002","1"
"0","1","0","0","1","0","0","500","1","0","12001","1"
"0","1","0","0","1","0","0","700","1","0","12002","1"
"0","2","0","0","1","0","0","600","1","0","13001","1"
"0","2","0","0","1","0","0","700","1","0","13002","1"
"0","2","0","0","1","0","0","600","1","0","14002","1"
"0","2","0","0","2","0","0","900","3","0","21001","1"
"0","0","0","0","8000","0","0","0","0","0","22001","2"
"0","1","0","1","5","0","0","1","99","0","23001","3"
"0","1","0","1","7","0","0","1","99","0","23002","3"
"0","4","0","1","0","0","0","3","0","0","25001","5"
"0","1","0","0","0","1","0","0","0","0","25002","5"
"0","4","0","1","1","0","0","3","0","0","25003","5"
"0","1","0","0","1","1","0","0","0","0","25004","5"
"0","0","0","0","76","40","0","37","0","0","26001","6"
"0","0","0","0","2","1","0","1","0","0","27001","7"
"0","0","0","0","3","1","0","1","0","0","27002","7"
"0","0","0","0","0","0","0","0","0","0","28001","8"
