421d492f603229af024ac68a51da3b83ecd14bd71aff138b75a8ed1a13dfe658,5d1a4e1c571037b12a9ba9819b297bfaecfb4749d2d350348eeb00dedff48a12,93d9c8ddbbac8aec701bb8609179aae24c050b19b47b59141e6ea3bbe88e1b73,d511019355ab3a393f9b73c3426d6a3caf78dcc57f548ef4ef5fa22621d9b745,007a749718921849da03869d26d132b5da2bceb1489dcfc2e3a1b7ade5791898,84924a53531b06740be2307f7e57c12496ca3f80f91aa0d96f5a5fc8482722c3,238105ae84a2d14f7837fda06921fdc1d8315a0c678bb2beb4029b848f82b530,82fc871bf0d067b7ad8e41e5c5d5512819299f9a6d73dc21dd4e781d5a8df701,404d208e6f5610a12aab9e6951bcaf9d9d6b22ef346250993cc0143d8b006369,fc792293c77801c9406ee5ddd2e9b1ef85ad9dc8d6a20afb0b577fa76c2a8966,6a87864b23d886441a407e0f8b0fcd3c571b68560e3132e2f31343f6ff651631,c4788c117a1a66f2fe4b372064d818e84d91a7ec8d0a50fd644ce04ce01c4204,d51e0b47ce1fc20205436ef9885437569f1e52008cb19296901fa568dee5be82,8a3b34cf33b2c38d86e1e9b592c94e320a1ab43cf36b6f313001cff02df45e16,e3a59c8d0a47a9f9602a63bfbf32abdd3f0259c2d676cef2fa1aa3f52bf8df41,36a68bbaf1efdfcf99548b936c8a9b70e9a59f40760f380a681c6d5058b5a42c,2235c56da14e8b95e060c3acda67bacb86244626611e2e4fde12cd5dcddb1325,dbe51c190e3e8352c8b2c53c3da38f942772e076851999ea2a5cf6c874714b42,8d7068cbf523a0014bd8cf14f46598bb0e4a21a833d08586f223f3491cea6c02
"0","0","1","5.5","610132007","5","3","289","","1","12","1","0","10132","3","610132501","-60","0","0"
"70","0","1","1.5","610132008","5","1","289","","1","0","2","0","10132","0","610132502","-60","0","0"
"0","0","1","1.5","610132009","5","1","289","","1","0","3","0","10132","0","0","-60","0","0"
"55","0","1","5.5","610134007","5","1","292","","1.85","0","1","0","10134","3","0","-50","0","0"
"0","0","1","1.5","610134008","5","3","292","","1.85","30","2","0","10134","0","610134502","-50","0","0"
"0","0","1","1.5","610134009","5","1","292","","1.85","0","3","0","10134","0","0","-50","0","0"
"0","0","1","5.5","610136007","5","2","295","","1.1","0","1","0","10136","3","610136501","0","600","0"
"84","0","1","1.5","610136008","5","1","295","","1.5","0","2","0","10136","0","0","-50","0","0"
"0","0","1","1.5","610136009","5","1","295","","1.5","0","3","0","10136","0","0","-50","0","0"
"75","0","1","5.5","610137007","5","1","295","","0.85","0","1","0","10137","0","0","0","0","0"
"50","0","1","1.5","610137008","5","1","295","","0.85","0","2","0","10137","0","0","0","0","0"
"0","0","1","1.5","610137009","5","1","295","","0.85","0","3","0","10137","0","0","0","0","0"
"77","0","1","5.5","610140007","5","1","298","","1.4","0","1","0","10140","3","0","0","0","0"
"52","0","1","1.5","610140008","5","1","298","","1.4","0","2","0","10140","0","0","0","0","0"
"0","0","1","1.5","610140009","5","1","298","","1.4","0","3","0","10140","0","0","0","0","0"
"76","0","1","5.5","610142007","5","1","301","","1.45","0","1","0","10142","3","0","-33","0","0"
"0","0","1","1.5","610142008","5","2","301","","1.23","0","2","0","10142","3","610142502","-40","600","0"
"0","0","1","1.5","610142009","5","1","301","","1.45","0","3","0","10142","0","0","-33","0","0"
"65","0","1","5.5","610144007","5","1","304","","1","0","1","0","10144","3","0","-33","0","0"
"0","0","1","1.5","610144008","5","2","304","","0.85","0","2","0","10144","3","610144502","-40","600","0"
"0","0","1","1.5","610144009","5","1","304","","1","0","3","0","10144","0","0","-33","0","0"
"0","0","1","5.5","610146007","5","2","307","","0.87","0","1","0","10146","3","610146501","-45","600","0"
"58","0","1","1.5","610146008","5","1","307","","1.18","0","2","0","10146","0","0","-45","0","0"
"0","0","1","1.5","610146009","5","1","307","","1.18","0","3","0","10146","0","0","-45","0","0"
"0","0","1","5.5","610148007","5","2","310","","1.4","0","1","0","10148","3","610148501","-50","600","0"
"68","0","1","1.5","610148008","5","1","310","","1.7","0","2","0","10148","0","0","-50","0","0"
"0","0","1","1.5","610148009","5","1","310","","1.7","0","3","0","10148","0","0","-50","0","0"
"71","0","1","5.5","610150007","5","1","313","","1.35","0","1","0","10150","3","0","-33","0","0"
