e9f614f2f654b78425978525bf2bd87924291a6823393c7060ea24526a57f0ee,dad6d95dfadd3afbb2d1a06a4e2cc5274630dff45022598d5a13b155d323171c,650f2a8f4a78af92cbd07bade3d99f233bcc27b1e6ecfb192ebb9ef002799abf
"2","1","1"
"1","2","2"
"3","3","3"
"2","4","4"
"2","5","5"
"2","6","6"
"2","7","7"
"2","8","8"
"2","9","9"
"2","10","10"
"2","11","11"
"2","12","12"
"1","13","13"
"1","14","14"
"1","15","15"
"1","16","16"
"1","17","17"
"1","18","18"
"2","19","19"
"4","20","20"
"2","21","21"
"2","22","22"
"5","23","23"
"5","24","24"
"5","25","25"
"6","26","26"
"6","27","27"
"6","28","28"
"7","29","29"
"8","30","30"
"8","31","31"
"9","32","32"
"9","33","33"
"10","34","34"
"10","35","35"
"11","36","36"
"11","37","37"
"12","38","38"
"12","39","39"
