f3ecbea1eba4ab46b455d3af0c9b2ad5e9c5d8e4e17ba0524eda169088dbab06,dba4cec30bf9f5b9788c46b99db7e99877725be05b8db4e80c34def6b4a0be29,61d88b55df442f9c5830068ee2af7c7f38b65a25363ae06a1aefacd6bbe685f1,4010f99cdab12ba79d9de5960984727d55ceff747600c9d4edc470f4e2815de9,f848cf4d6f1e7d93ede5bd5a13cc2230774cb531ffabc6b4e2be9bac745e6bc0,f702512e1e59796b44eac708bccd51330d1c0b67e141dfb48088710f5df7f771,93c53928773cf19e00d56427f0a072b9f5d7e9555a3cf8aaab655c6dfc8a7551,64b3e67e34b1db8bdae4a1b541e02987decc2a56b0d320c2e7f6b4db67539f2e
"1","-401","182","-90","1","170","71","1"
"2","-401","182","-90","1","170","81","2"
"3","-255","182","90","1","255","121","3"
"4","-255","182","90","1","255","131","4"
"5","-255","182","90","1","255","141","5"
"6","-107","176","-80","1","229","191","6"
"7","-107","176","-80","1","229","201","7"
"8","136","151","-85","1","218","271","8"
"9","136","151","-85","1","218","281","9"
"10","136","151","-85","1","218","291","10"
"11","280","219","80","1","156","331","11"
"12","280","219","80","1","156","341","12"
"13","280","219","80","1","156","351","13"
"14","417","183","-97","1","213","401","14"
"15","417","183","-97","1","213","411","15"
"2","-259","229","-73","2","242","451","1"
"4","-222","179","124","2","226","481","2"
"6","-101","192","-67","2","219","501","3"
"8","-26","190","-27","2","168","521","4"
"11","117","260","-50","2","192","551","5"
"14","241","138","120","2","159","601","6"
"14","241","138","120","2","159","611","7"
"14","243","229","-71","2","224","621","8"
"1","-353","43","32","3","71","781","1"
"2","-228","268","-30","3","235","801","2"
"3","-243","45","144","3","80","831","3"
"4","20","225","-76","3","221","851","4"
"5","230","222","-74","3","211","861","5"
"6","-100","136","44","3","115","891","6"
"7","-100","136","44","3","115","901","7"
"8","116","250","76","3","306","991","8"
"9","116","250","76","3","306","1001","9"
"10","116","250","76","3","306","1011","10"
"11","322","188","40","3","96","1041","11"
"12","322","188","40","3","96","1051","12"
"1","-211","272","-6","4","294","1091","1"
"2","-288","115","129","4","92","1101","2"
"3","-288","115","129","4","92","1111","3"
"4","-58","174","128","4","135","1121","4"
"5","143","184","133","4","222","1151","5"
"6","-277","98","-129","4","134","1161","6"
"7","-277","98","-129","4","134","1171","7"
"8","-60","70","-12","4","67","1211","8"
"9","-60","70","-12","4","67","1221","9"
"10","116","185","-55","4","132","1231","10"
"11","-17","89","-103","4","93","1261","11"
"12","-17","89","-103","4","93","1271","12"
"13","232","239","23","4","150","1311","13"
"1","-289","72","-161","5","114","1391","1"
"2","-289","72","-161","5","114","1401","2"
"3","-261","248","80","5","228","1411","3"
"4","-103","211","-91","5","223","1431","4"
"5","-87","181","95","5","186","1471","5"
"6","69","176","-122","5","132","1551","6"
"7","69","176","-122","5","132","1561","7"
"8","54","184","91","5","143","1611","8"
"9","204","247","45","5","211","1641","9"
"10","308","167","141","5","137","1651","10"
"11","282","174","-46","5","175","1661","11"
"1","-252","240","-11","6","222","1741","1"
"2","-19","245","-96","6","311","1761","2"
"3","-46","221","95","6","261","1771","3"
"4","152","237","83","6","166","1781","4"
"5","227","229","-100","6","183","1782","5"
"1","-249","183","-46","7","223","1811","1"
"2","-159","247","54","7","337","1881","2"
"3","30","191","-70","7","202","1921","3"
"4","173","215","0","7","176","1941","4"
"5","292","236","77","7","204","1981","5"
"1","-472","254","89","8","209","2001","1"
"2","-375","282","-77","8","250","2031","2"
"3","-280","223","110","8","241","2051","3"
"4","-148","270","-85","8","243","2101","4"
"5","3","264","74","8","274","2131","5"
"6","155","302","-36","8","321","2171","6"
"7","283","277","82","8","199","2201","7"
"8","374","344","0","8","349","2271","8"
"1","-275","301","-30","9","240","2321","1"
"2","-132","108","-115","9","106","2361","2"
"3","-132","108","-115","9","106","2371","3"
"4","-73","246","32","9","202","2381","4"
"5","-43","84","-140","9","114","2411","5"
"6","-43","84","-140","9","114","2421","6"
"8","50","84","65","9","86","2461","7"
"9","50","84","65","9","86","2471","8"
"10","80","137","-110","9","185","2481","9"
"11","80","137","-110","9","185","2491","10"
"7","131","377","24","9","301","2521","11"
"12","280","305","-50","9","190","2531","12"
"3","-527","145","-137","10","123","2601","1"
"4","-527","145","-137","10","123","2611","2"
"1","-379","295","35","10","408","2621","3"
"2","-299","192","103","10","171","2622","4"
"6","-138","244","-64","10","342","2623","5"
"5","-47","254","9","10","224","2701","6"
"8","131","204","-88","10","253","2781","7"
"9","89","139","23","10","110","2791","8"
"10","89","139","23","10","110","2801","9"
"7","275","249","42","10","292","2811","10"
"11","274","151","-120","10","126","2821","11"
"12","274","151","-120","10","126","2831","12"
"13","448","316","-17","10","276","2841","13"
"1","-292","203","-87","11","158","2901","1"
"2","-224","187","123","11","256","3011","2"
"3","-65","225","-80","11","144","3031","3"
"4","80","214","-84","11","149","3111","4"
"5","227","194","112","11","201","3131","5"
"6","159","111","-111","11","161","3141","6"
"7","159","111","-111","11","161","3151","7"
"8","307","209","-80","11","166","3171","8"
"3","-185","206","-106","12","364","3211","1"
"1","-304","277","34","12","160","3221","2"
"2","-107","275","45","12","249","3231","3"
"5","31","233","-46","12","167","3321","4"
"7","135","130","-122","12","174","3381","5"
"8","135","130","-122","12","174","3391","6"
"4","127","223","101","12","244","3431","7"
"6","254","246","-24","12","235","3441","8"
"9","303","156","-114","12","167","3461","9"
"10","303","156","-114","12","167","3471","10"
"11","338","94","152","12","108","3491","11"
"12","338","94","152","12","108","3501","12"
"3","-286","270","-48","13","210","3531","1"
"2","-310","103","144","13","92","3541","2"
"3","-152","219","-90","13","228","3551","3"
"4","-148","103","99","13","94","3561","4"
"5","-12","71","-157","13","110","3571","5"
"1","-5","274","-2","13","209","3581","6"
"6","141","292","-72","13","219","3691","7"
"7","146","104","143","13","88","3701","8"
"8","299","135","131","13","160","3741","9"
"9","299","135","131","13","160","3751","10"
"10","301","268","-82","13","179","3791","11"
"2","-470","286","6","14","197","3801","1"
"3","-520","89","-123","14","134","3811","2"
"1","-369","236","103","14","204","3821","3"
"5","-283","241","-74","14","176","3861","4"
"6","-151","236","-83","14","156","3891","5"
"4","-174","226","108","14","219","3911","6"
"10","-51","96","-130","14","107","3921","7"
"9","-5","251","50","14","179","3931","8"
"11","100","102","-106","14","113","3941","9"
"12","268","317","-41","14","242","3951","10"
"7","138","240","79","14","209","3961","11"
"8","138","240","79","14","209","3971","12"
"14","441","93","-125","14","125","4021","13"
"13","485","279","22","14","219","4031","14"
