63a5777e10a696e6cf3f9425f756fc3fcd3c8eaf774db15ae5431bb6f09f75b5,62738d334133b4bfff14bcce565ff1a5a55b203de7a656f8419fdc5998a5409a,02acb9e41134c67e3cb5ab896dd7c894cd98191e6da240ed5896aae37e6ef27a,e83c5e185100487450e98f1345ba0bffd283e4a1aeab4cfd51c245e15a6f2087
"1","8","緩速","1"
"2","8","加速","2"
"3","8","麻痺","3"
"4","8","凍結","4"
"5","8","束縛","5"
"6","8","睡眠","6"
"7","8","暈眩","7"
"8","8","石化","8"
"9","8","拘留","9"
"0","9","拘留(傷害)","10"
"1","9","毒","11"
"2","9","火傷","12"
"3","9","詛咒","13"
"0","11","魅惑","14"
"-1","12","黑暗","15"
"-1","13","沉默","16"
"-1","30","即死","17"
"-1","3","擊退","18"
"1","11","混亂","19"
"4","9","猛毒","20"
"-1","56","千里眼","21"
"-1","59","妨礙恢復","22"
"0","61","恐慌","23"
"-1","60","給予刻印","24"
"-1","62","畏懼","25"
"-1","69","馴鹿化","26"
"10","8","暈眩","27"
"5","9","詛咒","28"
"-1","70","HP變化","29"
"11","8","時間停止","30"
"-1","76","HP回復量減少","31"
"-1","78","虛弱個體受到的傷害上升","32"
"1","79","行動時毒傷","33"
"14","8","暈眩（另計）","34"
"7","9","毒（另計）","35"
"8","9","詛咒（另計）","36"
"2","11","混亂（另計）","37"
"13","8","結晶化","38"
"1","83","緩速(可加成)","39"
"2","83","加速(可加成)","40"
"3","49","消除增益","41"
"10","49","消除護盾","42"
"9","9","黑炎","43"
"2","99","加速領域","44"
"1","99","緩速領域","45"
"20","49","消除增益（指定）","46"
"5","101","擊打烙印（攻擊命中）","47"
"10","79","行動時界雷傷害","48"
"9","112","延長狀態異常時間","49"
"1","116","執著狀態","50"
"15","117","阿剌克涅拘束","51"
"3","11","操絲","52"
"11","9","絕怠靈度","53"
"-1","46","比例傷害","54"
"1","61","遮絕之操絲","55"
