74227e16e91ecdc9220fdb11fe6f452639c5ace4e99cb3e28d7b5bc970552521,5414a927ed56b4c12c217d2c13ef453c32ff0196cce729853a28fc4da7ab6aad,9a4053438e0e066158f61ed3ce0e18ffa782c597a1fd850b6c065d6a67f1b7ff,54934ca9e1a5210232537c4db0a5642cd9a34454df71bf89750d2058348c5d89,537c671250339818d4618bcec70e045e8334f3eabcd122498a448990783cd02a,6c3eabe9b1996a478a3d6c83ff24b5bd69daa4c0ab461c0fb8a8b8a3f57c5bda
"對歐姆蛋附加<1>HP+10%","1","1","10","1","10101010"
"對歐姆蛋附加<1>HP+11%","1","1","11","1","10101011"
"對歐姆蛋附加<1>HP+12%","1","1","12","1","10101012"
"對歐姆蛋附加<1>HP+13%","1","1","13","1","10101013"
"對歐姆蛋附加<1>HP+14%","1","1","14","1","10101014"
"對歐姆蛋附加<1>HP+15%","1","1","15","1","10101015"
"對歐姆蛋附加<1>HP+16%","1","1","16","1","10101016"
"對歐姆蛋附加<1>HP+17%","1","1","17","1","10101017"
"對歐姆蛋附加<1>HP+18%","1","1","18","1","10101018"
"對歐姆蛋附加<1>HP+19%","1","1","19","1","10101019"
"對歐姆蛋附加<1>HP+20%","1","1","20","1","10101020"
"對歐姆蛋附加<1>HP+21%","1","1","21","1","10101021"
"對歐姆蛋附加<1>HP+22%","1","1","22","1","10101022"
"對歐姆蛋附加<1>HP+23%","1","1","23","1","10101023"
"對歐姆蛋附加<1>HP+24%","1","1","24","1","10101024"
"對歐姆蛋附加<1>HP+25%","1","1","25","1","10101025"
"對歐姆蛋附加<1>HP+26%","1","1","26","1","10101026"
"對歐姆蛋附加<1>HP+27%","1","1","27","1","10101027"
"對歐姆蛋附加<1>HP+28%","1","1","28","1","10101028"
"對歐姆蛋附加<1>HP+29%","1","1","29","1","10101029"
"對歐姆蛋附加<1>HP+30%","1","1","30","1","10101030"
"對歐姆蛋附加<1>HP+31%","1","1","31","1","10101031"
"對歐姆蛋附加<1>HP+32%","1","1","32","1","10101032"
"對歐姆蛋附加<1>HP+33%","1","1","33","1","10101033"
"對歐姆蛋附加<1>HP+34%","1","1","34","1","10101034"
