96bc53513e70614033db857161ab147c18dea46d419e7475c9a9d0d5e6ee3024,2c9924ada4959db0f050417e2901a523331f8dcdcfe976bb515563fb56d52395,6f334072f6c14c6e957f14d131d4e56818dd6c51a0f6208b324f05c688162bb5,e782cc6608f84c81451fb7b618484f14c0923efaacbc9c471339b5a16ef5c47d,8a7434e2b39f8fe9e4cc533bbc235a5f49176a0f1e95beddfacc1113ad5a9b2d,edfd0f9875574c795f124ee06d72fd69b630b458cd06fd0de575efea2ee6a0be,be660161288c920c6f659c47bb907e52876008291636d61260d847e0f2f2b4f9,6962c41ff0d319ec79e8b67ea8d5bc2378be0370188bb495a5d33f3a8e6953f5,9b4abd709e661296bf8260d95387c1d7d8f74db44dce975587086075b1c3ff59,11149e246bbcaf0589a484bf494239a84b134dacbe0330540ef2130caffa3919,5ca3b878f1a5564efe60e510a828626b7ae5dc178f22b645a229774b45cd8c0a
"284001001","8","91002","1","10","2","8","25021","31","25014","2"
"284001002","8","91002","2","10","2","8","25021","31","25014","2"
"284001003","8","91002","3","10","2","8","25021","32","25014","2"
"284001004","8","91002","4","10","2","8","25021","32","25014","2"
"284001005","8","91002","5","10","2","8","25021","33","25014","2"
"284001006","9","91002","6","10","2","8","25021","33","25014","2"
"284001007","9","91002","7","10","2","8","25021","34","25014","2"
"284001008","9","91002","8","10","2","8","25021","35","25014","2"
"284001009","9","91002","9","10","2","8","25021","35","25014","2"
"284001010","10","91002","10","30","2","8","25021","37","25014","2"
"284001011","10","91002","11","10","2","8","25021","41","25014","2"
"284001012","11","91002","12","10","2","8","25021","43","25014","2"
"284001013","11","91002","13","10","2","8","25021","46","25014","2"
"284001014","12","91002","14","10","2","8","25021","48","25014","2"
"284001015","12","91002","15","10","2","8","25021","50","25014","2"
"284001016","13","91002","16","10","2","8","25021","53","25014","2"
"284001017","14","91002","17","10","2","8","25021","55","25014","2"
"284001018","14","91002","18","10","2","8","25021","58","25014","2"
"284001019","15","91002","19","10","2","8","25021","60","25014","2"
"284001020","15","91002","20","30","2","8","25021","62","25014","2"
"284001021","16","91002","21","10","2","8","25021","68","25014","2"
"284001022","16","91002","22","10","2","8","25021","70","25014","2"
"284001023","16","91002","23","10","2","8","25021","72","25014","2"
"284001024","17","91002","24","10","2","8","25021","75","25014","2"
"284001025","18","91002","25","10","2","8","25021","77","25014","2"
"284001026","18","91002","26","10","2","8","25021","79","25014","2"
"284001027","19","91002","27","10","2","8","25021","82","25014","2"
"284001028","19","91002","28","10","2","8","25021","84","25014","2"
"284001029","19","91002","29","10","2","8","25021","86","25014","2"
"284001030","20","91002","30","30","2","8","25021","89","25014","2"
"284001031","20","91002","31","10","2","8","25021","94","25014","2"
"284001032","21","91002","32","10","2","8","25021","96","25014","2"
"284001033","21","91002","33","10","2","8","25021","99","25014","2"
"284001034","22","91002","34","10","2","8","25021","101","25014","2"
"284001035","22","91002","35","10","2","8","25021","103","25014","2"
"284001036","23","91002","36","10","2","8","25021","106","25014","2"
"284001037","23","91002","37","10","2","8","25021","108","25014","2"
"284001038","24","91002","38","10","2","8","25021","111","25014","2"
"284001039","25","91002","39","10","2","8","25021","113","25014","2"
"284001040","25","91002","40","30","2","8","25021","115","25014","2"
"284001041","26","91002","41","10","2","8","25021","121","25014","2"
"284001042","27","91002","42","10","2","8","25021","123","25014","2"
"284001043","28","91002","43","10","2","8","25021","125","25014","2"
"284001044","28","91002","44","10","2","8","25021","128","25014","2"
"284001045","29","91002","45","10","2","8","25021","130","25014","2"
"284001046","30","91002","46","10","2","8","25021","132","25014","2"
"284001047","30","91002","47","10","2","8","25021","135","25014","2"
"284001048","31","91002","48","10","2","8","25021","137","25014","2"
"284001049","31","91002","49","10","2","8","25021","139","25014","2"
"284001050","31","91002","50","30","2","8","25021","142","25014","2"
